jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
HendoArt,"Just started Castle Rock, which makes me wish I watched or read more Stephen King stuff because it's fascinating, but I know it's horrifying so I don't and I'm just confused. Lol like the premise for IT sounds so cool but NO. Hell no. https://t.co/TsqjtBgyID",,Sun Aug 19 02:06:56 +0000 2018
gcjagadish,"Was wondering how many million horrifying ""stories"" of women who died during 
childbirth or killed themselves because of the stigma attached  to an unwed mother, can or would be documented in this country. https://t.co/qHPW6u8pUj",,Sun Aug 19 02:06:56 +0000 2018
bsteels,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:06:40 +0000 2018
MachugaStephen,Don't sleep on Blackkklansman. Few movies are so funny and horrifying.,,Sun Aug 19 02:06:23 +0000 2018
Physhin,"if you get a call at this time, sorry!
i just had the most most scariest, saddest, intense, horrifying dream. and i called almost everyone in my contacts.",,Sun Aug 19 02:06:21 +0000 2018
CodyPatrickHall,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:06:21 +0000 2018
R3kzar,RT @donttrythis: Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Sun Aug 19 02:06:15 +0000 2018
dug2hug,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:06:14 +0000 2018
MollyBergen,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:06:04 +0000 2018
Lpowell588Lady,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:05:55 +0000 2018
hildateranfran2,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:05:41 +0000 2018
Truthbuster,RT @_h_Dawg: This insanity is happening in my neighboring county &amp; it’s horrifying! The overwhelming majority of teachers don’t want this &amp;…,This insanity is happening in my neighboring county &amp; it’s horrifying! The overwhelming majority of teachers don’t want this &amp; shouldn’t have it forced on them. This is not the answer. Both Parkland &amp; Sante Fe had armed security onsite. We need #GunReformNow #Enough #NotOneMore https://t.co/S08xVK9WMN,Sun Aug 19 02:05:40 +0000 2018
TheBarrenness,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:05:40 +0000 2018
islagiatt4,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:05:30 +0000 2018
anmllvr1970,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:05:25 +0000 2018
DawnXianaMoon,"Now ICE seems to be making up reasons to detain people as well.

Everything about this is horrifying. (And the headline when you click through doesn't help.) https://t.co/iYwiTAKwYl",,Sun Aug 19 02:05:05 +0000 2018
ifindkarma,"@AmorGaia @Cyde_Dish @Augustus709 That tweet is evergreenest, and it is haunting and horrifying.

I’m still thinking about the inhumanity of ICE making a pregnant woman drive herself to the hospital. They go out of their way to be cruel and inhumane.

https://t.co/LnztunAsqw",,Sun Aug 19 02:04:58 +0000 2018
authorpholloway,RT @deidresensiba: Is America great yet?? This is horrifying and beyond evil. #NovemberIsComing #VoteBlue https://t.co/RepraiUE1H,Is America great yet?? This is horrifying and beyond evil. #NovemberIsComing #VoteBlue https://t.co/RepraiUE1H,Sun Aug 19 02:04:55 +0000 2018
ran_do_right,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:04:55 +0000 2018
Montpellier21,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 02:04:38 +0000 2018
irobayna,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 02:04:33 +0000 2018
4Hannah76,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:03:53 +0000 2018
StacyDAlessand3,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:03:45 +0000 2018
ColeBockenfeld,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:03:37 +0000 2018
Chrissylee510,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:03:20 +0000 2018
michellekwizera,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:03:14 +0000 2018
iamthatroby,@RICHARDLNEWBY It’s one of the most horrifying sequences I’ve seen in a while. Just terrifying,,Sun Aug 19 02:03:05 +0000 2018
RealVida3,RT @uNdlunkulu_Xoli: Your ANC Government was able to forgive the Apartheid Government for the horrifying crimes committed against humanity…,"Your ANC Government was able to forgive the Apartheid Government for the horrifying crimes committed against humanity but they throw in jail students who were fighting for Free Education, the same Education the ANC promised people 😔

#KnowYourANC #FeesMustFall #MceboDlamini",Sun Aug 19 02:02:48 +0000 2018
sexy_vegetables,&lt;br&gt;guidelines now prohibit __________ on airplanes. &lt;br&gt; &lt;br&gt; --Horrifying laser hair removal accidents.--&lt;br&gt;,,Sun Aug 19 02:02:32 +0000 2018
bobbymac457,RT @madgoat61: #TrumpTreason #SICKO https://t.co/rS3BjZANdP,#TrumpTreason #SICKO https://t.co/rS3BjZANdP,Sun Aug 19 02:02:17 +0000 2018
Midence_rocker,RT @Newsweek: These horrifying cakes look like human body parts https://t.co/GMIs0JfTmw,These horrifying cakes look like human body parts https://t.co/GMIs0JfTmw,Sun Aug 19 02:02:10 +0000 2018
Conan776,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:02:04 +0000 2018
adownie,"@GPatrick That is so distressingly awesome and horrifying at the same time...

I like your style!",,Sun Aug 19 02:01:56 +0000 2018
Kathatestrump,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 02:01:47 +0000 2018
cremedelas0ul,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 02:01:32 +0000 2018
BrendanWoodbury,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:01:21 +0000 2018
Concernedwhite1,RT @KarlShatterhand: Trump is a sociopath https://t.co/e4fOQZ7dhB,Trump is a sociopath https://t.co/e4fOQZ7dhB,Sun Aug 19 02:01:20 +0000 2018
lbpyyz,"RT @sande_upton: I studied psychology in college. If everyone was required to do this, we might never have elected a malignant sociopath to…","I studied psychology in college. If everyone was required to do this, we might never have elected a malignant sociopath to the highest office in the land... https://t.co/Z2ZYUvRrBn",Sun Aug 19 02:01:05 +0000 2018
Wulf_9,"RT @funder: Whatever you do, don’t retweet this podcast episode where a psychologist reveals the horrifying truth about @realDonaldTrump’s…","Whatever you do, don’t retweet this podcast episode where a psychologist reveals the horrifying truth about @realDonaldTrump’s mental state. It will make Trump go Trump-level crazy. Actually, on second thought, retweet it. #DworkinReport https://t.co/wklcHGfUJq",Sun Aug 19 02:00:34 +0000 2018
bootsncatz,@Srslyomgwtfbro @EvilVagenda DUDE. This is what I’m saying. A horse sized duck has so many vulnerabilities. Where as 100 of anything is always horrifying. Specifically 400 tiny little horse hooves destroying your shins.,,Sun Aug 19 02:00:28 +0000 2018
ALLEYMATTIE,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 02:00:25 +0000 2018
neonheretic,RT @AliceResists: @Jessicafu2_usab @jrbaltmd57 @PaulMayATL @GOP The truth is too terrifying for people to accept so they deliberately tune…,@Jessicafu2_usab @jrbaltmd57 @PaulMayATL @GOP The truth is too terrifying for people to accept so they deliberately tune out to prevent themselves distress. It's easier to cling to tidbits from climate deniers than to acknowledge that their world is going to permanently change in a horrifying future.,Sun Aug 19 02:00:18 +0000 2018
EDLMCLAURIN,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 02:00:10 +0000 2018
JamieMcCall,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:59:52 +0000 2018
facetheraven_,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:59:43 +0000 2018
MsBeeCount,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:59:37 +0000 2018
shworge,@JoeGoodberry Horrifying that he’s better than Fisher and Ogbuehi. You could put a cardboard cut out in their position and get the same results.,,Sun Aug 19 01:59:35 +0000 2018
TbJae,RT @BetteMidler: THIS IS REQUIRED READING FOR ALL OF US.  WHAT HAS HAPPENED TO THE FREE PRESS IN OUR COUNTRY IS HORRIFYING AND MUST STOP!!…,THIS IS REQUIRED READING FOR ALL OF US.  WHAT HAS HAPPENED TO THE FREE PRESS IN OUR COUNTRY IS HORRIFYING AND MUST STOP!! A Free Press Needs You   via @NYTimes https://t.co/ViNoEiMYzn,Sun Aug 19 01:59:32 +0000 2018
BGFCentral,"I'm just saying that stitching blind around mitered corners is Cthulhu Level horrifying. All the OMFGWHUT prototype tests helped, BUT STILL.",,Sun Aug 19 01:59:19 +0000 2018
Lauradrizzt1,"RT @JohnFPfaff: This by @PykeA is, like so many we keep seeing, horrifying. Our government is torturing and abusing children—and doing so g…","This by @PykeA is, like so many we keep seeing, horrifying. Our government is torturing and abusing children—and doing so gleefully.

Imagine your own child suffering like this. You can only harm children like this if you don’t view them as fully human.

https://t.co/jdHA22mV45 https://t.co/eWeYEFw3yz",Sun Aug 19 01:59:19 +0000 2018
LewisReadComics,@PrairiePhlox I thought it's nose was it's eyes and it's horrifying,,Sun Aug 19 01:59:13 +0000 2018
lovefilkins,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 01:58:40 +0000 2018
KeWeiss1,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:58:12 +0000 2018
BusdriverDG,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:58:04 +0000 2018
MarkSwitzer66,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:57:58 +0000 2018
goodnewsgoddess,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:57:54 +0000 2018
uxx92,"RT @Alaa5ll: The horrifying moment when you're looking for an adult for help and you realize you are an ""adult.""","The horrifying moment when you're looking for an adult for help and you realize you are an ""adult.""",Sun Aug 19 01:57:53 +0000 2018
hannahcloud,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:57:50 +0000 2018
cleckerling,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:57:47 +0000 2018
Tobliz,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:57:42 +0000 2018
lc3x94,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:57:42 +0000 2018
CNDIDFRNTOTRUTH,@andrewjgregor wow. This is horrifying.,,Sun Aug 19 01:57:36 +0000 2018
gormanate,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:57:32 +0000 2018
DictatorOfRoses,"This is too weird.  She just kind of...puts her gun away.  There's something reminiscent of pity on her face.

So, this is what being in close proximity of Maw does to a person.  Gaia almighty, how horrifying.",,Sun Aug 19 01:57:25 +0000 2018
ccschrock,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:57:16 +0000 2018
pissed_now,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:57:15 +0000 2018
FuMikechu,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:57:10 +0000 2018
TheChandlerDude,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:57:03 +0000 2018
BryanDBender,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:56:58 +0000 2018
Concernedwhite1,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 01:56:31 +0000 2018
islamhussain055,"RT @rakeshfilm: Awful of Govt of India to be so petty/partisan towards #KeralaSOS !

Yes, #Kerala voters have always rejected BJP-RSS, but…","Awful of Govt of India to be so petty/partisan towards #KeralaSOS !

Yes, #Kerala voters have always rejected BJP-RSS, but it is horrifying to punish them by denying funds/ resources for #KeralaFloodRelief - truly terrible timing for punitive politics!

Forget vendetta.
Be human! https://t.co/dJLdomtoty",Sun Aug 19 01:56:31 +0000 2018
OrneryPiglett,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 01:56:16 +0000 2018
RhyvenNZ,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 01:55:56 +0000 2018
yenniferxx,RT @donttrythis: Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Sun Aug 19 01:55:55 +0000 2018
alaskarebel,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 01:55:49 +0000 2018
The_WGD,Horrifying. https://t.co/2zowcqlJA5,,Sun Aug 19 01:55:07 +0000 2018
