SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
PeteFoti,@rolandscahill You got that right.  It's pouring rain here in NW New Jersey.  That means no Golf!!!! Seems like Fredo is turning on The Godfather. https://t.co/qR695Lr6Ra,,Sat Aug 18 22:24:26 +0000 2018
JoynerInvests,"RT @OpBBQRelief: This gentleman was living in a tent with his wife when the rain came pouring down in the Montrose, PA area. He went to the…","This gentleman was living in a tent with his wife when the rain came pouring down in the Montrose, PA area. He went to the shelter and ate BBQ all week. He stopped by the compound this morning to say thank you to our Operation BBQ Relief volunteers.",Sat Aug 18 22:23:27 +0000 2018
bocapprincess,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 22:23:18 +0000 2018
breathinxgrande,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 22:23:00 +0000 2018
CliveRevill,RT @leagueogents: Dedication is meeting fans at an ARENA whilst in the pouring RAIN. https://t.co/e7YVe9zuB0,Dedication is meeting fans at an ARENA whilst in the pouring RAIN. https://t.co/e7YVe9zuB0,Sat Aug 18 22:22:57 +0000 2018
leagueogents,Dedication is meeting fans at an ARENA whilst in the pouring RAIN. https://t.co/e7YVe9zuB0,,Sat Aug 18 22:22:36 +0000 2018
marianatrodella,My mom and David are the realest for helping me load my car up for school in the pouring rain ONLY for it to stop raining immediately after,,Sat Aug 18 22:22:25 +0000 2018
_meghb,Leaving #foofest2018 and the toddler says “dat was great.” It was great— even in the pouring rain. @AS220,,Sat Aug 18 22:21:10 +0000 2018
DJ_muffins12,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 22:20:57 +0000 2018
alsterjms,Sunday morning rain is pouring 🎶,,Sat Aug 18 22:20:14 +0000 2018
Ciga_rett_e,"RT @nell_useless: 넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

20…","넬의 가사에는 성장이 있다.

2012년 Standing in the rain
: when you're standing in the rain
할 수 있는 게 별로 없지
내리는 그 비와 함께 이 마음도 젖어가겠지

2016년 Day after day
: I’ll sail through the pouring rain
물론 다 흠뻑 젖을 테지만 그러면 어때
I’ll dance in the rain",Sat Aug 18 22:19:48 +0000 2018
ProbablyAJ,"Came all the way from WI to see the @braves and @Rockies. It's pouring and my Airbnb had roaches and something else crawly and bitey but I got my Chipper bobblehead and @bravesorganist played The Neverending Story and I got to see #NolanBeingNolan. So bring it on, rain. #SoHappy",,Sat Aug 18 22:18:59 +0000 2018
Amandxh2bot,IM IN THE POURING RAIN HOLDING,,Sat Aug 18 22:16:24 +0000 2018
ArpinKaydance,"Pouring rain, thunder, and lightning. I’m camping currently. Fml🤦🏽‍♀️",,Sat Aug 18 22:16:06 +0000 2018
esaaaaa,Its fucking pouring down rain at DTE energy.... how am I supposed to concert 🤦🏻‍♀️,,Sat Aug 18 22:15:19 +0000 2018
BobbyOlivier,"Anddddd it's pouring at @MLStadium - everything on hold for now. Rain is supposed to let up eventually, we'll see when @kennychesney actually makes it to stage. My god MetLife has had bad luck this yr - Taylor Swift, Bey and Jay and now this, all got tons of rain.",,Sat Aug 18 22:14:58 +0000 2018
feelingitboca,It’s pouring rain which means it’s perfect weather to blast the sweetener album on repeat,,Sat Aug 18 22:12:43 +0000 2018
nightlightsafi,i had a shit ton of groceries to bring to my room but it started fucking pouring and i didn’t have an umbrella so the bags with the groceries dissolved and my shit spilled EVERYWHERE on the ground and im standing here wondering: is it tears or just the fucking rain,,Sat Aug 18 22:12:28 +0000 2018
dxrknlight,"Wakes up: *pouring rain, gale force winds, hail, is in a horrible storm*
Not even fifteen minutes later: *sun is out*
Five minutes later: *will probably rain again*",,Sat Aug 18 22:10:06 +0000 2018
OpBBQRelief,"This gentleman was living in a tent with his wife when the rain came pouring down in the Montrose, PA area. He went to the shelter and ate BBQ all week. He stopped by the compound this morning to say thank you to our Operation BBQ Relief volunteers.",,Sat Aug 18 22:09:42 +0000 2018
sparky_vq3,"What does one do when it’s your one free “waves of honor” day at Busch Gardens and it’s lighting, thunder, pouring rain, and all the rides and amusements are closed? Hang out at the Bräu… https://t.co/uNZtKC68J5",,Sat Aug 18 22:09:03 +0000 2018
wasmaloussy,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 22:08:49 +0000 2018
JoiceRachid,"you can drive all night, looking for the answers in the pouring rain",,Sat Aug 18 22:08:17 +0000 2018
esteponera59,@javamusings Thank you!  enjoying it very much! and still pouring rain!   Hope you are enjoying your evening too!  cheers,,Sat Aug 18 22:06:34 +0000 2018
SqueenixVibes,It started pouring down raining and I got out of the car and the rain slapped me in the back so fucking hard. And the water was HOT,,Sat Aug 18 22:06:01 +0000 2018
Durden315,"Pouring rain, no @RealCJ10 bobble head for me. :(",,Sat Aug 18 22:05:54 +0000 2018
browngirlmagicc,you're my sunshine in the rain when its pouring,,Sat Aug 18 22:05:10 +0000 2018
SINISTERVIAL,"❛  If this didn't help, I don't know what would. The sound of pouring rain is the most calming thing ever. 

In this case, just stay in bed and enjoy your free time.  ❜ https://t.co/mcdW4LChdk",,Sat Aug 18 22:04:04 +0000 2018
moon_cyj,RT @gotesthetic: You can drive all night looking for the answers in the pouring rain https://t.co/noddObWXi9,You can drive all night looking for the answers in the pouring rain https://t.co/noddObWXi9,Sat Aug 18 22:03:56 +0000 2018
alexnagel51,"I just walked back to my apartment from SunTrust park in the pouring rain after waiting in line to get in, getting my bobblehead, and immediately leaving before the game even started. I'm starting to think my collection is more of an unhealthy addiction. https://t.co/NGXORRFwJz",,Sat Aug 18 22:02:48 +0000 2018
SaraGMacias,#Janet made everyone wait an hour and then didn’t perform despite her tweet and made all her fans get stuck in the pouring rain ☔️,,Sat Aug 18 22:02:13 +0000 2018
ArcaneEndoir,"❛ Mm, I did.

I even tried listening to them with a 'pouring rain sountrack' in the background. Nada. ❜ https://t.co/gSRtioBL0A",,Sat Aug 18 22:01:22 +0000 2018
6GODCABELLOS,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 22:00:34 +0000 2018
The_Rain_Makers,"RT @realDonaldTrump: Our Economy is doing better than ever. Money is pouring into our cherished DOLLAR like rarely before, companies earnin…","Our Economy is doing better than ever. Money is pouring into our cherished DOLLAR like rarely before, companies earnings are higher than ever, inflation is low &amp; business optimism is higher than it has ever been. For the first time in many decades, we are protecting our workers!",Sat Aug 18 21:59:56 +0000 2018
ansbryn,RT @NorwinHS_Cheer: The Norwin Senior Cheerleaders teamed up with the Senior Football Players to entertain the crowd at the Meet n Greet. P…,"The Norwin Senior Cheerleaders teamed up with the Senior Football Players to entertain the crowd at the Meet n Greet. Pouring down rain, they did a great job! https://t.co/kkKJO2KjqK",Sat Aug 18 21:59:09 +0000 2018
AndreJ215,@dunkindonuts has a #1 FAN! Meet Erin... A 6 year old little bright of sunshine who didn’t let the pouring  rain  stop her from getting her Saturday Munchkins! Have a Dunkin Weekend everyone! 😍 https://t.co/z5ReBh0Wzl,,Sat Aug 18 21:59:07 +0000 2018
vapidghost,"youre the coffee that i need in the morning, youre my sunshine in the rain when its pouring",,Sat Aug 18 21:58:34 +0000 2018
ShawnsLimelight,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 21:57:26 +0000 2018
jungshinisasi,RT @foreversingIe: day 10 without sex: stood outside in the pouring rain just to remember what it felt like to be wet again,day 10 without sex: stood outside in the pouring rain just to remember what it felt like to be wet again,Sat Aug 18 21:56:39 +0000 2018
Indie365Radio,"#NP Cozmicsoulfire @cozmicsoulfire - Rain,rain rain pouring down on on @Indie365Radio",,Sat Aug 18 21:56:21 +0000 2018
ladydarthcaedus,"Got in the car, and then the rain started pouring and the lightning started.",,Sat Aug 18 21:56:16 +0000 2018
Janice_Basque,Made him walk in the pouring rain to come play crib 🤣 https://t.co/CNav212zeO,,Sat Aug 18 21:56:10 +0000 2018
_papibandana,That awkward moment when your on the bus and it’s starts POURING DOWN RAIN and you have no umbrella and your stop next 😫😫😫😫,,Sat Aug 18 21:56:06 +0000 2018
uaicaroline,let me fuck you hard in the pouring rain,,Sat Aug 18 21:55:32 +0000 2018
Stickey_Rice,RT @minarenny: A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he…,"A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he’s a hybrid, which unleashes a whole new set of problems—including the reason for Jungkook’s distrust. https://t.co/fC3ErMRyRz",Sat Aug 18 21:54:56 +0000 2018
WriteNCreate,https://t.co/nkPZEUNgiO,,Sat Aug 18 21:54:02 +0000 2018
redvoxlyricsbot,"late last night, or was it morning?
outside the rain was pouring
i stumbled out, i hit the ground",,Sat Aug 18 21:53:56 +0000 2018
Scribe_Ephemera,https://t.co/Y35RiplTP4,,Sat Aug 18 21:53:44 +0000 2018
asapjerky,RT @AFSMGNM: Planned on going to the liquor store and the grocery store after work but it started pouring rain so I decided I didn't need g…,Planned on going to the liquor store and the grocery store after work but it started pouring rain so I decided I didn't need groceries.,Sat Aug 18 21:52:59 +0000 2018
cpat13,"With the rain pouring down in the south we head to the all weather tapeta.  My best bet comes up early in Silzoar.  Lets hope the theory works - ""greys in the wet"" #tasracing https://t.co/Oxq8LiNtim",,Sat Aug 18 21:52:49 +0000 2018
bunnylana,It is pouring down rain and they are out of Bobbleheads! https://t.co/FabG1Qr5mK,,Sat Aug 18 21:52:40 +0000 2018
cproppe,"It’s pouring... 
No, I did not bring the guitar, thankfully. It’s beautiful tho- look at the sailboat. Hope they have rain gear! https://t.co/W5KQ2NHzXT",,Sat Aug 18 21:52:21 +0000 2018
gregoryhetzer,RT @gregoryhetzer: God is the past the present and the future !! Let the !! RAIN !! begin AMEN !! 👍🎚😇. The book WHEN TRUMPETS RING the batt…,God is the past the present and the future !! Let the !! RAIN !! begin AMEN !! 👍🎚😇. The book WHEN TRUMPETS RING the battle is about the pouring out of angles around the earth !! https://t.co/LC4ZsCcq0A,Sat Aug 18 21:52:04 +0000 2018
slb75,I’m standing out in the pouring rain not just for amazing FREE music. I couldn’t miss the first #wickedgoodfestival put on by the best radio station around.… https://t.co/cCY11mqcwQ,,Sat Aug 18 21:51:41 +0000 2018
bhav2406,RT @RainMaps_in: #kerala rain update at 3.00 AM..#thoduppuzha getting rains..due to wind direction rains not entered into #kerala till.  It…,"#kerala rain update at 3.00 AM..#thoduppuzha getting rains..due to wind direction rains not entered into #kerala till.  It's pouring in the sea..

#KeralaFloods #keralarains

Checkout https://t.co/xthFg2aEgE for live updates https://t.co/DABtRYqYYm",Sat Aug 18 21:51:10 +0000 2018
kinggxGee,I’m so tired of this rain on the weekend bullshit honestly it be nice during the week &amp; the weekend come and it’s pouring wt lightning + thunderstorm wassup wt that,,Sat Aug 18 21:50:57 +0000 2018
tyler_saenz,"I was not alone. An elderly woman was waiting in the pouring rain alongside me. Keep in mind, this was during a flash flood warning in a New Jersey thunderstorm. I would like, if anything, a refund and apology for my treatment by the NJ Transit. I attempted to call them and...",,Sat Aug 18 21:50:32 +0000 2018
lanct22,RT @TheSun: TV star is furious with Ryanair after her latest flight https://t.co/cGyBVxgJvS,TV star is furious with Ryanair after her latest flight https://t.co/cGyBVxgJvS,Sat Aug 18 21:49:52 +0000 2018
thara_gopalan,RT @RainMaps_in: #kerala rain update at 3.00 AM..#thoduppuzha getting rains..due to wind direction rains not entered into #kerala till.  It…,"#kerala rain update at 3.00 AM..#thoduppuzha getting rains..due to wind direction rains not entered into #kerala till.  It's pouring in the sea..

#KeralaFloods #keralarains

Checkout https://t.co/xthFg2aEgE for live updates https://t.co/DABtRYqYYm",Sat Aug 18 21:49:49 +0000 2018
adorvsjauregui,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 21:49:33 +0000 2018
SassMcclask,Bro I was driving on the freeway and it was pouring so I switched over to the left lane and there was literally no rain in the left lane HOW,,Sat Aug 18 21:49:16 +0000 2018
RainMaps_in,"#kerala rain update at 3.00 AM..#thoduppuzha getting rains..due to wind direction rains not entered into #kerala till.  It's pouring in the sea..

#KeralaFloods #keralarains

Checkout https://t.co/xthFg2aEgE for live updates https://t.co/DABtRYqYYm",,Sat Aug 18 21:48:24 +0000 2018
01trisha,pouring rain right now n I hear thunder,,Sat Aug 18 21:48:09 +0000 2018
ANDYC2311,RT @TheSun: TV star is furious with Ryanair after her latest flight https://t.co/cGyBVxgJvS,TV star is furious with Ryanair after her latest flight https://t.co/cGyBVxgJvS,Sat Aug 18 21:47:34 +0000 2018
_Pehicc,"RT @NamiKim_DogsSK: ""New rescue by our member today in the pouring rain. I named him Lobo, about 10 month boy. Finished veterinary care, on…","""New rescue by our member today in the pouring rain. I named him Lobo, about 10 month boy. Finished veterinary care, on the way to our shelter. Was left with a note saying 'sell him to a meat truck'""
#StopBoknal #EndDogMeatTrade
➡️https://t.co/ntzgUENCmX https://t.co/lDcZOJXggC",Sat Aug 18 21:47:08 +0000 2018
kuhlaniszn,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 21:46:33 +0000 2018
Saiduzzz,RT @_Fatima_SM: You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,You're my sunshine in the rain when it's pouring ✨ https://t.co/k78vQbkHTs,Sat Aug 18 21:46:30 +0000 2018
henry_forward,@WSBTraffic That’s not the right photo. That’s off I-75 in Henry County and sunny; it’s pouring down rain right now.,,Sat Aug 18 21:45:55 +0000 2018
Melou0211,RT @minarenny: A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he…,"A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he’s a hybrid, which unleashes a whole new set of problems—including the reason for Jungkook’s distrust. https://t.co/fC3ErMRyRz",Sat Aug 18 21:45:24 +0000 2018
leuconeura_,RT @matthewherod: One of my top times so far in Manchester has been walking all the way to Salford Quays through the night in pouring rain…,One of my top times so far in Manchester has been walking all the way to Salford Quays through the night in pouring rain with @leuconeura_ to find the NASA bee #beeinthecity https://t.co/QMAkDGr5Z5,Sat Aug 18 21:45:06 +0000 2018
fancygcf,RT @minarenny: A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he…,"A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he’s a hybrid, which unleashes a whole new set of problems—including the reason for Jungkook’s distrust. https://t.co/fC3ErMRyRz",Sat Aug 18 21:44:37 +0000 2018
SagouspeMary,RT @WolfOfWeedST: Got my wife’s car washed and drive off happy how clean it is... starts pouring rain from a sun shower. FU south Florida..…,Got my wife’s car washed and drive off happy how clean it is... starts pouring rain from a sun shower. FU south Florida... https://t.co/zXoTYiMqyk,Sat Aug 18 21:44:36 +0000 2018
_myabee,we survived white water rafting in the pouring rain!!!!! https://t.co/80CHTWCctY,,Sat Aug 18 21:44:22 +0000 2018
BakerLakenit2,Hey @Lauren_Alaina we are out here in the pouring rain and were listening to your sound check. Send some meet and greets to will call for us!!!,,Sat Aug 18 21:44:09 +0000 2018
TheSun,TV star is furious with Ryanair after her latest flight https://t.co/cGyBVxgJvS,,Sat Aug 18 21:42:00 +0000 2018
IanCWDickie1,"@realDonaldTrump @POTUS @WhiteHouse Here is a great reason to have a parade, I bet 1-1.5 million at least would show up. Even it was pouring down rain it would be a sunny day across America. https://t.co/MH1UVYUb7F",,Sat Aug 18 21:41:05 +0000 2018
blondieee_98,@TheVampsband My sister and I waited out all day in the pouring rain outside bestbuy theater 3 years ago and also almost died in the pit while watching you guys but it was always worth it! Would love to be able to meet you guys and finally see you again ❤️ #TheVampsUSA,,Sat Aug 18 21:39:56 +0000 2018
arianasIani,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 21:37:07 +0000 2018
berylsandydowns,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 21:36:37 +0000 2018
matthewherod,One of my top times so far in Manchester has been walking all the way to Salford Quays through the night in pouring rain with @leuconeura_ to find the NASA bee #beeinthecity https://t.co/QMAkDGr5Z5,,Sat Aug 18 21:35:43 +0000 2018
LMP2020,"Yes, it's pouring rain and thunder is in the background. https://t.co/yeqasIEDSP",,Sat Aug 18 21:35:31 +0000 2018
BrokenStrings93,RT @FailAtLifePod: Fail of the day: Amanda slipped and fell down a set of stairs...in the pouring rain. But I saved my @TwistedTea! #smh #f…,Fail of the day: Amanda slipped and fell down a set of stairs...in the pouring rain. But I saved my @TwistedTea! #smh #failingatlife #atwwd #comment #f4f #FailatLife #sendadvil #bruisedego,Sat Aug 18 21:34:22 +0000 2018
andwizzle99,It’s pouring rain outside and all I’m craving is a cup of tea 🍵 ☔️ https://t.co/EnY0e6Lcmr,,Sat Aug 18 21:33:44 +0000 2018
finnbarrotty,@TheEgyptianWife @AnnelisaDavison @WYP_RachStorey @WYP_CNewsome @MissLJxxx91 @mitchfaefife @DebraVi91710578 @Rachel23787645 @carolinebrown12 @EAMIRJ2018 @yobub4 @itsPipper @staying_Mum It’s pouring rain now just as well I cut the grass.. poor Len am sure he’d be embarrassed if he knew you told us he snores.. 💤💤💕🐕,,Sat Aug 18 21:32:54 +0000 2018
dosantosyoana,RT @foreversingIe: day 10 without sex: stood outside in the pouring rain just to remember what it felt like to be wet again,day 10 without sex: stood outside in the pouring rain just to remember what it felt like to be wet again,Sat Aug 18 21:32:00 +0000 2018
Daphne_Burnett,Hangin w/ my gifts driving in the burbs while rain is pouring down listening to 🎼🎼🎼🎼🎼👦🏽👧🏾👩🏽 https://t.co/wYuKErJTw6,,Sat Aug 18 21:30:01 +0000 2018
SSBPucci,Walking in the rain was nice but hhhhhhhhh it was pouring,,Sat Aug 18 21:28:37 +0000 2018
loobiejohnson,Come on a bike trip to Newfoundland they said. It'll be great fun they said. Riding from Edmundston NB to Truro NS in the pouring rain is not my idea of fun 😣. #Newfoundlandwillbeworthit. @GaryJinTO,,Sat Aug 18 21:28:33 +0000 2018
MirrorFootball,"RT @MirrorFighting: Frampton makes his way to the ring in the pouring rain: 
https://t.co/etKBUos4Go #FramptonJackson","Frampton makes his way to the ring in the pouring rain: 
https://t.co/etKBUos4Go #FramptonJackson",Sat Aug 18 21:27:22 +0000 2018
MirrorFighting,"Frampton makes his way to the ring in the pouring rain: 
https://t.co/etKBUos4Go #FramptonJackson",,Sat Aug 18 21:27:10 +0000 2018
notyuhgyal_,My cat will run through the rain and jump in puddles and refuse to come inside when it's pouring outside...but try to bathe him on any other day and he's ready to scratch my eyes out. Wtf.,,Sat Aug 18 21:27:04 +0000 2018
KeysToMe13,"The sky turned black like a perfect storm, rain came pouring down, when I was drowning, that’s when I could finally breathe...",,Sat Aug 18 21:26:58 +0000 2018
_Boogie117_,"You can drive all night
Looking for the answers in the pouring rain
You wanna find peace of mind
Looking for the answer
If we can find a reason, a reason to change
Looking for the answer
If you can find a reason, a reason to stay
Standing in the pouring rain

-Cigarette Daydreams",,Sat Aug 18 21:26:21 +0000 2018
leadkarla,i was about to go out and get my junk food as usual but as soon as i get ready it starts to pouring rain ugh my luck,,Sat Aug 18 21:26:06 +0000 2018
KaylaIsSmiling,@Ethan18164559 As soon as I tweeted this it started pouring down rain 😂😂,,Sat Aug 18 21:25:26 +0000 2018
lisa_buntain,@KyleBusch pouring rain then sunshine. #rowdynation ready to yell the loudest #ItsBristolBaby,,Sat Aug 18 21:25:24 +0000 2018
aaaaaanalu,"If you could find a reason, a reason to stay
Standing in the pouring rain",,Sat Aug 18 21:25:16 +0000 2018
TarynKincaid,"It is pouring rain right now, but got in a nearly full pool day. The weather app on my iPhone is showing ""party cloudy now"" and through 6 pm when there's a ""50%"" chance of thunderstorm.",,Sat Aug 18 21:24:27 +0000 2018
ncw307,"Yay!!! 😁 It’s pouring rain!! ⛈ I’m in my room with my window open a little to listen to the storm. I’m thankful for the rain because lately we’ve had so many big wildfires in our state and the surrounding states. There has been much smoke, we couldn’t even see our mountains! https://t.co/hbtZ4FUM2D",,Sat Aug 18 21:23:24 +0000 2018
TheUndeadSkunk,"FIGHT FANS!!!!!
Volume up plz.
Pouring with rain open air fight. https://t.co/go5F8O9FA8",,Sat Aug 18 21:23:21 +0000 2018
slines,RT @NYFarmer: Pouring rain. The oats is getting soaked. https://t.co/8LEOx60dcq,Pouring rain. The oats is getting soaked. https://t.co/8LEOx60dcq,Sat Aug 18 21:23:04 +0000 2018
Fight_Ghost,RT @_MAP78: @Fight_Ghost You forgot the rain pouring down,@Fight_Ghost You forgot the rain pouring down,Sat Aug 18 21:22:40 +0000 2018
_MAP78,@Fight_Ghost You forgot the rain pouring down,,Sat Aug 18 21:22:24 +0000 2018
phenomenoire,"@memphisweather1 But when is it gonna RAIN? All this moisture, none of it pouring down.",,Sat Aug 18 21:22:15 +0000 2018
