CmCristy53,RT @Marebear1472: @paxton Is the shooter in custody?,@paxton Is the shooter in custody?,Sun Aug 19 15:41:13 +0000 2018
Daley1980Juco,RT @pbphighschools: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,Sat Aug 18 12:07:06 +0000 2018
ChuckCizMe,RT @pbphighschools: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,Sat Aug 18 11:53:18 +0000 2018
confused_balak,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/BGAQYSoztD https://t.co/yuQrHA1HEU,,Sat Aug 18 11:28:52 +0000 2018
I_Am_NeJi,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/uEjUWC9Gdq https://t.co/B5BRNynKT2,,Sat Aug 18 11:28:49 +0000 2018
PaigingHR,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/XkvMelp9nL https://t.co/kkaIP4WpsY,,Sat Aug 18 11:28:47 +0000 2018
chargersam,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/HMEzNwyEqD https://t.co/UtDXNBj8Ca,,Sat Aug 18 11:28:44 +0000 2018
genuinebarbie2,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/k4KldItC1D https://t.co/ydNqGzdflY,,Sat Aug 18 11:24:07 +0000 2018
TiffyLynn42,RT @pbphighschools: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,Sat Aug 18 10:43:37 +0000 2018
LucyHughesJones,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Sat Aug 18 10:29:41 +0000 2018
NBTMumbai,"विरार तक फैल गई रवि पुजारी की दहशत, क्राइम ब्रांच ने शूटर राहुल यादव को कस्टडी में लिया https://t.co/8TuQfnoH8w",,Sat Aug 18 10:20:12 +0000 2018
mrs_lerner,RT @students4c: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #Stude…,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #StudentSafety,Sat Aug 18 10:20:02 +0000 2018
DingDongGame2,RT @gretamedtrans: PBSO: Two shot at high school football game in Wellington; no shooter in custody.  #EPICFAIL @pbcsd ⁦@AndrewPollackFL⁩ W…,"PBSO: Two shot at high school football game in Wellington; no shooter in custody.  #EPICFAIL @pbcsd ⁦@AndrewPollackFL⁩ WE WANT ANSWERS

iOS: https://t.co/ej3QjWbRBj
Android: https://t.co/HFaHhaJhj0.    https://t.co/6q9HhO8Wvx",Sat Aug 18 10:12:46 +0000 2018
epicfaildrone,RT @gretamedtrans: PBSO: Two shot at high school football game in Wellington; no shooter in custody.  #EPICFAIL @pbcsd ⁦@AndrewPollackFL⁩ W…,"PBSO: Two shot at high school football game in Wellington; no shooter in custody.  #EPICFAIL @pbcsd ⁦@AndrewPollackFL⁩ WE WANT ANSWERS

iOS: https://t.co/ej3QjWbRBj
Android: https://t.co/HFaHhaJhj0.    https://t.co/6q9HhO8Wvx",Sat Aug 18 10:12:43 +0000 2018
gretamedtrans,"PBSO: Two shot at high school football game in Wellington; no shooter in custody.  #EPICFAIL @pbcsd ⁦@AndrewPollackFL⁩ WE WANT ANSWERS

iOS: https://t.co/ej3QjWbRBj
Android: https://t.co/HFaHhaJhj0.    https://t.co/6q9HhO8Wvx",,Sat Aug 18 10:11:07 +0000 2018
mitsubey,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/kvS9hDQGNU,,Sat Aug 18 09:52:10 +0000 2018
students4c,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/5kxkwn2eD4 #TimeToTalk #StudentSafety,,Sat Aug 18 09:46:01 +0000 2018
topnewstodayx,"PBSO: Two shot at high school football game in Wellington; no shooter in custody
https://t.co/cQHdiU7fnT https://t.co/VS0a29Ejc1",,Sat Aug 18 07:20:39 +0000 2018
3rdrockhome,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/RpayykNCQr,,Sat Aug 18 06:44:04 +0000 2018
NewsToppers,"Palm Beach Post PBSO: Two shot at high school football game in Wellington; no shooter in custody Palm Beach Post Two adults were shot Friday night — one injured critically — at a football game between Palm Beach Central and William T. Dwyer high schools,… https://t.co/H89DQ5KBOO https://t.co/vnmFo798bn",,Sat Aug 18 06:44:03 +0000 2018
MaxfMarius,RT @pbphighschools: PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,Sat Aug 18 06:40:04 +0000 2018
Marebear1472,@paxton Is the shooter in custody?,,Sat Aug 18 06:36:20 +0000 2018
SkinnyMcGhee,RT @AMas92: Ugh. No shooter in custody and not a random act of violence. That's not reassuring. https://t.co/RjKPqLtHRj,Ugh. No shooter in custody and not a random act of violence. That's not reassuring. https://t.co/RjKPqLtHRj,Sat Aug 18 06:18:07 +0000 2018
topnewstodayx,"PBSO: Two shot at high school football game in Wellington; no shooter in custody
https://t.co/cQHdiU7fnT https://t.co/FsyDbypfal",,Sat Aug 18 06:00:53 +0000 2018
openomroep,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ifdjj07Wgz,,Sat Aug 18 06:00:47 +0000 2018
opennGold,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/LXaylZXgFC,,Sat Aug 18 06:00:46 +0000 2018
pbphighschools,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Ee13SLsbPN,,Sat Aug 18 06:00:07 +0000 2018
Expat_Aussie,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/c5o6NbLhF5,,Sat Aug 18 05:22:01 +0000 2018
love41day,followme - PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post: Palm Beach Post PBSO: Two shot at high school football game in Wellington; no shooter in custody Palm Beach Post Two adults… https://t.co/sSNfqcVg9v - followforfollow https://t.co/ll1Oq8uJ2e,,Sat Aug 18 05:21:03 +0000 2018
Tampa_NC,Tampa News PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/k4tR6qWagA https://t.co/xyiOt2DtYM,,Sat Aug 18 05:10:48 +0000 2018
sasanews_,"Sat, 18 Aug 2018 04:53:22 GMT - PBSO: Two shot at high school football game in Wellington; no shooter in custody - #maga #conservatives #patriots -  https://t.co/fyYikb7a4I",,Sat Aug 18 04:53:22 +0000 2018
openomroep,PBSO: Two shot at high school football game in Wellington; no shooter in custody: - PBSO… https://t.co/kQkgN1BIL7,,Sat Aug 18 04:50:31 +0000 2018
AMas92,Ugh. No shooter in custody and not a random act of violence. That's not reassuring. https://t.co/RjKPqLtHRj,,Sat Aug 18 04:45:49 +0000 2018
Olgamartn3z,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/ac8QZk5dCu https://t.co/xFVvn0wBHx,,Sat Aug 18 04:34:36 +0000 2018
jones410,RT @NewsToppers: Palm Beach Post PBSO: Two shot at high school football game in Wellington; no shooter in custody Palm Beach Post Two adult…,"Palm Beach Post PBSO: Two shot at high school football game in Wellington; no shooter in custody Palm Beach Post Two adults were shot Friday night at a football game between Palm Beach Central and William T. Dwyer high schools, with the gunfire sending… https://t.co/sEGQDAeqDB https://t.co/j1zjl5PPru",Sat Aug 18 04:34:11 +0000 2018
3rdrockhome,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/qwxGXlkxHW,,Sat Aug 18 04:33:03 +0000 2018
NewsToppers,"Palm Beach Post PBSO: Two shot at high school football game in Wellington; no shooter in custody Palm Beach Post Two adults were shot Friday night at a football game between Palm Beach Central and William T. Dwyer high schools, with the gunfire sending… https://t.co/sEGQDAeqDB https://t.co/j1zjl5PPru",,Sat Aug 18 04:33:03 +0000 2018
GuthrieDavis,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/zxzHHHCQcE,,Sat Aug 18 04:30:06 +0000 2018
nancyneff2,PBSO: Two shot at high school football game in Wellington; no shooter in custody  https://t.co/b6jj0bHrFm,,Sat Aug 18 04:29:08 +0000 2018
RobinAria,PBSO: Two adults shot at high school football game in Wellington; no shooter in custody https://t.co/1OHST6NZLS,,Sat Aug 18 04:15:51 +0000 2018
NoMonday_watch,PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/GYEu4iD2gv https://t.co/liSjxD1ZXi,,Sat Aug 18 04:09:06 +0000 2018
Fashion_Diva_uk,Latest  PBSO: Two shot at high school football game in Wellington; no shooter in custody - Palm Beach Post https://t.co/AlhCKHy2iU https://t.co/Ydo1qQqHtb,,Sat Aug 18 04:09:06 +0000 2018
katwardphoto,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/ltRQpi7vaH,,Sat Aug 18 04:02:08 +0000 2018
EddyMujicca,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/B8Q50VQ681,,Sat Aug 18 03:58:44 +0000 2018
palmbeachpink,"@FabraClara @PBCountySheriff i’m sure @PBCountySheriff will post, was reported about 30 mins ago that shooter/s were not in custody so that would be priority now...so sad",,Sat Aug 18 03:48:13 +0000 2018
Podigraph,PBSO: Two shot at high school football game in Wellington; no shooter in custody https://t.co/rryKkBnVB3,,Sat Aug 18 03:18:23 +0000 2018
AlisaWright,Shooter not in custody &amp; two students were shot! This is truly heartbreaking! #PalmBeachCounty #PalmBeachCentral vs #Dwyer football game 💔 https://t.co/lpEYoaK79X,,Sat Aug 18 03:01:36 +0000 2018
KristinaWebb,LATEST: Two shot at high school football game in Wellington; no shooter in custody https://t.co/Q7EV6AVAtO,,Sat Aug 18 02:58:35 +0000 2018
aGuyonClematis,"Two shot at high school football game in Wellington; no shooter in custody - Palm Beach County Schools police have asked the sheriff’s violent crimes division to take over the investigation

https://t.co/s2j3aqOAMh",,Sat Aug 18 02:57:06 +0000 2018
NovusStarman2,"@SBMayorDavis #sanbernardino Scottish Rite Freemason/Mormon elite perped patsy resourced human sacrifice victims, Sylvia Marie Flores (2013) and Regina Limon (2015), during a CDOJ investigation of child deaths in county custody and FEMA IRC active shooter drill. (NOTE NOF 1810= 5 for 19 April) https://t.co/D8agcTItc9",,Sat Aug 18 02:32:12 +0000 2018
BigDru,"3 Dead, Gunman in Custody in Colorado Planned Parenthood Shooting https://t.co/ypa6SxgRme",,Fri Aug 17 22:43:29 +0000 2018
SydneyEditor,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 22:19:12 +0000 2018
MikeBilbeTaylor,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 22:17:57 +0000 2018
FOX13Memphis,"Shooter in custody, police investigating shooting on popular West Memphis street https://t.co/xAC13os7oI",,Fri Aug 17 22:04:07 +0000 2018
nicholaseagar,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 21:26:57 +0000 2018
manuelr24881275,"1 victim fatally shot, suspected shooter in custody after house fire in Harbor Gateway https://t.co/RAPn89tkiS

Reports of an “active shooter” after a structure fire in the Harbor Gateway area Tuesday morning prompted a massive police response.

copyright 2018

August 17, 20…",,Fri Aug 17 17:53:50 +0000 2018
santosa77851013,"1 victim fatally shot, suspected shooter in custody after house fire in Harbor Gateway: Reports of an “active shooter” after a structure fire in the Harbor Gateway area Tuesday morning prompted a massive police response.   copyright 2018 https://t.co/Z6eorQbhdV",,Fri Aug 17 17:46:02 +0000 2018
moefakih_2,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 15:52:55 +0000 2018
CRBinTx,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 15:34:37 +0000 2018
iamsecond___,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 13:07:21 +0000 2018
Geoffrol321,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 11:14:12 +0000 2018
dunlop_craig,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 10:46:18 +0000 2018
NickCalacouras,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 10:44:42 +0000 2018
davidhurleyHS,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 10:37:12 +0000 2018
chrisurquhart,"RT @em_partridge: #BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp;…","#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",Fri Aug 17 10:36:31 +0000 2018
Syke4415,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 10:34:56 +0000 2018
em_partridge,"#BREAKING #EXCLUSIVE Police arrest two men in relation to murder of bikie boss Mahmoud ""Mick"" Hawi. The alleged shooter &amp; one of the alleged planners are both are in custody at St George police station. Story first on @dailytelegraph https://t.co/RVjssSiMCa",,Fri Aug 17 10:29:03 +0000 2018
willbarrett_1,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 10:22:36 +0000 2018
kdfw015,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 10:07:06 +0000 2018
CeezJones,"RT @FOX4Terry: #BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead,…","#BREAKING @DallasPD has just taken a shooter in custody after he returned to the scene of a double shooting. A man is dead, a woman wounded. Details @GoodDayFox4 @FOX4 https://t.co/n8EdIiqNfR",Fri Aug 17 09:36:55 +0000 2018
