dgzmnyanna,keepsafe po 😇 pray po kayo bago magstart sa 3am challenge. https://t.co/CZYhlOLqiR,,Thu Aug 16 14:35:46 +0000 2018
January__27,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 17:51:48 +0000 2018
ademkimco,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 17:50:47 +0000 2018
warlita_tanda,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 17:38:00 +0000 2018
Gabrielle7210,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 17:06:42 +0000 2018
positivetina,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 16:54:30 +0000 2018
aissaflores1,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 16:54:28 +0000 2018
dean_cainglet,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 16:52:43 +0000 2018
ghie0210,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 16:31:40 +0000 2018
zarieav_,"Sobrang dami kong nababasa about sa Marikina. Jusko. Sumasakit dibdib ko. Lord, ingatan at tulungan mo po sila. Huhu pray lang. Keepsafe everyone! ❤️",,Sat Aug 11 16:02:21 +0000 2018
katagiri_ella,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 16:01:33 +0000 2018
achilles_shench,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 16:00:00 +0000 2018
MsDheLs,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:41:37 +0000 2018
vangie1435254,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:35:46 +0000 2018
FULCIE23,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:35:09 +0000 2018
may1195690129,RT @JenMayWard: PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAK…,"PRAY PO NATIN🙏 ANG LAHAT NG APEKTADO NG WALANG TIGIL NA PAG ULAN 🌧... SA MAY KAKAYAHAN TUMULONG 😇NA MALAPIT LANG DIN PO PAKITULUNGAN PO SILA👨‍👩‍👧‍👧 PERO INGAT DIN🙏SA MGA HUMIHINGI NG TULONG  SORRY✌ MAY MAPAGLINLANG DIN PO KASE😘
#Keepsafe https://t.co/W5dIGBtGJ4",Sat Aug 11 15:31:45 +0000 2018
