hailey_lynn1012,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:14:39 +0000 2018
itsrionna,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:13:55 +0000 2018
WLE_HCS,RT @teachergoals: We can't control what a kid sees at home. We can model a love of reading to kids in the classroom. Be careful when pickin…,We can't control what a kid sees at home. We can model a love of reading to kids in the classroom. Be careful when picking up your phone around kids. #teachergoals https://t.co/PpUM8UgE3j,Sat Aug 18 23:13:52 +0000 2018
kariiiinnaa,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:13:47 +0000 2018
LuanaVeliz,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:13:45 +0000 2018
issajournee,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:13:43 +0000 2018
omg_itastesogud,RT @DatTallUteWes: Be careful of the people you work with. Nuff a dem a pussyhole. NUFF A DEM.,Be careful of the people you work with. Nuff a dem a pussyhole. NUFF A DEM.,Sat Aug 18 23:13:41 +0000 2018
justwithyourjoy,"RT @BTSTICKETBOT: there are a lot of scammers and scalpers on here so please be careful when buying! ask for screen recordings, their numbe…","there are a lot of scammers and scalpers on here so please be careful when buying! ask for screen recordings, their number/facebook messenger, skype, etc so you know they’re trustworthy! we usually can’t get to all the dms about scammers since sales are more important",Sat Aug 18 23:13:40 +0000 2018
JaleenLeNeace,RT @ayethatsnayy: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:13:38 +0000 2018
NightwriterMl5,"@BreitbartNews Be careful, pal. If he ever does become a dictator, you'll be arrested and hanged.",,Sat Aug 18 23:13:38 +0000 2018
boomitsmaia2,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:13:37 +0000 2018
AndreaE_Tweets,"This thread is the reason Twitter is great; people telling their stories, giving the rest of us the gift of their perspective. Be careful, @jack. This is too valuable to lose. https://t.co/W2aHrdj3Av",,Sat Aug 18 23:13:36 +0000 2018
spxcedoutdjh,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:13:36 +0000 2018
PatAraujo_,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:13:34 +0000 2018
bbreonn,RT @meciaaaa_: Always be careful of what you hear about a girl.. Rumors either come from a dude that can’t get her or a girl who can’t comp…,Always be careful of what you hear about a girl.. Rumors either come from a dude that can’t get her or a girl who can’t compete with her.. 🎯,Sat Aug 18 23:13:34 +0000 2018
2prettyshaay,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:13:30 +0000 2018
yazminemunozz,RT @ItsLilbaby_1: Be careful how much u tolerate. You teaching them how to treat you,Be careful how much u tolerate. You teaching them how to treat you,Sat Aug 18 23:13:28 +0000 2018
MariamSugarplum,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:13:24 +0000 2018
jasminebelike,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:13:22 +0000 2018
Juliospina7,RT @siwonest_com: Dear Siwon fan... @Dtopbeautyworld is fake account !! Pls be careful Siwon is not nominate now @tccandler We hope nominat…,Dear Siwon fan... @Dtopbeautyworld is fake account !! Pls be careful Siwon is not nominate now @tccandler We hope nominate soon !! @siwonchoi #siwon #Tccandler2018 https://t.co/It0Be8DyJe,Sat Aug 18 23:13:22 +0000 2018
phendricks71,RT @KitOConnell: #AllOutATX successfully shouted down the Texans United For America hate rally and made them look like outnumbered fools.…,"#AllOutATX successfully shouted down the Texans United For America hate rally and made them look like outnumbered fools.

#Austin, be careful downtown and on 6th Street tonight: high probability of roaming, frustrated and violent TUFA nazis. #antifa",Sat Aug 18 23:13:21 +0000 2018
gmp_01,"THIS is real James Comey 

I ran across DOZENS of FAKE COMEY accounts with no disclamer. 

Be careful who to read &amp; respond to.  

LOOK at their @ handle https://t.co/GFoOlBVC8Z",,Sat Aug 18 23:13:19 +0000 2018
fck12___,RT @Serenityy_ann: So let me get this straight grown ass men go up to other grown ass men IN THE BATHROOM to gossip about who had sex w who…,So let me get this straight grown ass men go up to other grown ass men IN THE BATHROOM to gossip about who had sex w who... lmfaoooo ladies be careful who u fuck w https://t.co/WQUI444lCE,Sat Aug 18 23:13:17 +0000 2018
cheechee_locz,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:13:15 +0000 2018
img1104,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:13:13 +0000 2018
zac_efrain,"RT @karr_karrr: Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring","Idc how much you don’t like Cardi B, you can’t say she didn’t hit the spot with Be careful and Ring",Sat Aug 18 23:13:12 +0000 2018
rianlanasa12,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:13:12 +0000 2018
j3nnaaa_xox,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:13:10 +0000 2018
mujicaanthony,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:13:09 +0000 2018
BellaUnger,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:13:08 +0000 2018
Jacque_Christ,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:13:07 +0000 2018
godform_,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:13:05 +0000 2018
ballistictruth,"RT @LevesquesStache: If you're leaving the Sounders game, be careful as the @SeattlePD are committing unprovoked acts of violence against r…","If you're leaving the Sounders game, be careful as the @SeattlePD are committing unprovoked acts of violence against random peaceful citizens in order to make their friends who are Nazis look good. #AllOutSeattle",Sat Aug 18 23:13:04 +0000 2018
YesNeverAlways,"""I think you already know that, but that measuring tape's very sharp, so be careful not to cut yourself!""
""Cut. Yourself.""

""So.. Can I get your awesome suit?"" https://t.co/86PdcRCEKP",,Sat Aug 18 23:13:02 +0000 2018
cwnewsjournal,BE CAREFUL! Today’s heavy rain has caused major problems on local roads. These images were taken by @TrevorSherman1 on Fifth Street Road in Corbin. https://t.co/tj4Sfrgcdz,,Sat Aug 18 23:13:01 +0000 2018
_gargouille_,RT @danahduarte_: Please be careful if you work as a waitress/bartender/ hostess. This was a scary situation and it’s even scarier to think…,Please be careful if you work as a waitress/bartender/ hostess. This was a scary situation and it’s even scarier to think that some people actually do fall for these things. https://t.co/OqiDkn5Z30,Sat Aug 18 23:13:01 +0000 2018
oh96s,@mopage19 Be careful. They’re not as water resistant as they make them seem and Apple won’t do anything under warranty to fix it if it goes out,,Sat Aug 18 23:12:59 +0000 2018
livaavida,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:12:50 +0000 2018
Forgiven_Ent,"Just ended a stream due to a small group of immature people devaluing my streaming standards, as well as #Twitch.tv's, by using racial profanities and slurs on #Twitch, #YouTube, and #Facebook. Be careful if a ""player"" invites you into their #Discord. You never know who may talk.",,Sat Aug 18 23:12:49 +0000 2018
savannahcollum,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:12:46 +0000 2018
JuanVel777,@ItsSkyLOL Yes I know what you are talking about. Driving at night alone feeling the fresh air of the night. Amazing 👌👌 be careful btw,,Sat Aug 18 23:12:45 +0000 2018
bombsfall,@supersandaas Sorry I'll be more careful about assuming that the particular germans who were nazi soldiers for the nazi army in nazi germany can in fact be called nazis.,,Sat Aug 18 23:12:45 +0000 2018
iam_AbuAlee,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:12:44 +0000 2018
JefeKono,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:12:43 +0000 2018
lilhoss123,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:12:40 +0000 2018
Neyo_08,RT @MomshieArts: Ang GMO  behind ng long running teleserye na Please be careful with my heart! Ako Im not worried sa anong time slot ibigay…,"Ang GMO  behind ng long running teleserye na Please be careful with my heart! Ako Im not worried sa anong time slot ibigay nila for PH, kasi naniniwala pag @GMOunit maganda ang story flow nyan.  Kaya sooo happy naging part si @delavinkisses 

#PlayHouseOnlineTeaser",Sat Aug 18 23:12:38 +0000 2018
CathyAnnOfen,"@JF_Priest @realDonaldTrump Good Lord, why do you all lack common sense and logic?
It doesn't matter if you are a Republican,  Libertarian, Socialist, or Communist.  Your graph was deliberately misleading.  Another tip:  you might want to be careful about calling others idiots. 😊",,Sat Aug 18 23:12:37 +0000 2018
talortx,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:12:32 +0000 2018
BRRITTBRAAT,RT @meciaaaa_: Always be careful of what you hear about a girl.. Rumors either come from a dude that can’t get her or a girl who can’t comp…,Always be careful of what you hear about a girl.. Rumors either come from a dude that can’t get her or a girl who can’t compete with her.. 🎯,Sat Aug 18 23:12:27 +0000 2018
puntingstars,"Randwick R5 - Irukandji has run well above his SP here. 
Randwick R6 - Winx just super doing what many couldn't out wide. 2nd horse had SP's ranging from 150-1 to 400-1. So be careful here!
Randwick R7 - The ride won the race. Super J Mac again Le Romain who was cold in betting",,Sat Aug 18 23:12:27 +0000 2018
naturalele_,RT @NOLAnews: Power lines are on fire at Carrollton Avenue and Toulouse Street. Be careful everyone. https://t.co/3MNL2gLm5w,Power lines are on fire at Carrollton Avenue and Toulouse Street. Be careful everyone. https://t.co/3MNL2gLm5w,Sat Aug 18 23:12:23 +0000 2018
BoneKnightmare,RT @NOLAnews: Power lines are on fire at Carrollton Avenue and Toulouse Street. Be careful everyone. https://t.co/3MNL2gLm5w,Power lines are on fire at Carrollton Avenue and Toulouse Street. Be careful everyone. https://t.co/3MNL2gLm5w,Sat Aug 18 23:12:22 +0000 2018
blisspanic,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:12:18 +0000 2018
technolojica,"@aquaorbs — they might not let me see you again- and you know I wouldn't know what to do without you!” She began to breathe quicker, hands instinctively going to the charm on her necklace. Giving it a few anxious squeezes.

“You just have to be careful, /promise/ me you'll be careful.” —",,Sat Aug 18 23:12:18 +0000 2018
anazaffari1,Be careful what you wish for cause you just might get it,,Sat Aug 18 23:12:14 +0000 2018
karloloredo,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:12:13 +0000 2018
SelenePreciado2,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:12:09 +0000 2018
Doug_Rush,"At this rate, the #Astros might want to be careful of not just the #Athletics taking over the AL West, but possibly the #Mariners catching them in the AL Wild Card too.",,Sat Aug 18 23:12:08 +0000 2018
keepshiningolly,@_EmreTurkmen_ Interesting but be careful Em cos they may appear to be cute and harmless but in fact the quills are sharp and dangerous ....,,Sat Aug 18 23:12:07 +0000 2018
WantSomeTee,"RT @MasinElije: Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely…","Your image is everything. You have to be very careful going back and forth with people, pick and choose your battles wisely because some people’s only motive is to ruin your reputation and tarnish your image because they’re jealous of the life you’re living.",Sat Aug 18 23:12:07 +0000 2018
mollyacoleman,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:12:02 +0000 2018
AngelicaLaBrake,"RT @JonBenetGlamsyy: Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa…","Attention SD: 

I got approached by two women soliciting “God the Mother” in the 99¢ store off of Fletcher in La Mesa today around 1pm. 
They were with a man. 
This was their van. 
Be careful! 

#SanDiego https://t.co/HsVfvjYm28",Sat Aug 18 23:11:59 +0000 2018
nvmyoongs,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:11:58 +0000 2018
angels_allure,"RT @stevie_mat: Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which…","Men face legitimate issues, but we can discuss them without throwing women, who are far more at risk, under the bus, which is what the ""not JUST girls"" framing does. You mean well, but let's be careful with that, please. https://t.co/sJrU5vRtPK",Sat Aug 18 23:11:57 +0000 2018
Adaliabrand8,"A real man can’t stand seeing his woman hurt. He’s careful with his decisions and actions, so he never has to be responsible for her pain.
#LifeLesson #WiseWords",,Sat Aug 18 23:11:53 +0000 2018
goddessmonroe11,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:11:51 +0000 2018
TheeYoungenn,RT @FinneeShawty: Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Lil Baby Said “Be careful how much u tolerate. You teaching them how to treat you.”,Sat Aug 18 23:11:51 +0000 2018
Nana_Xsy,"RT @lilbaby4PF: Be careful how much you tolerate , you teaching them how to treat you !","Be careful how much you tolerate , you teaching them how to treat you !",Sat Aug 18 23:11:50 +0000 2018
