ikodu_boie,@thatboi_on_fire @Klannyposts @GeniusJokerNG Tank yu,,Sun Aug 19 08:16:27 +0000 2018
DonKurae,"RT @NephiamArt: Dude, I'm *SO* frustrated with my fire mage right now
My stat priority is literally upside down. My dps couldn't be lower,…","Dude, I'm *SO* frustrated with my fire mage right now
My stat priority is literally upside down. My dps couldn't be lower, I almost can't survive on my own in the overworld and I'm below the tank in dungeons and I don't know what to do ;;;;;",Sat Aug 18 19:36:12 +0000 2018
NephiamArt,"Dude, I'm *SO* frustrated with my fire mage right now
My stat priority is literally upside down. My dps couldn't be lower, I almost can't survive on my own in the overworld and I'm below the tank in dungeons and I don't know what to do ;;;;;",,Sat Aug 18 19:23:34 +0000 2018
Harshal_Tank,RT @jagdishshetty: A small fire ignited by Dr @Swamy39 on National Herald has turned into a mighty Inferno for the Gandhis: Rahul Gandhi’s…,A small fire ignited by Dr @Swamy39 on National Herald has turned into a mighty Inferno for the Gandhis: Rahul Gandhi’s tax assessment reopened as facts were concealed: I-T dept to Delhi high court via @htTweets https://t.co/LyOljdPhRd,Sat Aug 18 18:58:48 +0000 2018
ReservedRowan,"Jesus what a hardpoint, UNILAD made a couple small mistakes there that cost them, one or two gunfights as well that they should have won. For example Alexx against Felo near fire tank right before EUNITED take the lead on Bunker hill.",,Sat Aug 18 17:40:27 +0000 2018
answerallman,RT @queerthoughts: We live off the grid at the farm. This is our water heater in the summer kitchen. Water is pumped up to a tank on the ro…,"We live off the grid at the farm. This is our water heater in the summer kitchen. Water is pumped up to a tank on the roof and then it flows into an envelope inside this tank. A fire made up of scrap pieces of wood is built inside, heating up the water. It's very efficient. https://t.co/7r1ajDbput",Sat Aug 18 17:32:45 +0000 2018
fotodave,@DisneyfiedAsh I tend to fill up before the light goes on. Anything over 320 miles on a tank and I'm playing with fire.,,Sat Aug 18 17:31:34 +0000 2018
Nick_Tank_Fire,"RT @JimCarrey: 40 innocent children killed on a bus in Yemen.
Our ally.
Our missile.
Our crime. https://t.co/yQ7FULulj2","40 innocent children killed on a bus in Yemen.
Our ally.
Our missile.
Our crime. https://t.co/yQ7FULulj2",Sat Aug 18 16:42:22 +0000 2018
BofB1940,#OnThisDay1940 151Sqn Hurricane oil tank damaged by cross-fire during attack on Ju88 east of Chelmsford 5:30pm W/Cdr Beamish unhurt,,Sat Aug 18 16:31:25 +0000 2018
Hank_thee_Tank,"RT @WWIIpix: WWII Fact: 1943, American and Canadian forces landed on the island of Kiska, Operation Cottage. By the time the island was dec…","WWII Fact: 1943, American and Canadian forces landed on the island of Kiska, Operation Cottage. By the time the island was declared secure they lost over 300 men, most due friendly fire and booby traps.

Japanese casualties, none, they had abandoned the island 2 weeks prior. #WW2 https://t.co/SXw4Isy7dY",Sat Aug 18 13:45:18 +0000 2018
IamAjmeria,"#Fire #Hydrant with , #Pump #room,  with #Fire #NOC ,1. Lakhs ltrs #Water #storage #tank
#Flooring- #Trimix #floor with #load #bearing #capacity of 6 ton per https://t.co/kun5YhVDzN
#Dock- #Cross #docking
#Road- 60 ft. #wide #road on  #front side 
#Canopy- 3 mtr. though the https://t.co/nUPFHl1D5Z",,Sat Aug 18 11:36:12 +0000 2018
Warp_Fire,RT @WW2Nation: A close run thing as Sherman Tank Lily Marlene is on the move and almost crushes artist @Burns_Keith painting at the @CVHIST…,A close run thing as Sherman Tank Lily Marlene is on the move and almost crushes artist @Burns_Keith painting at the @CVHISTORYFEST. No paintings were harmed in the making of this video! https://t.co/meak8douHk,Sat Aug 18 11:15:21 +0000 2018
Scooterissima,RT @queerthoughts: We live off the grid at the farm. This is our water heater in the summer kitchen. Water is pumped up to a tank on the ro…,"We live off the grid at the farm. This is our water heater in the summer kitchen. Water is pumped up to a tank on the roof and then it flows into an envelope inside this tank. A fire made up of scrap pieces of wood is built inside, heating up the water. It's very efficient. https://t.co/7r1ajDbput",Sat Aug 18 11:01:57 +0000 2018
queerthoughts,"We live off the grid at the farm. This is our water heater in the summer kitchen. Water is pumped up to a tank on the roof and then it flows into an envelope inside this tank. A fire made up of scrap pieces of wood is built inside, heating up the water. It's very efficient. https://t.co/7r1ajDbput",,Sat Aug 18 10:57:37 +0000 2018
LFT411,"RT KATCTV3 ""UPDATE: An oil tank fire along Breaux Bridge Highway is now out.
https://t.co/pOGXdNLWVs""",,Sat Aug 18 07:04:47 +0000 2018
LFT411,"RT KATCTV3 ""SAmitisalab https://t.co/pOGXdNLWVs""",,Sat Aug 18 07:04:47 +0000 2018
LFT411,"RT KATCTV3 ""Oil tank on fire in St. Martin Parish https://t.co/pOGXdNLWVs https://t.co/89m8J9vS5C""",,Sat Aug 18 07:04:45 +0000 2018
LFT411,"RT YourNews15 ""St. Martin Parish fire fighters are on the scene of a refinery fire 
outside Breaux Bridge... Picture courtesy Belle Landry LeBlanc https://t.co/jdFeLMl2dG https://t.co/jdFeLMl2dG""",,Sat Aug 18 07:01:33 +0000 2018
mousemama828,RT @KATCTV3: Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Sat Aug 18 01:50:50 +0000 2018
wagon_fire,RT @RealMuckmaker: You know Lindsay Graham is in Putin's tank when he says that the FBI is at fault for Russia getting into Trump's campaig…,"You know Lindsay Graham is in Putin's tank when he says that the FBI is at fault for Russia getting into Trump's campaign. Yep, they should have been fighting the Russians off....hard to believe right? Graham has done a complete 180 on Russia. Putin must have something on Graham. https://t.co/BBaC7brQ8M",Sat Aug 18 01:42:30 +0000 2018
dailyfactzz,"Shawn Timothy Nelson was a U.S. Army veteran and unemployed plumber who stole an M60A3 Patton tank from a United States National Guard Armory in San Diego, California, and went on a rampage on May 17, 1995, destroying cars, fire hydrants, and a recreational vehicle before being… https://t.co/CbJ8Y4lZiJ",,Sat Aug 18 01:31:05 +0000 2018
StateStatus_LA,https://t.co/4Yuh8BaHZG Oil tank fire extinguished in St. Martin Parish - https://t.co/23XRDTIjSy #LA #Louisiana https://t.co/zRVEOvZCvX,,Sat Aug 18 00:55:27 +0000 2018
imnottayediggs,"2) Bautista used to improvise some of his lines And really made that character is own. A new Actor would not have the same relationship on screen with the cast members that he does

3) The decision to fire gunn alone is going to tank sales. Replacing Bautista would make it worse",,Fri Aug 17 23:16:02 +0000 2018
Theriot_Kid,RT @KATCTV3: Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Fri Aug 17 23:06:38 +0000 2018
itsmoonside,that officer...should be run over....by a tank with knives on the tread....that just happens to be covered in poison ivy.....and is also on fire......and laced with millions of tiny fire proof angry metal bees going straight into his asshole.... https://t.co/p5OsM2eZKm,,Fri Aug 17 22:55:34 +0000 2018
KATCTV3,"UPDATE: An oil tank fire along Breaux Bridge Highway is now out.
https://t.co/eXUfHTtR8i",,Fri Aug 17 22:42:50 +0000 2018
SAmitisalab,RT @KATCTV3: Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Fri Aug 17 22:24:15 +0000 2018
973thedawg,RT @KATCTV3: Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Fri Aug 17 22:21:16 +0000 2018
SAmitisalab,RT @KATCTV3: @SAmitisalab https://t.co/eXUfHTtR8i,@SAmitisalab https://t.co/eXUfHTtR8i,Fri Aug 17 22:20:18 +0000 2018
KATCTV3,@SAmitisalab https://t.co/eXUfHTtR8i,,Fri Aug 17 22:17:19 +0000 2018
YourNews15,"St. Martin Parish fire fighters are on the scene of a refinery fire 
outside Breaux Bridge... Picture courtesy Belle Landry LeBlanc https://t.co/qHb56aQqcR https://t.co/qHb56aQqcR",,Fri Aug 17 22:12:05 +0000 2018
jimhummel,RT @KATCTV3: Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,Fri Aug 17 21:59:37 +0000 2018
KATCTV3,Oil tank on fire in St. Martin Parish https://t.co/eXUfHTtR8i https://t.co/s8XeKI5tB6,,Fri Aug 17 21:43:24 +0000 2018
Nick_Tank_Fire,"@_thejuicejoint Haha you don’t want this fire hammer on your screen bro, real talk. Hahaha",,Fri Aug 17 20:24:58 +0000 2018
LarameeThomas,@BrokenMachine As the ring of fire closes in on you. Just you and the tank. https://t.co/kFhmmRsvQD,,Fri Aug 17 19:58:45 +0000 2018
big081574,"@HeWhoWaits1776 @realDonaldTrump I disagree.
No more riding the fence time.
Shit or get off the pot time.
All or nothing time.
Make sure your oil jar is full time.
 ""What do you do when I rap on the tank?!
Get some! Get some! Fire at will!!""",,Fri Aug 17 19:54:21 +0000 2018
MullalyTyler,Wrentham fire responding to Camper fire multiple propane tank in the camper first company on Arrival and propane tanks explosion,,Fri Aug 17 19:08:59 +0000 2018
TausDatSausBaus,"@SunnyC23 Play the tank spec, Vengence. Good damage and super high survivability!... Oh, and you set everything on fire around you!! https://t.co/114uXKK64J",,Fri Aug 17 19:07:39 +0000 2018
Bacchus_Tank,@Can_Atheist @Sharman6642 As you spin through the universe on a ball whilst it spins around a ball of fire. LOL.  Yeah man you know it all!  You people are so very sad and missing the whole point.,,Fri Aug 17 18:51:07 +0000 2018
akonadi_oakland,"""The Fire Next Time: A Call and Response” is a year-long arts, culture and community engagement initiative launching on 8.25.18, that is part cultural think tank + exhibition + instigation. @bettiono Supported through our #BelovedCommunity Fund. https://t.co/rYCtGgiYpF",,Fri Aug 17 16:15:26 +0000 2018
Jbarv5,@steveucnlive Mares would need to box the wheels off of tank cause he doesn't have the fire power to even make a dent on the tank,,Fri Aug 17 15:02:27 +0000 2018
ChinooValentino,@AishiaDeal That tank looks fire on you beloved,,Fri Aug 17 14:55:20 +0000 2018
Fire_Womble,"Put a fiver into my petrol tank, fuel light still on",,Fri Aug 17 14:36:59 +0000 2018
NabilStendardo,"@chegster26 @NyassaH @TESOnline @ElloaWendy I think it depends on the dungeon. I could tank vFG1 for instance with my sorc with inner fire and spamming ward. And there are also semipug situations, like having a healer+tank that pugs with a dd as a healer and a tank.",,Fri Aug 17 12:54:18 +0000 2018
Atomic_Tank,"@Rosewesails Getting a bit warm at Costa del Sol, huh? Or did someone snap and set the climbing tower on fire?",,Fri Aug 17 09:32:35 +0000 2018
BillClint001,RT @clinton_ohogo: We know what the birth of a revolution looks like: A student stands before a tank. A fruit seller sets himself on fire.…,"We know what the birth of a revolution looks like: A student stands before a tank. A fruit seller sets himself on fire. Crowds surge, soldiers fire, gusts of rage pull down the monuments of tyrants, and maybe, sometimes, justice rises from the flames.
#ReleaseBobiWine https://t.co/MciLNcAt82",Fri Aug 17 06:53:40 +0000 2018
clinton_ohogo,"We know what the birth of a revolution looks like: A student stands before a tank. A fruit seller sets himself on fire. Crowds surge, soldiers fire, gusts of rage pull down the monuments of tyrants, and maybe, sometimes, justice rises from the flames.
#ReleaseBobiWine https://t.co/MciLNcAt82",,Fri Aug 17 06:47:53 +0000 2018
andreabatista_,Drake’s verse on Celebration by Tank was so fire for the subtweets,,Fri Aug 17 04:55:21 +0000 2018
Zengoddess1955,"Not so long ago I was at a casino. Minding my own biz, me with my o2 tank called Huey and a nose cannula and the guy next to me asked me if I wanted a smoke. Dude I'm on oxygen. This shit will make a fire burn faster. Some people.",,Fri Aug 17 03:19:45 +0000 2018
EugeneMcCarty,@WalshFreedom @FoxNews @MSNBC @abcnews had an OPEN door to @BarackObama W.H. All of em in tank for King O &amp; you know it. So quit setting your hair on fire...you're gonna go bald.,,Fri Aug 17 02:52:10 +0000 2018
MikeCollierWX,RT @KJRH2HD: BREAKING: Tulsa fire called to assist Skiatook fire on propane tank gas leak https://t.co/mvexlAqOf0 https://t.co/eEm4AVyAfG,BREAKING: Tulsa fire called to assist Skiatook fire on propane tank gas leak https://t.co/mvexlAqOf0 https://t.co/eEm4AVyAfG,Fri Aug 17 02:28:53 +0000 2018
KJRH2HD,BREAKING: Tulsa fire called to assist Skiatook fire on propane tank gas leak https://t.co/mvexlAqOf0 https://t.co/eEm4AVyAfG,,Fri Aug 17 02:25:34 +0000 2018
OldManRenz,"@hleagueofficial @Prophet_On_Fire @Battlefield That’s funny, i hated that I saw a tank in the BR spot. I’m 100% not interested in tanks in a BR. Look what people did with vehicles in PUBG...I’m not hating, just REALLY want to see how it’s all implemented, you know?",,Fri Aug 17 02:14:59 +0000 2018
hleagueofficial,@Prophet_On_Fire @Battlefield I love that I saw a tank during in from the ring of fire!!!!!,,Fri Aug 17 02:06:19 +0000 2018
wallstreetoneil,"@HarjitSajjan @CanadianForces Is this a parody tweet?

WTF does gender have to do with training a lethal force to kill an enemy?

Do you shoot people of different sexes in the head differently?
Do you fire missiles or tank shells to kill people differently based on sex?

That's 1 gov't e'ee needing fired ASAP",,Fri Aug 17 00:33:53 +0000 2018
nichols_terence,"@Universe_CAN @OpTicUpdate You know what scump did? Forest with 45secs left, two dead, mid lane is wide open and the enemy is facing towards Cave, easy 2 piece to their backs, and you know what scump did? He was laying prone on fire tank for 20secs and waited until they turned around and died. Bitch play.",,Thu Aug 16 23:57:18 +0000 2018
oratoryrupture,"""One propane tank was allegedly stored on its side near a fire source, which DeSouza said should earn itself a Darwin Award for stupidity.""

https://t.co/4Fp2TH998h",,Thu Aug 16 23:52:31 +0000 2018
bfeldner22,@OMS_dat_dude Dude that guy was on fire.. if I was him I’d be pimping home runs too don’t even lie you would be doing the same if you hit an absolute tank,,Thu Aug 16 23:03:39 +0000 2018
frank3davies,@FlorentPirot @DavidpHearn thank you - that explains what happened to the british tank crew killed by friendly fire. The bbc news reports did not cover the detail in the article. It's very disturbing that tactical use of nuclear weapons is already on the battlefield.,,Thu Aug 16 20:50:02 +0000 2018
BootlegGirl,RT @BootlegGirl: @loudpenitent @Sarcasmorator @deluske @saintwalker98 The newest Vader comics (that follow up on Revenge of the Sith) estab…,"@loudpenitent @Sarcasmorator @deluske @saintwalker98 The newest Vader comics (that follow up on Revenge of the Sith) establish that Vader really is a walking misery cloud, when he's inside his tank he sees himself in a medidation posture, but on fire, and intentionally flashes back to being burned alive as a motivator",Thu Aug 16 20:00:04 +0000 2018
BootlegGirl,"@loudpenitent @Sarcasmorator @deluske @saintwalker98 The newest Vader comics (that follow up on Revenge of the Sith) establish that Vader really is a walking misery cloud, when he's inside his tank he sees himself in a medidation posture, but on fire, and intentionally flashes back to being burned alive as a motivator",,Thu Aug 16 19:59:10 +0000 2018
lcameron4435,RT @ron_eisele: 10 August 1918:  Sopwith Camel E4389 (with wing roundels and top fuselage markings painted over to be less conspicuous from…,10 August 1918:  Sopwith Camel E4389 (with wing roundels and top fuselage markings painted over to be less conspicuous from above) landed on its nose with its fuel tank shot through by heavy ground fire. https://t.co/KBXhtkolxh,Thu Aug 16 18:35:45 +0000 2018
philiprichards5,RT @ron_eisele: 10 August 1918:  Sopwith Camel E4389 (with wing roundels and top fuselage markings painted over to be less conspicuous from…,10 August 1918:  Sopwith Camel E4389 (with wing roundels and top fuselage markings painted over to be less conspicuous from above) landed on its nose with its fuel tank shot through by heavy ground fire. https://t.co/KBXhtkolxh,Thu Aug 16 18:33:40 +0000 2018
LeeroyGB,RT @ron_eisele: 10 August 1918:  Sopwith Camel E4389 (with wing roundels and top fuselage markings painted over to be less conspicuous from…,10 August 1918:  Sopwith Camel E4389 (with wing roundels and top fuselage markings painted over to be less conspicuous from above) landed on its nose with its fuel tank shot through by heavy ground fire. https://t.co/KBXhtkolxh,Thu Aug 16 18:33:13 +0000 2018
ron_eisele,10 August 1918:  Sopwith Camel E4389 (with wing roundels and top fuselage markings painted over to be less conspicuous from above) landed on its nose with its fuel tank shot through by heavy ground fire. https://t.co/KBXhtkolxh,,Thu Aug 16 18:30:26 +0000 2018
aiMTecGHOST_,"@TmarTn PLEASE tell me that Johnny Cash's ""ring of fire will be on the tank radios?",,Thu Aug 16 17:13:23 +0000 2018
RipSverige,"RT @Imeninme: @sweden_pm #Swedenstan »
As #Sweden on Fire... #Princess Madeleine of #Sweden Moves to the #US For The Good Of Her Children…","@sweden_pm #Swedenstan »
As #Sweden on Fire... #Princess Madeleine of #Sweden Moves to the #US For The Good Of Her Children

@BorgstromAnette @TheGamingGround
@AnnaAnderssonGB @martinnpmat @pa_tank
@TorBurman @konstockholm @Robban31795631
@WestStream2 @goteborg415

https://t.co/Bj7FUsyNVx",Thu Aug 16 16:32:13 +0000 2018
diwidog,@DANNYonPC Does it have friendly fire on by default???? First tank shot?,,Thu Aug 16 13:19:02 +0000 2018
Mattfromthepas1,@SplattoDelGato @Disney Ha! and I am sure the people at Lucasarts who were working hard and not trying to tank the company were hoping they would get transferred but they were all fired.  How much quicker is Disney going to be to fire people who tanked the last company on purpose?,,Thu Aug 16 12:21:18 +0000 2018
Patseesall1,@replouiegohmert @DailyCaller Finally Potus woke up. Now maybe he will FIRE they little twerp Sessions and Mueller and Rosenstien. He is wasting the first half of his Presidency by having an AG that is in the tank for the Left. For whatever reasons Sessions turned on Day two. Snubbed Potus on Day two. Firehim,,Thu Aug 16 11:13:40 +0000 2018
ArcsTweets,"RT @ArcsTweets: ""Hungarians Retrofit Jet Engine Powered Tank That Puts Out Fires""  😎
https://t.co/ncbvO28fPW https://t.co/bv09AjjxmY","""Hungarians Retrofit Jet Engine Powered Tank That Puts Out Fires""  😎
https://t.co/ncbvO28fPW https://t.co/bv09AjjxmY",Thu Aug 16 08:52:41 +0000 2018
Tealz_BCB,RT @TB_blanksy: SUPPORT THIS DOPE ASS EVENT. @GVSpaperfairy is putting in mad work to put on a sick CT tournament with lots of sick merch.…,SUPPORT THIS DOPE ASS EVENT. @GVSpaperfairy is putting in mad work to put on a sick CT tournament with lots of sick merch. Pls give him your money and purchase a fire ass tank top 🔥 https://t.co/rpFR7iGPrj,Thu Aug 16 08:00:28 +0000 2018
Imeninme,"@sweden_pm #Swedenstan »
As #Sweden on Fire... #Princess Madeleine of #Sweden Moves to the #US For The Good Of Her Children

@BorgstromAnette @TheGamingGround
@AnnaAnderssonGB @martinnpmat @pa_tank
@TorBurman @konstockholm @Robban31795631
@WestStream2 @goteborg415

https://t.co/Bj7FUsyNVx",,Thu Aug 16 07:38:59 +0000 2018
Vexfimy,@NonVicious legit spawn strats triple ar on Ardennes one one bunker one back watching fire tank and another laying down on rock pre aiming bell sitting there for literally 2 minutes its actually disgusting,,Thu Aug 16 06:56:26 +0000 2018
ExodiusLK,RT @TB_blanksy: SUPPORT THIS DOPE ASS EVENT. @GVSpaperfairy is putting in mad work to put on a sick CT tournament with lots of sick merch.…,SUPPORT THIS DOPE ASS EVENT. @GVSpaperfairy is putting in mad work to put on a sick CT tournament with lots of sick merch. Pls give him your money and purchase a fire ass tank top 🔥 https://t.co/rpFR7iGPrj,Thu Aug 16 05:57:16 +0000 2018
thwilkins,RT @TampaFireRescue: TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s…,TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s 4000 GPM foam nozzle and honoring firefighters in a great way with this hat. https://t.co/76tIyuZyCX,Thu Aug 16 03:58:14 +0000 2018
BeardedFish927,I think I'm done with my 2018 #Nats Twitter. At this point I just want them to finish with some fire. Please don't tank and finish at or below .500. They'll be good again next year. Maybe even fired up after this one. And I'll be there on opening day as always. See. You. Later.,,Thu Aug 16 02:00:43 +0000 2018
JoseAR15S,"I liked a @YouTube video https://t.co/9WELM4RxDI Oh My God, The Tank Is On Fire (Comparison)",,Thu Aug 16 00:43:23 +0000 2018
squatchh_,@chrstphrblake Primary fire only for the DPS on top. Speed boost is an absolute must. But she goes into auto Halt! So she can just tank through chokes.,,Thu Aug 16 00:40:20 +0000 2018
GreatValueSmash,RT @TB_blanksy: SUPPORT THIS DOPE ASS EVENT. @GVSpaperfairy is putting in mad work to put on a sick CT tournament with lots of sick merch.…,SUPPORT THIS DOPE ASS EVENT. @GVSpaperfairy is putting in mad work to put on a sick CT tournament with lots of sick merch. Pls give him your money and purchase a fire ass tank top 🔥 https://t.co/rpFR7iGPrj,Thu Aug 16 00:04:19 +0000 2018
CharlesRSmith10,"RT @HNIJohnMiller: @ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the f…","@ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the front of a Tiger, and it would spread across the bottom of the tank.",Wed Aug 15 23:58:06 +0000 2018
battlefrontgen1,"RT @HNIJohnMiller: @ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the f…","@ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the front of a Tiger, and it would spread across the bottom of the tank.",Wed Aug 15 23:53:23 +0000 2018
StAnIsHr,"RT @HNIJohnMiller: @ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the f…","@ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the front of a Tiger, and it would spread across the bottom of the tank.",Wed Aug 15 23:51:08 +0000 2018
TunnelRatRanger,"RT @HNIJohnMiller: @ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the f…","@ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the front of a Tiger, and it would spread across the bottom of the tank.",Wed Aug 15 23:37:22 +0000 2018
the_mubarak,@bushrawastea @Syngrafeas__ @varkaIa Simple things like peaceful handover of power. Corbyn isnt going to jump on a tank and fire on Westminster whilst it’s very common place for a opposition leaders to take up arms in Africa.these norms take a very long time to establish and most of our countries are barely 60 years,,Wed Aug 15 23:32:47 +0000 2018
HNIJohnMiller,"@ThomasWictor @FortAwesome451 11) See, their transmission was in the front. Catch that on fire with a good shot to the front of a Tiger, and it would spread across the bottom of the tank.",,Wed Aug 15 23:25:27 +0000 2018
jewels4dmind,"▶ Repost from allornothing_sportsapparel .
.
@lacedfacts kids setting Cali on fire with the sauce 🔥🔥#AONsauce #Tank #lacedfactskids https://t.co/qs3UADYIeU",,Wed Aug 15 21:58:43 +0000 2018
HatIslandInfo,"Please do not leave your propane tank unattended while using it.  There have been two incidences of propane tanks ""exploding"" and catching fire to decks and surrounding grass on the island.",,Wed Aug 15 21:45:42 +0000 2018
TB_blanksy,SUPPORT THIS DOPE ASS EVENT. @GVSpaperfairy is putting in mad work to put on a sick CT tournament with lots of sick merch. Pls give him your money and purchase a fire ass tank top 🔥 https://t.co/rpFR7iGPrj,,Wed Aug 15 20:51:45 +0000 2018
tzurla,RT @TampaFireRescue: TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s…,TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s 4000 GPM foam nozzle and honoring firefighters in a great way with this hat. https://t.co/76tIyuZyCX,Wed Aug 15 20:44:03 +0000 2018
EDeskins,Yea escaping a straight jacket over a tank of sharks while the rope holding you is on fire is cool and all but I’d be really impressed if someone tries to put on a sports bra while wet over a tank of sharks with the rope burning #justsaying,,Wed Aug 15 19:56:43 +0000 2018
saltysailor0524,RT @TampaFireRescue: TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s…,TFR on scene at Murphy Oil USA with the folks from Marathon participating in a tank fire exercise utilizing Marathon’s 4000 GPM foam nozzle and honoring firefighters in a great way with this hat. https://t.co/76tIyuZyCX,Wed Aug 15 19:40:39 +0000 2018
TheDailySun,Retreat Volunteer Fire Department Tender 60 and Brush 52 responded with four volunteers to a grass fire Aug. 8 on FM 709 across from the tank farm. https://t.co/qZAfBjaIe0,,Wed Aug 15 19:00:22 +0000 2018
