jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
IswanajF,"RT @iswana_j: We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWit…","We all know that Kerala is suffering from heavy rain and it's worst flooding .So in this moment let's 
#DoForKerala #StandWithKerala #prayforkerala",Sat Aug 18 16:46:03 +0000 2018
chipsy231,"RT @FOX25Weather: A BRIEF HEAVY RAIN SHOWER POSSIBLE THIS MORNING. for Cheshire, Western And Central Hillsborough [NH] till 11:30 AM EDT ht…","A BRIEF HEAVY RAIN SHOWER POSSIBLE THIS MORNING. for Cheshire, Western And Central Hillsborough [NH] till 11:30 AM EDT https://t.co/CuqumAqAVt",Sat Aug 18 16:45:20 +0000 2018
bsubram,RT @DeccanHerald: #Kodagu district is virtually under siege as heavy rain continued to batter the coffee bowl of the state. Incessant rain…,"#Kodagu district is virtually under siege as heavy rain continued to batter the coffee bowl of the state. Incessant rain claimed four lives on Friday. | #KodaguFloods #KodaguFloods2018 

https://t.co/nz7RptzEED",Sat Aug 18 16:45:14 +0000 2018
estebanisgone,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:44:47 +0000 2018
FOX25Weather,"A BRIEF HEAVY RAIN SHOWER POSSIBLE THIS MORNING. for Cheshire, Western And Central Hillsborough [NH] till 11:30 AM EDT https://t.co/CuqumAqAVt",,Sat Aug 18 16:44:35 +0000 2018
BarnosiOliver,Me ha gustado un vídeo de @YouTube (https://t.co/cL52VBYPrM - Heavy Rain #23 Libre).,,Sat Aug 18 16:44:12 +0000 2018
saliamma91,"RT @madhyamam: #KeralaSOS, #KeralaFloods മ​ര​ണ​ത്തെ മു​ഖാ​മു​ഖം ക​ണ്ട ദിനരാത്രങ്ങൾ https://t.co/dkSCOhJxyT","#KeralaSOS, #KeralaFloods മ​ര​ണ​ത്തെ മു​ഖാ​മു​ഖം ക​ണ്ട ദിനരാത്രങ്ങൾ https://t.co/dkSCOhJxyT",Sat Aug 18 16:43:59 +0000 2018
shashank7508032,RT @narendrkumar79: This is what happens to the rivers when the forests are cut https://t.co/lpWVFyhG5S you know why all the rivers are ove…,This is what happens to the rivers when the forests are cut https://t.co/lpWVFyhG5S you know why all the rivers are overflowing. It not the heavy rain that is the sole reason. Nice and simple video on ecology. #waterfall #coastal #soil #oceans #SundayMotivation https://t.co/H83TpZkCEs,Sat Aug 18 16:43:51 +0000 2018
gulovesrkajol,RT @turanorhan: Floods in L'viv amid heavy rain https://t.co/yWrFAHJNSj,Floods in L'viv amid heavy rain https://t.co/yWrFAHJNSj,Sat Aug 18 16:43:41 +0000 2018
garlandowl,https://t.co/eZeWPLlvJL,,Sat Aug 18 16:43:32 +0000 2018
kgespina,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:43:30 +0000 2018
Lily_Desmond,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:43:27 +0000 2018
SHADOWHAXX,"RT @NWSChicago: Dry and seasonable conditions are expected this weekend, though an isolated storm is possible south this afternoon. Widespr…","Dry and seasonable conditions are expected this weekend, though an isolated storm is possible south this afternoon. Widespread showers and some storms are then expected Monday afternoon into Tuesday. Heavy rain will be possible during this time. https://t.co/8Wq5lU8LAy",Sat Aug 18 16:43:17 +0000 2018
EW_GPlus,"RT @SkyNewsWeather: Prolonged heavy rain C&amp;S Scotland,N England and Wales largely clearing during the morning, but drizzly outbreaks and hi…","Prolonged heavy rain C&amp;S Scotland,N England and Wales largely clearing during the morning, but drizzly outbreaks and hill fog lingering over N&amp;C England and Wales into the afternoon, Winds in SW easing later. Quite warm for most, cooler over Scotland. https://t.co/n13F6e5GYe",Sat Aug 18 16:42:37 +0000 2018
RichardOHanlon4,RT @WeatherNation: WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south.…,"WHAT WE'RE WATCHING: A storm system building east this weekend will up rain and severe weather chances across the south. Plus, it will bring heavy rain back to the northeast next week. Details on @WeatherNation. https://t.co/ZGQY4mu2fH",Sat Aug 18 16:42:29 +0000 2018
charlotte_cdn,RT @CityNatasha: Were not in the clear from heavy rain just yet #onstorm #floodto #stormto https://t.co/G9IG9L3GQj,Were not in the clear from heavy rain just yet #onstorm #floodto #stormto https://t.co/G9IG9L3GQj,Sat Aug 18 16:42:23 +0000 2018
Keither37,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 16:42:15 +0000 2018
HunterdonReview,RT @NWS_MountHolly: A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way s…,A warm and humid Saturday for most. Showers and storms are likely this afternoon as a cold front slowly works its way south. Heavy rain is also possible and so a Flash Flood Watch continues to remain in effect for most of the area through this afternoon. #PAwx #NJwx #MDwx #DEwx https://t.co/kJFh6agiNE,Sat Aug 18 16:41:54 +0000 2018
etcraftdelivery,"RT @moorelps: Sorry, but no. ""Heavy rain and thunderstorms"" did not cause it. Concrete impermeability and lack of adequate infrastructure d…","Sorry, but no. ""Heavy rain and thunderstorms"" did not cause it. Concrete impermeability and lack of adequate infrastructure did.  #letitrain #ONStorm https://t.co/1BAK2RvksZ",Sat Aug 18 16:41:53 +0000 2018
daniceraj,RT @TrafficPE: @TrafficPE Charlottetown ByPass is fast becoming flooded under Norwood Road bridge. Very dangerous. #heavy_rain #flooding #p…,@TrafficPE Charlottetown ByPass is fast becoming flooded under Norwood Road bridge. Very dangerous. #heavy_rain #flooding #pei #slowdown (via @Teresa_MacLean),Sat Aug 18 16:41:46 +0000 2018
__jack_daniel__,Heavy rain Thrashes Just Now 9:52 pm #Saturday #Kottayam #KeralaFloods #KeralaSOS #KeralaFloodRelief #KeralaReliefFund #PrimeMinisterImranKhan #PriyankaNickEngagament https://t.co/JqGs1JuyRZ,,Sat Aug 18 16:41:41 +0000 2018
amy_bunnett,people who shag winter don't take an hour getting to and an hour getting from school every day with 4 heavy folders aswell as textbooks in the pitch black an pouring rain at half 5 at night when its aba 10 degrees at most,,Sat Aug 18 16:41:08 +0000 2018
amanda91104,"RT @browndogg_: 1-3. Heavy Rain - 장대비 (1부 마지막)
Full Pic (Korean Ver): https://t.co/xra3gReFMN
서론만 3번에 걸쳐 그렸다고 한다..^^;... 콘티대로 하면 한 3부까지 나올것…","1-3. Heavy Rain - 장대비 (1부 마지막)
Full Pic (Korean Ver): https://t.co/xra3gReFMN
서론만 3번에 걸쳐 그렸다고 한다..^^;... 콘티대로 하면 한 3부까지 나올것 같은데
요새 그릴 시간도없고 컷컷마다 너무 공들여 그리게 되네 ㅠㅠ
#DetroitBecomeHuman #Connor #Hank #Hankcon #RK800 https://t.co/TgCanhT9M2",Sat Aug 18 16:41:05 +0000 2018
kishan_sirius,"RT @thenewsminute: 16 districts of Telangana to receive heavy rain over next few days, says Met Dept
https://t.co/UYIc6PXoC1","16 districts of Telangana to receive heavy rain over next few days, says Met Dept
https://t.co/UYIc6PXoC1",Sat Aug 18 16:40:40 +0000 2018
madhyamam,"#KeralaSOS, #KeralaFloods മ​ര​ണ​ത്തെ മു​ഖാ​മു​ഖം ക​ണ്ട ദിനരാത്രങ്ങൾ https://t.co/dkSCOhJxyT",,Sat Aug 18 16:40:39 +0000 2018
PaullYang,@therealrussellp Show still on even with the heavy rain in forecast??,,Sat Aug 18 16:40:35 +0000 2018
birmingham_live,"Heavy rain set to hit region as Storm Ernesto strikes
https://t.co/0sRTbiENSQ",,Sat Aug 18 16:40:00 +0000 2018
mchallamlaw,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:39:52 +0000 2018
weatherguy19,RT @NWSBoston: Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flood…,Increasing risk for a few strong #thunderstorms this afternoon across #MA #CT #RI. Strong winds and locally heavy rain/flooding are the main concerns. Keep an eye to the sky. https://t.co/hnNBMJkV0q,Sat Aug 18 16:39:47 +0000 2018
BarnosiOliver,Me ha gustado un vídeo de @YouTube (https://t.co/olBO0w4XSL - Heavy Rain #22 El blues de Jayden).,,Sat Aug 18 16:39:35 +0000 2018
KZSCspins,L’Rain - Heavy (But Not In Wait) (L'Rain) https://t.co/9nyD0QTCwn,,Sat Aug 18 16:39:12 +0000 2018
SURESHK08083581,"@AshrafFem @Yadavdimplesp Very good Mr Asharaf. A religion allows public welfare, help to the person in danger, struggling to death and calamities like flood, arson, storm, heavy rain, epidemic.",,Sat Aug 18 16:38:51 +0000 2018
sanaugle,RT @TrafficPE: @TrafficPE Charlottetown ByPass is fast becoming flooded under Norwood Road bridge. Very dangerous. #heavy_rain #flooding #p…,@TrafficPE Charlottetown ByPass is fast becoming flooded under Norwood Road bridge. Very dangerous. #heavy_rain #flooding #pei #slowdown (via @Teresa_MacLean),Sat Aug 18 16:38:38 +0000 2018
AwaretoBeware,RT @weatherchannel: Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92…,Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92u https://t.co/aEn3Kr7GvS,Sat Aug 18 16:38:33 +0000 2018
SankaraRamanS,Kodagu flood: Heavy rain continues to lash Kodagu https://t.co/j5IH2pjPr5,,Sat Aug 18 16:38:20 +0000 2018
