_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
comcastcares,@KyleTaylorLucas I can understand why an unplanned service interruption would be frustrating for you and I am more than willing to look into what is going on there. Could I ask you to DM the name on the account and the phone number linked to the account. Thanks. - BLS,,Sun Aug 19 09:37:03 +0000 2018
davidplans,"@virginmedia Supervisor I spoke to in pre-installation team literally said ‘sales team job is to sell product, they don’t know whether lines are ready or not’. When I pointed out the same team promised to deal with BT so we wouldn’t have service interruption, she said ‘this didn’t happen’.",,Sun Aug 19 09:36:57 +0000 2018
moretonpool,"SUNDAY LANE SWIM

The pool is now open thanks to our lifeguard Mel! Sorry for interruption of the Sunday Service x https://t.co/Byqeic5xg1",,Sun Aug 19 09:30:41 +0000 2018
Ask_Spectrum,@rushi_khasakia Our apologies for the service interruption. I will look into this. Please DM the account number and full service address. ^CT,,Sun Aug 19 06:51:23 +0000 2018
Zuku_WeCare,"@jeymez Hello Hames, service speeds are affected by signal interruption in the area. We are working to restore optimal speeds under ticket ref:2725. Kindly bear with us. ^EW",,Sun Aug 19 06:23:55 +0000 2018
comcastcares,"@CarolineKrogh1 Hi, thanks for bringing this issue to our attention. Yikes, sorry to hear that you are experiencing trouble with your service. I'd be happy to assist with your service interruption concerns. Can you please send me a private message with your full name and telephone number? -RS",,Sun Aug 19 05:13:33 +0000 2018
LiveSmart,"@theefangirll Hi Jillian. We're glad to know, that our system allows you to register from our GigaSurf promo. Please note, GigaSurf promo is already ended last August 15, 2018. We recommend you to try another promo to avoid service interruption. Hope this guide you.",,Sun Aug 19 04:19:20 +0000 2018
IMReadyPH,"RT @NGCP_ALERT: NGCP ADVISORY UPDATE: Unscheduled power interruption in parts of Cagayan, today, 19 August, 12:09AM

Reason: Broken cross-a…","NGCP ADVISORY UPDATE: Unscheduled power interruption in parts of Cagayan, today, 19 August, 12:09AM

Reason: Broken cross-arm located at Gansano, Gattaran. Estimated time of power transmission service... https://t.co/pOhZqwFnLQ",Sun Aug 19 04:10:07 +0000 2018
NGCP_ALERT,"NGCP ADVISORY UPDATE: Unscheduled power interruption in parts of Cagayan, today, 19 August, 12:09AM

Reason: Broken cross-arm located at Gansano, Gattaran. Estimated time of power transmission service... https://t.co/pOhZqwFnLQ",,Sun Aug 19 04:09:58 +0000 2018
a2hosting_alert,Resolved: [RESOLVED]https://t.co/qZE5DXR0Ct :: Service Interruption,,Sun Aug 19 02:55:35 +0000 2018
sugarshaz19,@verge Oh hell no. We pay for this service we should be able to watch our shows without interruption,,Sun Aug 19 02:27:57 +0000 2018
VivioSupport,We will be performing maintenance on a UPS Sunday 08/19 At 11:00PM PST. There is no expected service interruption with this maintenance.,,Sun Aug 19 01:44:39 +0000 2018
comcastcares,"@RaaachelBullock I can certainly look into the internet trouble and service interruption. To get started, please DM your phone or account number, and first and last name.-CP",,Sun Aug 19 01:36:34 +0000 2018
UnivisionHelp,"@kodyjsmommy1726 We are also frustrated by the interruption in your service. We traveled to their corporate offices last week to move talks forward, but DISH refuses to engage in productive discussions. Call 1-800-500-4252 for more information on how to access our programming. https://t.co/DfRa51Gr3p",,Sun Aug 19 01:23:23 +0000 2018
foodevolutionph,"Maynilad lifts rotational water service interruption
https://t.co/RgCwANo9Xe",,Sun Aug 19 01:00:00 +0000 2018
IngoCares,"@samorama We are sorry for the inconvenience, as there was brief interruption in service.  You depend on us for fast funds, and for this we truly apologize.  Our services are currently restored, and you may now log into the app.",,Sun Aug 19 00:15:23 +0000 2018
IngoCares,@charles_livsey @charles_livsey We had a brief interruption in service but are back up and running.  We know you depend on us for fast access to your money and apologize for the delay.,,Sun Aug 19 00:00:42 +0000 2018
comcastcares,"@MikesTooLz Hello, I would be more than happy to look into your service interruption for you. Can you please send me a DM with your full name and phone number? –RWK",,Sat Aug 18 23:32:49 +0000 2018
comcastcares,"@sakechan4ya Hello. I understand your frustration with your internet connection. I will be happy to investigate what is going on and get you a credit for today's service interruption. Before I begin, can you please direct message your full name, complete service ad... https://t.co/B2u8PAVMdv",,Sat Aug 18 22:59:19 +0000 2018
AdrianeKaylor,"@netflix Don't you dare. I will cancel forever. I do not want commercials, promos, previews, product/service recommendations or words from your sponsors. I just want to watch my shows after a hard day's work *without interruption*. https://t.co/xEHEKbPzdF",,Sat Aug 18 22:16:07 +0000 2018
Caran401,RT @TORWater: Join TOR Water risk-free and save approximately 5% on your water bills. We guarantee no interruption to your supply and handl…,"Join TOR Water risk-free and save approximately 5% on your water bills. We guarantee no interruption to your supply and handle the entire switch process. You can get unmatched customer service and support a local business, directly benefiting the economy in the South West.",Sat Aug 18 22:13:44 +0000 2018
comcastcares,@JababiBrown Please let me investigate interruption of the Internet for you. Can you please send me a DM with the service address? I also just need to confirm your first/last name and phone number on the account. -TE,,Sat Aug 18 21:48:14 +0000 2018
magicpianos,@RogersHelps Is there a service interruption for internet in the Toronto Leaside area?,,Sat Aug 18 21:20:55 +0000 2018
a2hosting_alert,Update: https://t.co/qZE5DXR0Ct :: Service Interruption,,Sat Aug 18 20:58:14 +0000 2018
0swin,"Migrated to https://t.co/SfCZWvt8w3 without service interruption
All old links of my website redirect properly, and opengraph tags are working as well",,Sat Aug 18 20:40:01 +0000 2018
himlayan,@babywarg :( https://t.co/w3ti0J5xpO,,Sat Aug 18 20:26:49 +0000 2018
RelianceCares,@GhadaGeorgi We are currently experiencing a service interruption and must ask that you try calling us later at 1-866-RELIANCE. We apologize for the inconvenience.,,Sat Aug 18 20:17:31 +0000 2018
visiblecare,"@scitotex We apologize for the service interruption you are currently experiencing.  Let us make things right. Send us a DM, and we will get right to it.  -AB https://t.co/Pb4QhXGqRj",,Sat Aug 18 19:58:00 +0000 2018
RelianceCares,@ACBome We are currently experiencing a service interruption and must ask that you try calling us later at 1-866-RELIANCE. We apologize for the inconvenience.,,Sat Aug 18 19:45:52 +0000 2018
Entergy,"@cpcadella Sorry for the service interruption, but glad we could get you restored quickly!",,Sat Aug 18 19:36:00 +0000 2018
comcastcares,"@mouls9 Hi there, I would be more than happy to look into your service interruption concerns. Can you please DM the phone number and name of the account? -AT",,Sat Aug 18 19:30:20 +0000 2018
uofgccs,"Tomorrow from 8pm-11pm the CCS WebEx service will be undergoing maintenance. 15 min. of interruption in service is expected.

During this time it is recommended that you do not schedule or host any WebEx meetings. https://t.co/WPju5OYSF9",,Sat Aug 18 19:00:00 +0000 2018
a2hosting_alert,Update: https://t.co/jFH3xNsvFl :: Service Interruption,,Sat Aug 18 18:45:32 +0000 2018
a2hosting_alert,Resolved: https://t.co/jFH3xNsvFl :: Service Interruption,,Sat Aug 18 18:45:18 +0000 2018
CovertTaft,"@h2oWireless I had no service for the past hour. If you guys can text me 5 times in one day about not letting my service expire, then why cant I get 1 text telling me if there's a service interruption?",,Sat Aug 18 18:16:26 +0000 2018
armorcoded,Imagine never having to worry about an interruption to your internet service again. The future is now! To learn how to keep your business “always connected” contact us today. #WiFi,,Sat Aug 18 17:59:02 +0000 2018
a2hosting_alert,Resolved: [RESOLVED]https://t.co/jFH3xNsvFl :: Service Interruption,,Sat Aug 18 17:56:39 +0000 2018
comcastcares,@nmglider2008 I am sorry for the service interruption. I see the approximate time of completion will be at about 11:32 am MDT. This is just an estimation and it can be shorter or longer. You're set up with notification when things will be up and running again. My apologies again -MD,,Sat Aug 18 17:55:33 +0000 2018
RelianceCares,@TechBarista_BW We are currently experiencing a service interruption and must ask that you try calling us later at 1-866-RELIANCE. We apologize for the inconvenience.,,Sat Aug 18 17:50:38 +0000 2018
a2hosting_alert,New Issue (www57): https://t.co/jFH3xNsvFl :: Service Interruption,,Sat Aug 18 17:48:59 +0000 2018
a2hosting_alert,New Issue (wwwssr13): https://t.co/qZE5DXR0Ct :: Service Interruption,,Sat Aug 18 17:45:19 +0000 2018
comcastcares,"@BioTurboNick If you like, I can assist you with setting up a free notification what will alert you when service is restored. Then I can follow up with you when the interruption is over, to ensure that all of your services came back up successfully. To start, please reply in a DM. -CBC",,Sat Aug 18 17:31:00 +0000 2018
jThiyagu,May The God help them to continue this service without interruption. 👌👏👏 https://t.co/wHtmvRIu33,,Sat Aug 18 17:26:36 +0000 2018
craigjband,"Wow ..our download speed was 189 and upload was 13...pretty fast considering we have no WIFI right now due to yet another service interruption.
Is there a speed test that is not sponsored by comcrap ?

 https://t.co/pYBd4Dd6wx",,Sat Aug 18 17:01:52 +0000 2018
AbsoluteBezo,So I finally called my isp and there is a service interruption in my area. Hopefully when it's over it will fix the issues I was already having.,,Sat Aug 18 16:48:52 +0000 2018
NudgerSS,"Ladies and gentlemen, we are sorry for the recent interruption to our form. Rest assured, normal service has been resumed.. https://t.co/tCB1esEOW1",,Sat Aug 18 15:59:47 +0000 2018
CharlyPERRIG,RT @Winamax: Ceux d’entre vous qui ont été impactés par l’interruption de service hier soir seront remboursés en début de semaine prochaine…,"Ceux d’entre vous qui ont été impactés par l’interruption de service hier soir seront remboursés en début de semaine prochaine, selon l’article 3.2 des CGU &gt; https://t.co/tZS1xrYBpI Merci pour votre patience, et toutes nos excuses pour le dérangement occasionné.",Sat Aug 18 15:04:39 +0000 2018
Ask_Spectrum,"@mallory_obrien My apologies for the service interruption you’re experiencing.  Please follow/DM your service phone number, full service address or account number and I would be happy to look into this for you. ^JK",,Sat Aug 18 15:03:08 +0000 2018
comcastcares,"@cfieds Hello and thank you for reaching out. I know how frustrating it can be experiencing an interruption in service, and I would be more than happy to help you get connected again. To start, please reply in a DM with your first and last name and phone number or account number. -CBC",,Sat Aug 18 14:54:57 +0000 2018
1ad9bef815f3442,"RT @TCAuditor: In 2 weeks, vehicle &amp; vessel licensing services across the state will be unavailable for four days while the Department of L…","In 2 weeks, vehicle &amp; vessel licensing services across the state will be unavailable for four days while the Department of Licensing replaces its database. Our friends @PierceCountyAud made this great video w/ key info about the service interruption: https://t.co/WDmhi9Ftfp https://t.co/NHQd2TU0kx",Sat Aug 18 14:54:26 +0000 2018
digitelco,"@Alfre_Dite We are sorry to inform u that, we are having service interruption at certain part of Kota Bahru, Pasir Puteh and Tumpat areas :( Our technical team are doing their best to resolve this issue :(",,Sat Aug 18 14:46:08 +0000 2018
SKYserves,"@nyleze714 Hi, @nyleze714. We apologize for the signal interruption you are currently experiencing. We are working to restore the service as soon as possible. Please bear with us.",,Sat Aug 18 14:35:42 +0000 2018
DagbokDog,"@_AEBJ_ One of my semi-retired service dog's jobs is to awaken me during nightmares.

There was a period a few years ago when I had so many nightmares each time I slept for many many weeks that she had to stop.

The interruption is SO helpful, followed by some grounding.

Not last night.",,Sat Aug 18 14:03:01 +0000 2018
Jaffer28132709,@FederalBankLtd just recieved your  SMS saying there is false message circulating federal bank services being effected by flood. That's wht bank saying😳😳😳funny indeed. I am badly effected by this service interruption. Two times got struck. Embarrassing fed bank.,,Sat Aug 18 13:55:39 +0000 2018
digitelco,"@JasonAngSZ We are sorry to inform u that, we are having Intermittent service interruption at the certain part of Kota Bahru, Pasir Puteh and Tumpat areas :( Our technical team are doing their best to resolve this issue :(",,Sat Aug 18 13:39:39 +0000 2018
PatrickValisno,"RT @gmanews: Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ","Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ",Sat Aug 18 13:31:07 +0000 2018
jijettem,"RT @gmanews: Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ","Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ",Sat Aug 18 13:30:13 +0000 2018
JessieJr1793,"RT @gmanews: Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ","Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ",Sat Aug 18 13:18:05 +0000 2018
blueskies422,"RT @gmanews: Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ","Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ",Sat Aug 18 13:16:45 +0000 2018
kasraavendano,"RT @gmanews: Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ","Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ",Sat Aug 18 13:08:09 +0000 2018
aramolly07,"RT @gmanews: Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ","Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ",Sat Aug 18 13:02:59 +0000 2018
gmanews,"Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/ou4In4VJgQ",,Sat Aug 18 13:01:00 +0000 2018
Ask_Spectrum,"@Amhardy2 My apologies for the service interruption you’re experiencing.  Please follow/DM your service phone number, full service address or account number and I would be happy to look into this for you. ^JK",,Sat Aug 18 12:56:53 +0000 2018
FhzFun,RT @hopsandhoops: Normal service is resumed after a cocktail-based interruption... @wylambrewery x Braw What’s the Sense in Sharing dry hop…,Normal service is resumed after a cocktail-based interruption... @wylambrewery x Braw What’s the Sense in Sharing dry hopped grisette https://t.co/9NVHzPwKSV,Sat Aug 18 12:52:39 +0000 2018
Salome_SB,RT @Winamax: Ceux d’entre vous qui ont été impactés par l’interruption de service hier soir seront remboursés en début de semaine prochaine…,"Ceux d’entre vous qui ont été impactés par l’interruption de service hier soir seront remboursés en début de semaine prochaine, selon l’article 3.2 des CGU &gt; https://t.co/tZS1xrYBpI Merci pour votre patience, et toutes nos excuses pour le dérangement occasionné.",Sat Aug 18 12:46:39 +0000 2018
Winamax,"Ceux d’entre vous qui ont été impactés par l’interruption de service hier soir seront remboursés en début de semaine prochaine, selon l’article 3.2 des CGU &gt; https://t.co/tZS1xrYBpI Merci pour votre patience, et toutes nos excuses pour le dérangement occasionné.",,Sat Aug 18 12:42:44 +0000 2018
Hthompson10C,@RelianceCares I had an appointment booked for last night between 7-11 since we haven’t had hot water for a couple of days. No one bothered to show up or call and now after being on hold for 45 minutes your automated phone system hung up on me for a service interruption,,Sat Aug 18 12:32:13 +0000 2018
RelianceCares,"@DanBon83 Hello, 
We are currently experiencing a service interruption and our systems are currently down. If you would like to email me your account information to hkrizsan@reliancecomfort.com, I will contact you directly when they are back up and running. ~Haley",,Sat Aug 18 12:10:33 +0000 2018
RelianceCares,"@Soosole Hello, 
We are currently experiencing a service interruption and our systems are currently down. If you would like to email me your account information to hkrizsan@reliancecomfort.com, I will contact you directly when they are back up and running. ~Haley",,Sat Aug 18 12:10:19 +0000 2018
GMANewsTVIntl,"Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/dS7XDGNBod https://t.co/0HvT23Zcxh",,Sat Aug 18 11:56:05 +0000 2018
PONGGII,@TrainsInfo @T1SydneyTrains Any update on train service from Waverton to City? Until when is the service interruption? 😐,,Sat Aug 18 11:38:17 +0000 2018
DanicaAquino,"RT @maynilad: Part of Quezon City will experience temporary water service interruption from August 20, 2018 (01:00 PM) to August 20, 2018 (…","Part of Quezon City will experience temporary water service interruption from August 20, 2018 (01:00 PM) to August 20, 2018 (05:00 PM).@qclocalgovt @DILGkyusi https://t.co/qt88uLb0PR",Sat Aug 18 11:26:08 +0000 2018
dwiz882,"Ilang bahagi ng Las Piñas, Muntinlupa at Parañaque City magkakaroon ng water service interruption bukas https://t.co/UfUYA1hzQO",,Sat Aug 18 11:15:31 +0000 2018
KentSailor,"@MargaretTrucks @RogerSwartz8 @WmScottBlair @31BJN @janetshoemake @JustMePammy @roosterpisces @Marizellell @CharlieD2749 @azredhen @yrwol7 @ClarkKe95563197 @Roger92263 Not a PC issue, he builds ‘em for a hobby.  Maybe a service interruption?  He’s out in the sticks",,Sat Aug 18 11:06:10 +0000 2018
foodevolutionph,"Maynilad lifts rotational water service interruption
https://t.co/RgCwAN6yyE",,Sat Aug 18 11:00:00 +0000 2018
dzrhnews,"#PUBLICSERVICE: Ilang bahagi ng Quezon City, makakaranas ng water service interruption simula August 20, 2018 (01:00 PM) hanggang August 20, 2018 (05:00 PM).@qclocalgovt @DILGkyusi https://t.co/n6aFXmeLO4",,Sat Aug 18 10:58:23 +0000 2018
maynilad,"Part of Quezon City will experience temporary water service interruption from August 20, 2018 (01:00 PM) to August 20, 2018 (05:00 PM).@qclocalgovt @DILGkyusi https://t.co/qt88uLb0PR",,Sat Aug 18 10:54:14 +0000 2018
manilainformer,"Water service interruption to hit parts of Caloocan, Malabon next week https://t.co/JWAwN6qphD https://t.co/lRzEB5SGnI",,Sat Aug 18 10:53:50 +0000 2018
beerpornstar,RT @hopsandhoops: Normal service is resumed after a cocktail-based interruption... @wylambrewery x Braw What’s the Sense in Sharing dry hop…,Normal service is resumed after a cocktail-based interruption... @wylambrewery x Braw What’s the Sense in Sharing dry hopped grisette https://t.co/9NVHzPwKSV,Sat Aug 18 10:49:20 +0000 2018
gmanewsfacebook,Inanunsiyo ng Maynilad Water Services Inc. na pansamantalang mawawalan ng suplay ng tubig ang ilang lugar sa Caloocan at Malabon sa August 23 at August 24. https://t.co/ReP63hl28M,,Sat Aug 18 10:48:36 +0000 2018
Beertography1,RT @hopsandhoops: Normal service is resumed after a cocktail-based interruption... @wylambrewery x Braw What’s the Sense in Sharing dry hop…,Normal service is resumed after a cocktail-based interruption... @wylambrewery x Braw What’s the Sense in Sharing dry hopped grisette https://t.co/9NVHzPwKSV,Sat Aug 18 10:44:17 +0000 2018
kieranstafford1,"RT @SeanMacGiollaC: Hey @VirginMediaIE, please stop your WIFI package generating a flashing red light 'unavailable' sender message on my ho…","Hey @VirginMediaIE, please stop your WIFI package generating a flashing red light 'unavailable' sender message on my home phone with each interruption to your service (currently running at about 8 per day).",Sat Aug 18 10:26:41 +0000 2018
comcastcares,@NilremGaming Hi there! This is not the experience we wish for our customers. Please DM with your full name and phone or account number for service interruption details. -SYM,,Sat Aug 18 10:21:33 +0000 2018
SeanMacGiollaC,"Hey @VirginMediaIE, please stop your WIFI package generating a flashing red light 'unavailable' sender message on my home phone with each interruption to your service (currently running at about 8 per day).",,Sat Aug 18 09:49:25 +0000 2018
SKYserves,"@EarvinSanchez Please be informed that we have a possible service fee amounting to Php 356.00 which will be charge if the cause of the interruption is non-cable related. While waiting for the service team to fix the problem about missing channels, (1/2)",,Sat Aug 18 09:14:13 +0000 2018
SKYserves,"@EarvinSanchez Hi, @EarvinSanchez. Hi. As checked, service repair has been completed to date August 5, 2018. With regard to the problem due to signal interruption, we will be sending our service technician within 48 to 72 hours, between 9am to 6pm. (1)",,Sat Aug 18 09:13:51 +0000 2018
comcastcares,@LDWSJ This is never the experience we want you to have when using our services. I would be more than happy to look into this service interruption for you. Please send us a DM with your full name and phone number on your account. -Alejandro,,Sat Aug 18 08:08:18 +0000 2018
ericababy01,"Who are your social media account managers, @SKYserves ? In FB u posted areas affected by service interruption, I replied and asked for status. I didn't get any feedback after.

When I asked again, I was told there was no reported interruption. Really?",,Sat Aug 18 07:36:46 +0000 2018
prashantprasad1,"@TataSky Frequent service interruption, while watching TV, some time following error come, sometimes ""Not a tatasky digi card"" error come. Facing this issue since one month. And i had never take out digi card from setup box since 4 years.
RMN-8866699961. 
Very Poor Service.😡 https://t.co/LevJjgOXui",,Sat Aug 18 07:28:41 +0000 2018
AthavanitliGani,"Aathavanitli Gani is in the process of shifting to a new hosting service and upgrading to virtual private server
As a part of it, now the domain is being redirected.
You may face interruption in accessing the website
Pls don’t worry. Appreciate your support and love
- Alka Vibhas",,Sat Aug 18 07:15:38 +0000 2018
aloha5658,India is blessed to have someone like you as PM who immediately after attending events connected with #ABV takes off to inspect distant #KeralaFlood .May your service continue without interruption for another 10 years https://t.co/11a0T5jlTQ,,Sat Aug 18 06:52:28 +0000 2018
MMakalalad,"@Stephen_T_Sun @dzbb makararanas ng pansamantalang water service interruption mula alas-6 ng gabi ang Brgy. 148, 149, 150, 152 at 155

Habang sa Malabon City naman ay mawawlaan ng suplay ng tubig ang bahagi ng Brgy. Potrero",,Sat Aug 18 06:52:22 +0000 2018
SKYserves,@imjesalyn Our apologies for the delay and inconvenience. The interruption within your area has ended. May we ask if the service has been restored?,,Sat Aug 18 06:47:38 +0000 2018
comcastcares,@chrism021 I would be more than happy to look into this service interruption for you. Please send us a DM with your full name and phone number on the account. -RAD,,Sat Aug 18 06:42:47 +0000 2018
SKYserves,"@SeireiAries Upon checking, the interruption within your area has ended. May we ask if the service has been restored?",,Sat Aug 18 06:10:01 +0000 2018
loringbarnes,"Come on @comcastcares, another cable interruption and reboot? For the exorbitant price, service is unstable, unreliable.",,Sat Aug 18 05:56:33 +0000 2018
UnivisionHelp,"@ehx_cessiva Wendy, We are also frustrated by the interruption in your service. We traveled to their corporate offices last week to move talks forward, but DISH refuses to engage in productive discussions. Call 1-800-500-4252 for more information on how to access our programming.",,Sat Aug 18 05:55:08 +0000 2018
AskFrontier,@emceeperiod Please send us a DM with the account # so we can look into this service interruption right away.  ^TBM,,Sat Aug 18 05:06:26 +0000 2018
foodevolutionph,"Maynilad lifts rotational water service interruption
https://t.co/RgCwAN6yyE https://t.co/m6E8HD2c1E",,Sat Aug 18 03:30:51 +0000 2018
comcastcares,"@sundar_sriram Hello, thank you for reaching out to us. I would be more than happy to look into the service interruption further. Can you please DM us your full name and phone number? -JJM",,Sat Aug 18 03:29:27 +0000 2018
comcastcares,"@teslascoil15 Hello, thank you for reaching out to us. I would be more than happy to look into the service interruption further. Can you please DM us your full name and phone number? -JJM",,Sat Aug 18 03:12:25 +0000 2018
comcastcares,"@JillMunce Hello, thank you for reaching out to us. I would be more than happy to look into the service interruption further. Can you please DM us your full name and phone number? -JJM",,Sat Aug 18 02:56:32 +0000 2018
LangleyAdvance,RT @LangleyCity_: Water Service Interruption: 5332-5424 207 Street. A planned water shutdown will take place on Monday August 20 between 8:…,Water Service Interruption: 5332-5424 207 Street. A planned water shutdown will take place on Monday August 20 between 8:00am and 4:00pm to accommodate a water main tie-in. #LangleyCity ^DS,Sat Aug 18 02:23:09 +0000 2018
comcastcares,"@JesseMLynch Hello, thank you for reaching out to us. I would be more than happy to look into the service interruption further. Can you please DM us your full name and phone number? -JJM",,Sat Aug 18 02:13:32 +0000 2018
2019pollwatch,"RT @PanahonTV: Maynilad will conduct a facility maintenance activity on August 19, 2018 (03:00 PM to 05:00 PM) and August 20, 2018 (03:00 P…","Maynilad will conduct a facility maintenance activity on August 19, 2018 (03:00 PM to 05:00 PM) and August 20, 2018 (03:00 PM to 05:00 PM) in Putatan Water Treatment Plant, Muntinlupa City. As a result, the following areas will experience temporary water service interruption. https://t.co/7yMIZOw0Ni",Sat Aug 18 02:09:27 +0000 2018
Soosole,@RelianceCares when will the service interruption be resolved?,,Sat Aug 18 02:04:31 +0000 2018
Soosole,@RelianceCares just called for service....have been paying for a protection plan for years.  apparently your having a service interruption with no alternative but to call back.....like when?,,Sat Aug 18 01:54:27 +0000 2018
MediacomSupport,@ADeCap05 Hello Drew.  I do apologize for your service interruption.  Please send us a DM with either your account or phone number if you are still having problems. *MM https://t.co/VptZ9n1BsK,,Sat Aug 18 01:48:39 +0000 2018
abbynormal0ne,"If you want me to help you, but you continue to interrupt me every 2 words and make me start over at every interruption, don't act shocked that I ask you to please let me finish what I am saying. Customer service does not mean I'm a servant. Eff off.",,Sat Aug 18 01:47:43 +0000 2018
PanahonTV,"Maynilad will conduct a facility maintenance activity on August 19, 2018 (03:00 PM to 05:00 PM) and August 20, 2018 (03:00 PM to 05:00 PM) in Putatan Water Treatment Plant, Muntinlupa City. As a result, the following areas will experience temporary water service interruption. https://t.co/7yMIZOw0Ni",,Sat Aug 18 01:20:41 +0000 2018
WaterUtilityMgt,#HabershamLakes the service interruption in your area is due to an electrical issue. The power company is en route to make repairs. Please check back for updates!,,Sat Aug 18 01:16:20 +0000 2018
WaterUtilityMgt,#HabershamLakes there is an emergency service interruption in your area until 11 pm while technicians repair an electrical issue at the well site. Please check back for updates!,,Sat Aug 18 00:44:24 +0000 2018
comcastcares,@designfly I can certainly look into the service interruption. Please send a DM with your full name and the phone number associated with the account. -GM,,Sat Aug 18 00:42:04 +0000 2018
comcastcares,"@GoHardVenard Hello, I can certainly look into the service interruption. Please send a DM with your full name and the phone number associated with the account. -GM",,Sat Aug 18 00:37:33 +0000 2018
KrisAHM,"@TMobileHelp @HBouarfa Are we getting a credit for this interruption in service?  6 lines in my account, nobody has service right now 😨",,Sat Aug 18 00:32:46 +0000 2018
dudey31,"Hello @PLDT_Cares follow up about my complaint regarding our service interruption. I went to PLDT SM Southmall twice already last August 11 and August 14. Service Interruption started August 9. 

REF# 26978664.",,Sat Aug 18 00:27:40 +0000 2018
dudey31,"RT @dudey31: @PLDT_Cares 
I would like to follow up about my complaint regarding our service interruption. I went to PLDT SM Southmall twic…","@PLDT_Cares 
I would like to follow up about my complaint regarding our service interruption. I went to PLDT SM Southmall twice already last August 11 and August 14. Service Interruption started August 9. 

REF# 26978664",Sat Aug 18 00:26:46 +0000 2018
a2hosting_alert,Update: https://t.co/4z4W8VKAkH :: Service Interruption,,Fri Aug 17 23:46:43 +0000 2018
comcastcares,@kjandersn I'm sorry to hear about this service interruption! I can get an update for you. To get started can you send me a DM with your name and phone number so I can bring up your account? -MT,,Fri Aug 17 23:43:32 +0000 2018
dudey31,RT @dudey31: @PLDT_Cares follow up about my complaint regarding our service interruption. I went to PLDT SM Southmall twice already last Au…,"@PLDT_Cares follow up about my complaint regarding our service interruption. I went to PLDT SM Southmall twice already last August 11 and August 14. Service Interruption started August 9. 
REF# 26978664.",Fri Aug 17 23:25:29 +0000 2018
dudey31,"@PLDT_Cares follow up about my complaint regarding our service interruption. I went to PLDT SM Southmall twice already last August 11 and August 14. Service Interruption started August 9. 
REF# 26978664.",,Fri Aug 17 23:24:15 +0000 2018
