joyce_macri,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/jp7JevzZcC via @houstonchron,,Sat Aug 18 19:34:20 +0000 2018
RepublicaNepal,https://t.co/YEDxtY2i4X,,Sat Aug 18 03:27:17 +0000 2018
taniatanggono,"RT @Indonesia: ""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK","""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK",Sat Aug 18 03:26:30 +0000 2018
Indonesia,"""4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews"" https://t.co/wpUNru07rK",,Sat Aug 18 03:24:22 +0000 2018
Elliottsplace,RT @kron4news: JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,Sat Aug 18 03:21:26 +0000 2018
jawabarat_info,"KLIK&gt;&gt; https://t.co/RZ1T85qMi5 4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic - Netralnews",,Sat Aug 18 03:12:10 +0000 2018
PIRam_56,"RT @IndianExpress: A strong earthquake shook southern Costa Rica near the border with Panama on Friday

https://t.co/iUqmh5RCnK","A strong earthquake shook southern Costa Rica near the border with Panama on Friday

https://t.co/iUqmh5RCnK",Sat Aug 18 03:12:02 +0000 2018
NewAmerica17,RT @WBRCnews: 6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/TJj9vwd79d,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/TJj9vwd79d,Sat Aug 18 03:10:44 +0000 2018
mperezjr5,RT @kron4news: JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,Sat Aug 18 03:09:28 +0000 2018
WBRCnews,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/TJj9vwd79d,,Sat Aug 18 03:09:06 +0000 2018
cynleann,6.1 quake shakes Costa Rica near Panama https://t.co/Sp2E46mw5f,,Sat Aug 18 02:59:05 +0000 2018
TheMagmatic,6.1 quake shakes Costa Rica near Panama https://t.co/OjGrCtBWLH,,Sat Aug 18 02:58:34 +0000 2018
YodaCon,6.0 quake shakes Costa Rica near Panama; no major damage #TCOT #MAGA https://t.co/c6fGeKRteT,,Sat Aug 18 02:46:38 +0000 2018
KSBY,"6.1 #earthquake shakes #CostaRica near #Panama; no major damage reported
https://t.co/J8gk6GNCOS",,Sat Aug 18 02:40:00 +0000 2018
xhertx,RT @kron4news: JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,Sat Aug 18 02:37:52 +0000 2018
imcalled2teach,RT @kron4news: JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,Sat Aug 18 02:36:42 +0000 2018
Pinging18,Costa Rica: 6.1 quake shakes near Panama; no major damage https://t.co/sMHQ4mpMPy https://t.co/v9y3fEYuxQ,,Sat Aug 18 02:35:33 +0000 2018
NewsBossIndia,Costa Rica: 6.1 quake shakes near Panama; no major damage.. https://t.co/Yk2GHA0nNP,,Sat Aug 18 02:32:40 +0000 2018
kron4news,JUST IN: 6.1 quake shakes Costa Rica near Panama; no major damage. https://t.co/l6OokioGfL,,Sat Aug 18 02:31:32 +0000 2018
netralenglish,"4.7 Magnitude Quake Shakes Sukabumi, Local Residents Panic https://t.co/T9EfuYQ9oJ https://t.co/UOJJ9lTrrJ",,Sat Aug 18 02:30:07 +0000 2018
IndianExpress,"A strong earthquake shook southern Costa Rica near the border with Panama on Friday

https://t.co/iUqmh5RCnK",,Sat Aug 18 02:28:57 +0000 2018
ShelliDrummer4,6.1 quake shakes Costa Rica near Panama https://t.co/F0tkcIQTzi,,Sat Aug 18 02:18:20 +0000 2018
Jamesw74,6.1 quake shakes Costa Rica near Panama; no major damage - ABC News - https://t.co/lNqhzTbKJ1 via @ABC,,Sat Aug 18 02:16:40 +0000 2018
CryptoNewsFlash,RT @Natural_Crisis: 6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/t9buhrrXEB,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/t9buhrrXEB,Sat Aug 18 02:14:47 +0000 2018
TraveloreReport,"6.1 quake shakes Costa Rica near Panama; no major damage: https://t.co/StmSyOrGlZ

Shared via AP Mobile. Download the app now:
iOS - https://t.co/zMkxyMu6dW
Android - https://t.co/4AmzjhhBPf",,Sat Aug 18 02:14:47 +0000 2018
ExodusFoundati1,6.1 quake shakes Costa Rica near Panama; no major damage - ABC News - https://t.co/XoG4cQP1CO via @ABC,,Sat Aug 18 02:14:34 +0000 2018
Natural_Crisis,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/t9buhrrXEB,,Sat Aug 18 02:12:32 +0000 2018
ziazeeshan,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/9cfRewVi8V,,Sat Aug 18 02:01:36 +0000 2018
hotLiverLips9,►►►  6.0 quake shakes Costa Rica near Panama; no major damage   ~~~  https://t.co/lcYTHom7Gp,,Sat Aug 18 01:54:22 +0000 2018
DudekLinda,6.1 quake shakes Costa Rica near Panama; no major damage (from @AP) https://t.co/IC4QgMDGBj,,Sat Aug 18 01:46:37 +0000 2018
JamesCordeiro3,6.0 quake shakes Costa Rica near Panama; no major damage: https://t.co/VkCYkHCbGr (from @AP),,Sat Aug 18 01:40:14 +0000 2018
8NEWS,"6.0 quake shakes Costa Rica near Panama; no major damage reported
https://t.co/8dUtyB6iJA",,Sat Aug 18 01:37:00 +0000 2018
5thdimdreamz,6.0 quake shakes Costa Rica near Panama; no major damage  https://t.co/DSedz5k0yk,,Sat Aug 18 01:31:58 +0000 2018
TALK1370,HEADLINES: 6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/GsZiR1ieat,,Sat Aug 18 01:26:33 +0000 2018
charliebrown723,RT @StarTribune: 6.0 quake shakes Costa Rica near Panama; no major damage or injuries reported. https://t.co/wSSBIKfgHq,6.0 quake shakes Costa Rica near Panama; no major damage or injuries reported. https://t.co/wSSBIKfgHq,Sat Aug 18 01:23:07 +0000 2018
FloLake,6.0 quake shakes Costa Rica near Panama; no major damage (from @AP) https://t.co/WX1SXVMPRH,,Sat Aug 18 01:18:18 +0000 2018
StarTribune,6.0 quake shakes Costa Rica near Panama; no major damage or injuries reported. https://t.co/wSSBIKfgHq,,Sat Aug 18 01:16:00 +0000 2018
KRMGtulsa,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/ybb58CIDPK https://t.co/6j3laQ9TXt,,Sat Aug 18 01:11:32 +0000 2018
USSANews,6.0 quake shakes Costa Rica near Panama; no major damage - https://t.co/cjf17AkqQ1,,Sat Aug 18 01:08:39 +0000 2018
Theophany1,6.0 earthquake shakes southern Costa Rica near Panama - Tampa Bay Times https://t.co/xCHHV8YhBG https://t.co/gx0EbCkJDb,,Sat Aug 18 00:56:07 +0000 2018
caitlyndel,"""6.0 Quake Shakes Costa Rica Near Panama; No Major Damage"" by THE ASSOCIATED PRESS via NYT https://t.co/MNISaEqydO",,Sat Aug 18 00:54:08 +0000 2018
RJMeliscat,6.0 quake shakes Costa Rica near Panama; no major damage https://t.co/khumQoLZcN,,Sat Aug 18 00:54:03 +0000 2018
ayerss3,6.0 quake shakes Costa Rica near Panama; no major damage - https://t.co/L5PshxT4X3,,Sat Aug 18 00:51:36 +0000 2018
torrie_zoumis,"Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/wpEZqwXSpy",,Fri Aug 17 17:32:25 +0000 2018
lyynell_le,"Lisa's got the shakes that'll make you quake (22 Photos) 💝

https://t.co/ZbE7Bccyub",,Fri Aug 17 09:37:06 +0000 2018
DPhilRidnCrew,"I got the shakes that'll make you quake.

I got the fries that'll cross your eyes.

I got the burgers that'll.... well I just got burgers.",,Fri Aug 17 05:36:24 +0000 2018
stellagrandchil,"Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/qNXqxOExP9",,Thu Aug 16 20:51:16 +0000 2018
enedinabravata,"🍯 Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/unukNnbFJj",,Thu Aug 16 20:46:13 +0000 2018
89point5_KSKO,Small quake shakes southcentral Alaska Wednesday morning https://t.co/UuWS2HnIRQ,,Thu Aug 16 19:51:01 +0000 2018
USITA_forum,"[Breaking News] Strong quake tremor shakes centre, south Italy https://t.co/YgRC0YfSRs",,Thu Aug 16 19:11:36 +0000 2018
ItalianInsider1,"Strong quake tremor shakes centre, south Italy",,Thu Aug 16 18:46:55 +0000 2018
sknightpascoe,Marvel Rising: Initiation's Chloe Bennet shakes things up as Quake in this exclusive featurette - SYFY WIRE https://t.co/WYp7oXNKI0,,Thu Aug 16 18:16:28 +0000 2018
iriabuki,"Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/N2npVCEtVj",,Thu Aug 16 15:33:06 +0000 2018
praveen_khm,@surnell @BlrCityPolice Heard it in kathriguppe. All birds were flying around like when earth quake. But no shakes,,Thu Aug 16 12:03:32 +0000 2018
akiceman44,"RT @Ch2KTUU: Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological…","Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological Survey can study the earthquake. https://t.co/fa7O51LZPw",Wed Aug 15 23:54:57 +0000 2018
ArmorForCor,@MattGoesBuck You got The shakes that make the agents quake,,Wed Aug 15 21:23:37 +0000 2018
AshaTruchan,"😻 Lisa's got the shakes that'll make you quake (22 Photos) 🤖

https://t.co/7zHcUMyOAh",,Wed Aug 15 18:21:13 +0000 2018
twitapptweets,"RT @Ch2KTUU: Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological…","Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological Survey can study the earthquake. https://t.co/fa7O51LZPw",Wed Aug 15 17:50:10 +0000 2018
mdiaak54,"RT @Ch2KTUU: Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological…","Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological Survey can study the earthquake. https://t.co/fa7O51LZPw",Wed Aug 15 17:48:06 +0000 2018
StrainJessie,"RT @Ch2KTUU: Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological…","Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological Survey can study the earthquake. https://t.co/fa7O51LZPw",Wed Aug 15 17:41:47 +0000 2018
Sensei_91,"RT @Ch2KTUU: Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological…","Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological Survey can study the earthquake. https://t.co/fa7O51LZPw",Wed Aug 15 17:30:59 +0000 2018
Ch2KTUU,"Did you feel it? We have the details on the earthquake here, and how you can report whether you felt it so the U.S. Geological Survey can study the earthquake. https://t.co/fa7O51LZPw",,Wed Aug 15 17:30:00 +0000 2018
gregnietsky,"RT @SAsecular: 🤥 ""... some people leaped from their vehicles on traffic jammed roads while an elderly woman standing in the back of a picku…","🤥 ""... some people leaped from their vehicles on traffic jammed roads while an elderly woman standing in the back of a pickup truck wailed 'God is Great'."" #MoralConfusion #DeathAfterLife #GodIsNotGreat

https://t.co/kQS3QV7Gcq",Wed Aug 15 15:41:11 +0000 2018
hpaley,The earth shakes! https://t.co/GjPz0g4cin,,Wed Aug 15 15:15:32 +0000 2018
SAsecular,"🤥 ""... some people leaped from their vehicles on traffic jammed roads while an elderly woman standing in the back of a pickup truck wailed 'God is Great'."" #MoralConfusion #DeathAfterLife #GodIsNotGreat

https://t.co/kQS3QV7Gcq",,Wed Aug 15 14:01:13 +0000 2018
longsworthrobby,"💃 Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/svmuop3eQt",,Wed Aug 15 07:41:26 +0000 2018
JulieClineWill3,RT @DesertSunNews: 4.4-magnitude quake centered in Aguanga rocks Coachella Valley and coastal communities https://t.co/g9Z9lzCw3P,4.4-magnitude quake centered in Aguanga rocks Coachella Valley and coastal communities https://t.co/g9Z9lzCw3P,Wed Aug 15 03:54:43 +0000 2018
Stijl,4.4-magnitude quake centered in Aguanga rocks Coachella Valley and coastal communities https://t.co/drPfFG26Fq via @MyDesert,,Wed Aug 15 02:50:16 +0000 2018
DesertSunNews,4.4-magnitude quake centered in Aguanga rocks Coachella Valley and coastal communities https://t.co/g9Z9lzCw3P,,Wed Aug 15 02:06:34 +0000 2018
DiannaNanez,RT @bdelossantos1: 4.4-magnitude quake centered in Aguanga rocks Coachella Valley and coastal communities https://t.co/ZJwFS4Zt6u via @myde…,4.4-magnitude quake centered in Aguanga rocks Coachella Valley and coastal communities https://t.co/ZJwFS4Zt6u via @mydesert,Wed Aug 15 01:47:18 +0000 2018
bdelossantos1,4.4-magnitude quake centered in Aguanga rocks Coachella Valley and coastal communities https://t.co/ZJwFS4Zt6u via @mydesert,,Wed Aug 15 01:44:32 +0000 2018
Ellieujn,Quake of 5.1 degrees shakes Albania TIRANA (Reuters) - An earthquake with a magnitude of 5.1 shook the Ad https://t.co/8F5yqMx9i2 @ellieujn,,Wed Aug 15 01:06:08 +0000 2018
debiellies,"🍨 Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/iMRAipwgbx",,Tue Aug 14 16:56:06 +0000 2018
mr__quake,"RT @simms_landon: My grandfather is a 96 yr old German.  When seeing Antifa videos, he shakes his head and says; ""We didnt think it could h…","My grandfather is a 96 yr old German.  When seeing Antifa videos, he shakes his head and says; ""We didnt think it could happen in Germany either. These people (Antifa) act and sound like the NAZI party's Sturmabteilung. Stop them now or you'll regret it.""

https://t.co/AK5ESYUFtF",Tue Aug 14 16:54:55 +0000 2018
n_paras53,@theavreybrooks @FootbaIl_Tweets Ohh plenty of rhythm. I had the shakes that’ll make you quake,,Tue Aug 14 15:22:58 +0000 2018
mollybutter23,"🍐 Lisa's got the shakes that'll make you quake (22 Photos) 👊

https://t.co/A3bt01LBoF",,Tue Aug 14 07:05:03 +0000 2018
UTVNewsLK,"Magnitude-5 Quake Shakes China, 18 Injured, 6000 Homes Damaged https://t.co/tHDjujIqvy via @
#CHINA #LKA",,Tue Aug 14 04:47:40 +0000 2018
semonis_alline,"Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/KcjppXgHkt",,Tue Aug 14 03:52:09 +0000 2018
latestly,"#Earthquake in #China: Magnitude-5 Quake Shakes #Yunnan Province, 18 Injured, 6000 Homes Damaged https://t.co/bBfmdsZUp3",,Tue Aug 14 03:49:45 +0000 2018
paviyani,RT @khaleejtimes: #Afghanistan #earthquake: The quake hit at 0707 GMT near Afghanistan's northern border with #Tajikistan in the #Hindukush…,"#Afghanistan #earthquake: The quake hit at 0707 GMT near Afghanistan's northern border with #Tajikistan in the #Hindukush mountains, US Geological Survey said - https://t.co/WGnr9WMjJJ https://t.co/9532ustr2M",Tue Aug 14 03:01:39 +0000 2018
Ellieujn,5.6 magnitude quake shakes Guatemala; no damage reported GUATEMALA CITY (Reuters) - A 5.6 magnitude earth https://t.co/DhiYn2CgdQ @ellieujn,,Tue Aug 14 02:10:38 +0000 2018
HeyOhForYayo,@awonderland I got the shakes that'll make you quake. I got the fries that'll cross your eyes. I got that burgers that'll... I just got burgers.,,Tue Aug 14 00:54:55 +0000 2018
AlexPekasky,"RT @LarsHanson: The secret to success for the #UWHuskies DB's? 

As cheeseburger Eddie (aka @terrycrews) said to Paul Crewe on the court —…","The secret to success for the #UWHuskies DB's? 

As cheeseburger Eddie (aka @terrycrews) said to Paul Crewe on the court — another familiar territory for many UW DB's: ""I got the shakes that'll make you quake"" feat. Sr CB Jordan Miller (No. 23). https://t.co/n4U5icWDHc",Mon Aug 13 23:51:38 +0000 2018
UWDawgReport,"RT @LarsHanson: The secret to success for the #UWHuskies DB's? 

As cheeseburger Eddie (aka @terrycrews) said to Paul Crewe on the court —…","The secret to success for the #UWHuskies DB's? 

As cheeseburger Eddie (aka @terrycrews) said to Paul Crewe on the court — another familiar territory for many UW DB's: ""I got the shakes that'll make you quake"" feat. Sr CB Jordan Miller (No. 23). https://t.co/n4U5icWDHc",Mon Aug 13 22:01:56 +0000 2018
LarsHanson,"The secret to success for the #UWHuskies DB's? 

As cheeseburger Eddie (aka @terrycrews) said to Paul Crewe on the court — another familiar territory for many UW DB's: ""I got the shakes that'll make you quake"" feat. Sr CB Jordan Miller (No. 23). https://t.co/n4U5icWDHc",,Mon Aug 13 21:56:11 +0000 2018
Animesh_at_work,"RT @GupshupThikana: Shake the #Moctails just like the taste of#Chocolate_Sandwich quake #you..

#chocolatesandwich #mocktails #shakes#bever…","Shake the #Moctails just like the taste of#Chocolate_Sandwich quake #you..

#chocolatesandwich #mocktails #shakes#beverages #gupsupthikana #snackscoffeeshop#fastfoodinjaipur https://t.co/8rh0eoMNVz",Mon Aug 13 08:36:38 +0000 2018
nonnax,"RT @PhilippineStar: Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR","Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR",Mon Aug 13 06:06:16 +0000 2018
rosefamis,"RT @PhilippineStar: Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR","Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR",Mon Aug 13 05:06:21 +0000 2018
snakeheartlion,"RT @PhilippineStar: Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR","Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR",Mon Aug 13 03:06:18 +0000 2018
spatialdiplomat,"RT @PhilippineStar: Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR","Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR",Mon Aug 13 03:00:03 +0000 2018
THQuake,"RT @PhilippineStar: Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR","Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR",Mon Aug 13 02:56:17 +0000 2018
DaRealsanity,"RT @PhilippineStar: Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR","Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR",Mon Aug 13 02:55:50 +0000 2018
PhilippineStar,"Magnitude 4.6 quake shakes Lubang, Occidental Mindoro at 9:37 AM, according to Phivolcs. https://t.co/h8HsLDhJfR",,Mon Aug 13 02:55:18 +0000 2018
HiramSalinn,hand shakes shakes i quake the vape tornado cloud  snakes,,Sun Aug 12 21:09:57 +0000 2018
caroltaylr,"🍈 Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/PV8SEPHch1",,Sun Aug 12 18:36:03 +0000 2018
cornelia_m3610,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Sun Aug 12 12:23:00 +0000 2018
HNormanleen,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Sun Aug 12 09:45:08 +0000 2018
torrie_zoumis,"👿 Lisa's got the shakes that'll make you quake (22 Photos) 💛

https://t.co/wpEZqwXSpy",,Sat Aug 11 18:47:13 +0000 2018
Real_Infinity95,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Sat Aug 11 16:40:02 +0000 2018
alicelothbrok,"Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/ywKCv4CBmg",,Sat Aug 11 16:05:04 +0000 2018
yvonne_hyatt,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Sat Aug 11 10:05:28 +0000 2018
myrl_lindstedt,"Lisa's got the shakes that'll make you quake (22 Photos) 😹

https://t.co/69B90Guo47",,Sat Aug 11 03:32:16 +0000 2018
rocket_rosie,"RT @ABC: Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. h…","Indonesian children learn earthquake safety after several recent earthquakes, including a massive quake that more than 300 dead. https://t.co/lvWTvkfm4t https://t.co/56TKdFfnWy",Sat Aug 11 02:39:58 +0000 2018
schoeppnerliane,"Lisa's got the shakes that'll make you quake (22 Photos)

https://t.co/qIX7bTFP7q",,Sat Aug 11 02:05:11 +0000 2018
