Octavia_agnes,"6.9 Earthquake near Bali, / indonesia. Flores Sea. 
Please watch out for possible Tsunami warnings.",,Fri Aug 17 15:41:39 +0000 2018
marywallace07,RT @Colmogorman: Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsu…,Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsunami of homelessness are coming to pass. @TodaySOR,Fri Aug 10 11:35:46 +0000 2018
HeLikedTurner,RT @Colmogorman: Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsu…,Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsunami of homelessness are coming to pass. @TodaySOR,Fri Aug 10 11:20:11 +0000 2018
sialawd,this Hawaii with them tsunami/hurricane warnings https://t.co/JeQ2Fty8cU,,Fri Aug 10 11:11:20 +0000 2018
donaghkebab,RT @Colmogorman: Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsu…,Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsunami of homelessness are coming to pass. @TodaySOR,Fri Aug 10 10:00:57 +0000 2018
seriouslyhilary,RT @Colmogorman: Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsu…,Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsunami of homelessness are coming to pass. @TodaySOR,Fri Aug 10 09:19:51 +0000 2018
rochagal,RT @Colmogorman: Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsu…,Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsunami of homelessness are coming to pass. @TodaySOR,Fri Aug 10 09:17:46 +0000 2018
SuzanneDoyleSDC,RT @Colmogorman: Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsu…,Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsunami of homelessness are coming to pass. @TodaySOR,Fri Aug 10 09:16:05 +0000 2018
Colmogorman,Powerful input from Peter McVerry of @PMVTrust with @MiriamOCal on the homelessness crisis. His repeated warnings of a Tsunami of homelessness are coming to pass. @TodaySOR,,Fri Aug 10 09:15:00 +0000 2018
Lil__Bobby__,@TRIPPY_TREV I cause tsunami warnings,,Thu Aug 09 19:46:48 +0000 2018
fmcomment,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 19:36:15 +0000 2018
gordon_mrm,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 19:24:02 +0000 2018
Wa11aceODonne11,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 18:17:33 +0000 2018
garrethmcdaid,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 17:11:02 +0000 2018
ConallMacCoille,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 16:54:01 +0000 2018
GoragodC,"RT @UNDPasiapac: #ICT and space-based #technology are crucial for coordinating evacuation &amp; assistance during emergencies, writes Anare Lew…","#ICT and space-based #technology are crucial for coordinating evacuation &amp; assistance during emergencies, writes Anare Leweniqila, Director @FijiNDMO Read: https://t.co/4SQvs9qkcX w/@UNDP_Pacific @MofaJapan_en @BakhodirUNDP @ScheuerJo @UNDPClimate #Switch2Sendai #90Drills #Fiji https://t.co/s17Y26Q7SZ",Thu Aug 09 16:39:41 +0000 2018
JFTAXI,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 15:51:46 +0000 2018
RahimanBaybz,"@JeremyClarkson The eastern beaches are beautiful, take heed of any Tsunami warnings, another earthquake in Indonesia, have you tried the beetle leaf or cinnamon sticks?",,Thu Aug 09 15:36:00 +0000 2018
AlanFarrell,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 15:26:37 +0000 2018
CllrKRedmond,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 13:26:25 +0000 2018
sumoward,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 13:13:37 +0000 2018
El_Rico__,RT @AdamLing1983: @SkySportsPL Good thing Sky Sports news aren't responsible for Tsunami warnings or people would be dead😂,@SkySportsPL Good thing Sky Sports news aren't responsible for Tsunami warnings or people would be dead😂,Thu Aug 09 13:09:59 +0000 2018
tggleeson,"RT @seamuscoffey: It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" an…","It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",Thu Aug 09 13:00:19 +0000 2018
seamuscoffey,"It's four and a half years since we had a raft of pieces like this with talk of borrowers being ""thrown to the wolves"" and of the State ""outsourcing repossessions"". Is there evidence that the outcomes matched the warnings? #vultures #tsunami

https://t.co/1KfmBcoL5P",,Thu Aug 09 12:52:01 +0000 2018
AdamLing1983,@SkySportsPL Good thing Sky Sports news aren't responsible for Tsunami warnings or people would be dead😂,,Thu Aug 09 12:05:41 +0000 2018
fayeforbesx,"@megforbesx To be fair the earthquakes don’t bother me. It’s the fact there will be tsunami warnings issued after it, which is what proper scares me 😭",,Thu Aug 09 12:04:20 +0000 2018
tsdpb,"RT @UNDPasiapac: #ICT and space-based #technology are crucial for coordinating evacuation &amp; assistance during emergencies, writes Anare Lew…","#ICT and space-based #technology are crucial for coordinating evacuation &amp; assistance during emergencies, writes Anare Leweniqila, Director @FijiNDMO Read: https://t.co/4SQvs9qkcX w/@UNDP_Pacific @MofaJapan_en @BakhodirUNDP @ScheuerJo @UNDPClimate #Switch2Sendai #90Drills #Fiji https://t.co/s17Y26Q7SZ",Thu Aug 09 10:11:57 +0000 2018
Eliesnotes,"RT @UNDPasiapac: #ICT and space-based #technology are crucial for coordinating evacuation &amp; assistance during emergencies, writes Anare Lew…","#ICT and space-based #technology are crucial for coordinating evacuation &amp; assistance during emergencies, writes Anare Leweniqila, Director @FijiNDMO Read: https://t.co/4SQvs9qkcX w/@UNDP_Pacific @MofaJapan_en @BakhodirUNDP @ScheuerJo @UNDPClimate #Switch2Sendai #90Drills #Fiji https://t.co/s17Y26Q7SZ",Thu Aug 09 07:10:42 +0000 2018
realAngryViking,"@AFP Update: Tooth has since been stolen.

In unrelated news; A sixty foot surfer has been spotted by the Australian coast, Tsunami warnings issued as the the might of his shaka brah's cause earthquakes.",,Thu Aug 09 05:36:03 +0000 2018
bOpMaiNjR,Strong quake strikes off Japan's eastern coast https://t.co/Zh4lmFfqXv   =Tsunami Warnings from Quake just Fake News!=,,Wed Aug 08 23:56:14 +0000 2018
