McCringie,"Quake Champions, I quit for a while and am prob bad: https://t.co/QV6LDjHp1q via @YouTube",,Sat Aug 18 20:16:29 +0000 2018
mame6432,@TeamPelosi Let them quake and quiver. I love you guys and appreciate all the knowledge and experience you bring to your position. I hope after November we will once again have the honor of calling you Madam Speaker,,Sat Aug 18 20:13:08 +0000 2018
quake_allisa,RT @breemeup: 1. No. It's always been like this. People harassed and threatened Doyle until he brought Sherlock back to life. People used t…,"1. No. It's always been like this. People harassed and threatened Doyle until he brought Sherlock back to life. People used to burn Spirk zines in protest of m/m shipping

2. You write Grand Theft Auto non con smut. Stop pretending you deserve to have fun! shut up, uglee! https://t.co/qQvliSno0h",Sat Aug 18 20:12:46 +0000 2018
Jordan15768215,@pokemonbob123 @Papa_Quake @Ethereal_RBLX Wouldn’t be realistic,,Sat Aug 18 20:12:25 +0000 2018
Zhearun,Quake Champions es la definición de porqué necesito un SSD... jfc those loading times thooo,,Sat Aug 18 20:11:19 +0000 2018
JPLibuy,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 20:11:07 +0000 2018
Quake,"RT @Battlefy: All of you EU @Quake duos still have time to sign up for this Sunday's amateur tournament: https://t.co/9xpCrDBAe7 

We're ta…","All of you EU @Quake duos still have time to sign up for this Sunday's amateur tournament: https://t.co/9xpCrDBAe7 

We're talking high level competition that could lead to some NICE in-game prizing... https://t.co/PN6McF03Vk",Sat Aug 18 20:11:07 +0000 2018
curioso50ccs,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 20:10:20 +0000 2018
VolcanoWatching,RT @CornubiaGeol: Damage and power outages after magnitude 6.0 quake hits Costa Rica https://t.co/w0lyF312WU,Damage and power outages after magnitude 6.0 quake hits Costa Rica https://t.co/w0lyF312WU,Sat Aug 18 20:10:16 +0000 2018
ryanparks8588,@Nanogenix I thought it was quake. It’s really dope.,,Sat Aug 18 20:10:12 +0000 2018
ScrappyOfficer,"@EmpathicGlitch Jesus Christ, his thighs were one of the worse areas. He muted a groan as his thighs gave a quake. 

""Jesus christ...Connor..."" He closed his eyes as his hands grabbed hold of the androids jacket, a soft sound leaving him.

Everything felt bundled tight, even while he was just ×",,Sat Aug 18 20:09:49 +0000 2018
CornubiaGeol,Damage and power outages after magnitude 6.0 quake hits Costa Rica https://t.co/w0lyF312WU,,Sat Aug 18 20:09:01 +0000 2018
JamesSWN,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 20:08:14 +0000 2018
Sin_Pepitas_,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 20:06:34 +0000 2018
luisdelafuente1,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 20:06:17 +0000 2018
pb4p,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 20:06:00 +0000 2018
mr__quake,RT @ArminNavabi: I got locked out of my @facebook for posting screenshots of people threatening to kill me. Yet people that made threats ag…,I got locked out of my @facebook for posting screenshots of people threatening to kill me. Yet people that made threats against me still have their account.,Sat Aug 18 20:05:48 +0000 2018
atthistimenews,"another major quake for indonesia, other quakes and tremors in costa rica, australia, north carolina, alaska, albania, georgia, oklahoma, montana and other reports on news magazine #goingbeyondtheheadlinesforanswers",,Sat Aug 18 20:05:31 +0000 2018
EquallyBalance,"RT @EQAlerts: #Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB","#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",Sat Aug 18 20:05:19 +0000 2018
quakenotices,#quake 2018-08-18 19:39:07 (M5.6) Panama-Colombia border region 8.8 -77.3 (ebb0) https://t.co/sK10KCWd98,,Sat Aug 18 20:05:16 +0000 2018
PurpleSkyzOOM,Pacific rim on fire as the 7th major quake in 5 days https://t.co/xHGk051XdI via @Forumotion,,Sat Aug 18 20:04:47 +0000 2018
atthistimenews,hundreds of quakes rocked hawaiian town. several quakes and tremors for california. major quake for japan. and other reports on news magazine #goingbeyondtheheadinesforanswers,,Sat Aug 18 20:04:40 +0000 2018
mr__quake,RT @PeterEgardt: Nu blir den femte S-statssekreteraren myndighetschef och lämnar det sjunkande skeppet. Charlotte Svensson chef för Tullver…,Nu blir den femte S-statssekreteraren myndighetschef och lämnar det sjunkande skeppet. Charlotte Svensson chef för Tullverket. Tillträder lämpligt nog den 15/10.  Det är väl mycket nu!,Sat Aug 18 20:03:21 +0000 2018
quakenotices,#quake 2018-08-18 19:39:07 (M5.6) Panama-Colombia border region 8.8 -77.3 (1cbfb) https://t.co/ttHiHS5PKA,,Sat Aug 18 20:02:32 +0000 2018
IvyLuther2,"RT @assaphmehr: Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the wo…","Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the works, countless hours researching ancient ghosts, and extensive editing - all for a beautiful that would make even Cicero quake!

https://t.co/IAt6pqnNLp https://t.co/v0IcKNfpC8",Sat Aug 18 20:02:19 +0000 2018
hashbelowes,無料になったのでQuake Champion始めてみたけどだいぶおもろいな…,,Sat Aug 18 20:02:03 +0000 2018
Mirada_Sur,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 20:00:29 +0000 2018
branrags,I liked a @YouTube video https://t.co/DRe7cyxqoS Quake Champions - Slash Movement Tutorial (Crouch Slide),,Sat Aug 18 20:00:21 +0000 2018
sinfullyeoone,RT @yutospics: 171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,Sat Aug 18 20:00:18 +0000 2018
theBigSandbox,"QUAKE! Magnitude 5.6, Panama-Colombia border region on August 18th 2018 at 3:39 pm ET. https://t.co/CcmkdDjWvA",,Sat Aug 18 20:00:04 +0000 2018
Quake_Ohana,I've just watched episode S01E08 of Code Black! #codeblack  #tvtime https://t.co/Dz2ePC9EOI https://t.co/i6H5ysqKBj,,Sat Aug 18 19:58:50 +0000 2018
xEricBonx,"Idk why I waited so long to start playing Quake Champions, this game is wild",,Sat Aug 18 19:58:39 +0000 2018
robertodleon,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 19:58:37 +0000 2018
CathyNolley,"Earthquake M5.6 - Panama-Colombia Border Region - Sat, 18 Aug 2018 19:39:07 UTC (15:39 EDT) - 17 minutes ago
more info: https://t.co/bPd9BjU13O
via Volcanoes &amp; Erthquakes App - https://t.co/KgPwu5regk",,Sat Aug 18 19:57:14 +0000 2018
__maddietaylor,Was that a quake cause im too lazy to get up and find out,,Sat Aug 18 19:56:40 +0000 2018
RiPzT,RT @Quake: @Ch4rLizard Shout out to artist: Sancho2018 &lt;3 https://t.co/RIqiGb0v0o,@Ch4rLizard Shout out to artist: Sancho2018 &lt;3 https://t.co/RIqiGb0v0o,Sat Aug 18 19:55:32 +0000 2018
CgoudaChristian,RT @Quake: This fan art mash-up made our day. Bless this community. Please tag the artist if anybody knows them! #quakefam #futurampions #f…,This fan art mash-up made our day. Bless this community. Please tag the artist if anybody knows them! #quakefam #futurampions #feelsslambert https://t.co/tQLDvG3Qaq,Sat Aug 18 19:54:53 +0000 2018
JackMcKelvie,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 19:54:12 +0000 2018
parada_yanez,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 19:53:47 +0000 2018
quake_ebooks,considering it's on shitty monitors,,Sat Aug 18 19:53:34 +0000 2018
AndresForero29,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 19:53:02 +0000 2018
fresamaria,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 19:52:52 +0000 2018
negrilm,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 19:52:51 +0000 2018
gio23salguero,"RT @earthquakevt: ⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;…","⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",Sat Aug 18 19:52:38 +0000 2018
earthquakevt,"⚠️Prelim. Very strong #earthquake (#sismo) M=5.6 - 22 KM NW of #Acandí, #Colombia. Depth: 10 KM.
&gt;Also felt in #Panama.&lt;
#EQVT, #quake, #seísmo, #temblor, #terremoto.
¿Sintió el sismo?, ¡cuéntanos!. https://t.co/JkoHRXKHvK",,Sat Aug 18 19:52:02 +0000 2018
ngo_yk,"RT @eq_map: 【最大震度1】(気象庁発表) 三重県南部 深さごく浅い M2.1 2018年8月19日02時12分発生 
(G)https://t.co/pg44f2KSNK (気象庁)https://t.co/6qo7cPoWGn","【最大震度1】(気象庁発表) 三重県南部 深さごく浅い M2.1 2018年8月19日02時12分発生 
(G)https://t.co/pg44f2KSNK (気象庁)https://t.co/6qo7cPoWGn",Sat Aug 18 19:51:12 +0000 2018
GabrielConstans,"RT @assaphmehr: Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the wo…","Finally! I'm proud to announce the release of the second Story of Togas, Daggers, and Magic - In Numina!

3 years in the works, countless hours researching ancient ghosts, and extensive editing - all for a beautiful that would make even Cicero quake!

https://t.co/IAt6pqnNLp https://t.co/v0IcKNfpC8",Sat Aug 18 19:51:02 +0000 2018
Quake_Tracker4,Mag: 5.6 - Depth: 10 km - UTC 19:39 - Panama-colombia Border Region - GEOFON Info: https://t.co/CTc0dTeiDV,,Sat Aug 18 19:50:02 +0000 2018
ShortFiImMaker,"RT @jothims: Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories th…","Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories that women trying to enter the Ayyappan temple is the reason.Wt an inhuman approach?! Then wt was d reason behind Gujarat earth quake&amp;Uttarakhand flood?",Sat Aug 18 19:49:58 +0000 2018
OasisMountain,"RT @EQAlerts: #Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB","#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",Sat Aug 18 19:49:12 +0000 2018
Akku_Twitz,"RT @jothims: Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories th…","Kerala is devastated.Havoc everywhere. People r dying, struggling for life. While there r grt scientists inventing theories that women trying to enter the Ayyappan temple is the reason.Wt an inhuman approach?! Then wt was d reason behind Gujarat earth quake&amp;Uttarakhand flood?",Sat Aug 18 19:48:56 +0000 2018
sgt_lollol,"I liked a @YouTube video https://t.co/LFuyoWTadY Earthquake Update: Deep 6.5M Quake Hits Indonesia, West Yellowstone and Alaska",,Sat Aug 18 19:48:43 +0000 2018
sallyeastman1,"RT @EQAlerts: #Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB","#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",Sat Aug 18 19:48:33 +0000 2018
4Everanimalz1,"RT @EQAlerts: #Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB","#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",Sat Aug 18 19:48:11 +0000 2018
earthquakesApp,"[GFZ] M5.6 Aug-18 19:47:39 UTC, Panama-Colombia Border Region, Depth:10.0km, https://t.co/x7S1DxX1Ye #quake https://t.co/Iv3bXuZH1N",,Sat Aug 18 19:47:40 +0000 2018
Typical_Doge,"@WulfEdits @AlexandraJWolf Picking up chromosomes from Quake is like asking me to leave the house, never going to happen &amp; we all know it.",,Sat Aug 18 19:47:38 +0000 2018
IsaaMobile1,"RT @EQAlerts: #Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB","#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",Sat Aug 18 19:47:29 +0000 2018
cerosincore,Je pourrais jouer à Quake et progresser mais je vais plutôt regarder une 457ème vine compilation,,Sat Aug 18 19:47:25 +0000 2018
BillyNightTrain,"Matthew 24:7 For nation shall rise against nation, and kingdom against kingdom: and there shall be famines, and pestilences,➡ and earthquakes, in divers places.

5.5 earthquake on Sat, 18 Aug 19:39:07 UTC / Panama-Colombia Border Region -  https://t.co/JbmXN3kJJi https://t.co/C7DubZPqdB",,Sat Aug 18 19:47:16 +0000 2018
Ren_MrLoki,RT @ps3brasil: Bethesda diz que existe a chance de Quake Champions nos consoles; não há planos no momento - https://t.co/o543vsH8rN https:/…,Bethesda diz que existe a chance de Quake Champions nos consoles; não há planos no momento - https://t.co/o543vsH8rN https://t.co/2HFQT9mAeb,Sat Aug 18 19:46:52 +0000 2018
FashionDollMuse,"RT @novapbs: Even a few seconds of warning can greatly help West Coast residents survive a quake, and that's exactly what ""ShakeAlert"" aims…","Even a few seconds of warning can greatly help West Coast residents survive a quake, and that's exactly what ""ShakeAlert"" aims to do. via @NewsHour 
https://t.co/XpzytLGc3N",Sat Aug 18 19:46:48 +0000 2018
mr_geologist,"RT @EQAlerts: #Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB","#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",Sat Aug 18 19:46:42 +0000 2018
sheilacur,RT @UtahSeismic: USSC present to @USGS and UT congressional staffers about the earthquake hazards program as part of an edu tour. Great que…,"USSC present to @USGS and UT congressional staffers about the earthquake hazards program as part of an edu tour. Great questions and discussion about earthquake hazards in UT, progress made, and progress needed. @UtahEmergency @utahgeological @UUSS_Quake_Info @UUtah https://t.co/YEUogrZM79",Sat Aug 18 19:46:23 +0000 2018
EQAlerts_M4,"RT @EQAlerts: #Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB","#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",Sat Aug 18 19:46:05 +0000 2018
EQAlerts_M5,"RT @EQAlerts: #Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB","#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",Sat Aug 18 19:46:04 +0000 2018
EQAlerts,"#Earthquake M5.5 Panama-Colombia Border Region 7mins ago 18 Aug 19:39 UTC - report/info: 
https://t.co/nMVR2agwIB",,Sat Aug 18 19:46:04 +0000 2018
df_gomez,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 19:45:35 +0000 2018
tokyopunchout,@Xous54 @Quake @mortalemperor @SyncError It was a pure pleasure my man. You’re mega talented and an amazing human. The sky is the limit my friend. Looking forward to being there when you break through it.,,Sat Aug 18 19:45:31 +0000 2018
NotKilian_,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 19:44:48 +0000 2018
nanjum511,RT @iScrew: SEWA was also accused of using quake relief funds towards VHP/RSS affiliated organisations funding hate which immediately prove…,SEWA was also accused of using quake relief funds towards VHP/RSS affiliated organisations funding hate which immediately proved correct in 2002 riots that followed. Lord Adam Patel raised the issue in UK parliament at the time and a UK Charity Commissioner probe was ordered too.,Sat Aug 18 19:44:34 +0000 2018
SusumuYogurt,why the FUCK doesn't quake champions have a replay feature? i just had the railgun game of my life and i've been playing quake since 2006,,Sat Aug 18 19:44:03 +0000 2018
Hats4Batz,https://t.co/Cu7FkxidLf,,Sat Aug 18 19:43:38 +0000 2018
ThrasherRoyerr6,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 19:43:29 +0000 2018
BaphiBot,"""Get back to twerk""

Before you can ask for clarification, ""Don't you mean work?"", you feel your butt start to quake",,Sat Aug 18 19:43:21 +0000 2018
omawrites,My Oge dey laugh. Me I dey quake. I salute sir https://t.co/WZAdNEbo1v,,Sat Aug 18 19:43:11 +0000 2018
sosorasoul,"@ZeeZeeMooMoo @HooptyBooty History nerd highfive !

It depends on tastes, I sometimes just want pure instant fun too when I don't have much time for me.
And everyone's gonna prefer Quake over Post Scriptum, ain't gonna lie x)",,Sat Aug 18 19:42:51 +0000 2018
nategentile7,whaaaaat mi mapa preferido :D https://t.co/GFDofuKU3R,,Sat Aug 18 19:42:40 +0000 2018
Lagnews,"RT @ESLQuake: Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 A…","Tomorrow, our #Go4 @Quake Qualifier kicks off for Europe and North America. Don't miss your chance to qualify for the $1500 August Finals.

🇪🇺 Go4QC Europe: https://t.co/ykrhA08OTp
🇺🇸 Go4QC North America: https://t.co/oaM7qxU3DP https://t.co/MsNoP7sijU",Sat Aug 18 19:41:06 +0000 2018
MaikFranzXaver,"RT @VoiceOvNephilim: The time to explore the depths of the Quake Underwater Jam has arrived. Nine watery maps await. 
https://t.co/YgJuId4G…","The time to explore the depths of the Quake Underwater Jam has arrived. Nine watery maps await. 
https://t.co/YgJuId4G8h
Starts in thirty minutes. 
#Quake",Sat Aug 18 19:38:46 +0000 2018
