SalahMmoustafa,"No thoughts no prayers can bring back what’s no longer there 
 https://t.co/FL27f3RRLE",,Sun Aug 19 00:19:13 +0000 2018
yodjscottie,"Please share : this is my brothers son &amp;  his mother is a dear friend : 
Asking for prayers/thoughts and to keep a lookout for a missing child. Devin is 19 now but on the spectrum and not with medicine. Last... https://t.co/ToHVel0AB8",,Sun Aug 19 00:15:41 +0000 2018
babygirl_joey,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:15:34 +0000 2018
MicahSaucierr,RT @panthers_nhs: Thoughts and prayers go out to Panther strong safety @NoahMarques26 who went down tonight with a pretty significant injury,Thoughts and prayers go out to Panther strong safety @NoahMarques26 who went down tonight with a pretty significant injury,Sun Aug 19 00:15:32 +0000 2018
1DominoNT_2018,@AgentCarter_SSR Thoughts and prayers for Loki. https://t.co/WluvKdB4gz,,Sun Aug 19 00:15:19 +0000 2018
thebossofyou,"RT @Faith_Salie: Thoughts &amp; prayers for Don McGahn’s lawyer, who utterly misunderstands what “fulsome” means. He’s clearly one of those wor…","Thoughts &amp; prayers for Don McGahn’s lawyer, who utterly misunderstands what “fulsome” means. He’s clearly one of those wordsmiths who thinks his lexicon is penultimately bemusing. https://t.co/XIhTbhxd6s",Sun Aug 19 00:15:19 +0000 2018
Xoandrea00,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:14:55 +0000 2018
philip_charles,"Woken up with a scratchy throat, and I am flying to cairns on Saturday. Send thoughts and prayers everyone. Nothing will stop me from the sunshine state.",,Sun Aug 19 00:14:43 +0000 2018
OfficialCelena7,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:14:41 +0000 2018
AmberGirl3,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sun Aug 19 00:14:36 +0000 2018
ansabshabeeb,RT @Eoin16: My thoughts as prayers are with everyone in Kerala effected by the horrific floods,My thoughts as prayers are with everyone in Kerala effected by the horrific floods,Sun Aug 19 00:14:35 +0000 2018
GraceLouiseJ,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:14:24 +0000 2018
SureshB1997,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:14:24 +0000 2018
londoslastdance,@katienolan @WorldofIsaac Oof. Thoughts and prayers after that burn by store brand Kid Sister,,Sun Aug 19 00:14:11 +0000 2018
bekkemd,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:14:07 +0000 2018
SonsOfTarawa,RT @usmc1940: Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’…,Colonel Miller update: Dad has taken a bad turn today. He has pneumonia and had to go to the hospital. We could really use y’alls prayers and positive thoughts. He hasn’t lost his Gung-ho Marine attitude; telling me just now “We’ll get through this. I’ve been through worse”. https://t.co/cv5ReCzgxI,Sun Aug 19 00:14:06 +0000 2018
seema_insan,"RT @vicky0_13: #DispelMythsSaysStMSG
Spirituality is a path beyond human logic and reasoning.
The Almighty God is not impressed by the nomi…","#DispelMythsSaysStMSG
Spirituality is a path beyond human logic and reasoning.
The Almighty God is not impressed by the nominal prayers we offer in the from of money or jewels.

He blesses those who maintain oneness in their thoughts, words and actions. https://t.co/MvPRLrCYI1",Sun Aug 19 00:14:01 +0000 2018
thinkpraybot,RT @MarletJones: Thoughts and prayers 🤣🤣🤣🤣 https://t.co/OFIWV3YiII,Thoughts and prayers 🤣🤣🤣🤣 https://t.co/OFIWV3YiII,Sun Aug 19 00:13:59 +0000 2018
pravipng,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:13:54 +0000 2018
ThinkPrayForUS,Offering thoughts and prayers for #Clarendon #Texas - #PrayForClarendon,,Sun Aug 19 00:13:52 +0000 2018
thinkpraybot,RT @Cher_Trump: Looks like I found the next 5 to 10 years during Thanksgiving with your thoughts and prayers for both o….,Looks like I found the next 5 to 10 years during Thanksgiving with your thoughts and prayers for both o….,Sun Aug 19 00:13:51 +0000 2018
thinkpraybot,"RT @Lb_Sterling: Now let's do something!!!! We need more than thoughts and prayers!!! 

#Mencan https://t.co/g5n0KaF23a","Now let's do something!!!! We need more than thoughts and prayers!!! 

#Mencan https://t.co/g5n0KaF23a",Sun Aug 19 00:13:49 +0000 2018
ramanalife,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:13:46 +0000 2018
thinkpraybot,"RT @Craig_Harvey: Thoughts and prayers with the network administrator trying to fix this, while being interrupted every 30 seconds by manag…","Thoughts and prayers with the network administrator trying to fix this, while being interrupted every 30 seconds by management asking when it's going to be fixed.  https://t.co/VfyMMw7ls3",Sun Aug 19 00:13:45 +0000 2018
thelillster23,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:13:44 +0000 2018
phanijeevi1,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:13:43 +0000 2018
thinkpraybot,RT @merederra: going to the gym send thoughts and prayers,going to the gym send thoughts and prayers,Sun Aug 19 00:13:36 +0000 2018
krishraji8,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:13:32 +0000 2018
NThavendra,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:13:25 +0000 2018
proudbandmom60,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sun Aug 19 00:13:22 +0000 2018
Christudas10,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:13:22 +0000 2018
MarletJones,Thoughts and prayers 🤣🤣🤣🤣 https://t.co/OFIWV3YiII,,Sun Aug 19 00:13:16 +0000 2018
tyrionbarrister,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:13:10 +0000 2018
TataiNath070910,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:12:46 +0000 2018
MrOmPrakashShah,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:12:27 +0000 2018
mutual_Shaww2,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:12:21 +0000 2018
thatboiiluke,RT @Scots_Football: Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Thoughts and prayers with @zeus1_34 hang in their big man and keep grinding.,Sun Aug 19 00:12:18 +0000 2018
GadeRamanjaneya,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:12:14 +0000 2018
Luis_sin_Zeta,@Caring_Atheist Sending thoughts and prayers 😎 https://t.co/Z7iBCBtt0J,,Sun Aug 19 00:12:12 +0000 2018
stevieanntas,"@Billablog Sad, thoughts and prayers",,Sun Aug 19 00:12:11 +0000 2018
KuruvaRajeswari,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:12:08 +0000 2018
tzarbob,@pepinosuave @ron_fournier It’s the equivalent of “We support our troops” but not quite “thoughts and prayers.”,,Sun Aug 19 00:12:07 +0000 2018
isabellanueva14,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:12:04 +0000 2018
xxshawncake,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:11:59 +0000 2018
kookooberrytart,@vlilacs Listen I’m not scared of anything but bugs and heights so trust me I understand. Sending my thoughts and prayers to u in this tough time 😔 also yes it’s been good so far thank u just got back from the market and bought three kinds of ramen so I’m doing great,,Sun Aug 19 00:11:36 +0000 2018
TheScottCharles,"RT @Lb_Sterling: Now let's do something!!!! We need more than thoughts and prayers!!! 

#Mencan https://t.co/g5n0KaF23a","Now let's do something!!!! We need more than thoughts and prayers!!! 

#Mencan https://t.co/g5n0KaF23a",Sun Aug 19 00:11:32 +0000 2018
lovinmaximoff,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:11:21 +0000 2018
MOHAMMEDRAZIK19,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:11:13 +0000 2018
RiteshKoickel,RT @taran_adarsh: The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficul…,The situation in Kerala is truly tragic and heartbreaking... Prayers and thoughts with people of Kerala in these difficult times... #KeralaFloods #StandWithKerala #SupportKerala #PrayForKerala https://t.co/wnSqi7NOI6,Sun Aug 19 00:11:09 +0000 2018
Crown_ak_,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:11:09 +0000 2018
HeavenCanW8t,RT @MWD_News: It’s with great sadness that we share the news of the passing of retired TEDD MWD Free (R606). Our thoughts and prayers are w…,It’s with great sadness that we share the news of the passing of retired TEDD MWD Free (R606). Our thoughts and prayers are with his handler Michael and Michael's wife Tina. We are thankful that Free was able to live out the last 2 years of his retirement with Michael and Tina. https://t.co/CArSPKHdxb,Sun Aug 19 00:11:05 +0000 2018
vineetjoshi,"RT @vijay_sampla: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! 
 #KeralaFloods https://t.co/7QM…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! 
 #KeralaFloods https://t.co/7QM24wsksi",Sun Aug 19 00:11:05 +0000 2018
johhcamposs,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:11:03 +0000 2018
palmeiramendes,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:10:38 +0000 2018
Cuddlemarais13,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:10:37 +0000 2018
eer2eternity,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sun Aug 19 00:10:36 +0000 2018
Cher_Trump,Looks like I found the next 5 to 10 years during Thanksgiving with your thoughts and prayers for both o….,,Sun Aug 19 00:10:32 +0000 2018
xdreamvega,"@tirednyx sadly i cant donate anything else than prayers and good luck. hope everything turns out fine, my thoughts are with you &lt;3",,Sun Aug 19 00:10:26 +0000 2018
FollowM09962128,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:10:18 +0000 2018
SKondala,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:10:18 +0000 2018
gibbsesq,"RT @Lb_Sterling: Now let's do something!!!! We need more than thoughts and prayers!!! 

#Mencan https://t.co/g5n0KaF23a","Now let's do something!!!! We need more than thoughts and prayers!!! 

#Mencan https://t.co/g5n0KaF23a",Sun Aug 19 00:10:17 +0000 2018
jonahisthicc,"RT @ImHighKeyShawn: If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best…","If you see this on your timeline 
Please pray for me, I’m not doing so well. 
. depression sucks. And it gets the best of me sometimes. 
I just ask for anyone reading this to please keep me in your thoughts/prayers.",Sun Aug 19 00:10:06 +0000 2018
YyyCee,@TonjaWallace Condolences. Thoughts and prayers of strength to you and family during this difficult times.,,Sun Aug 19 00:10:05 +0000 2018
KhasimBhaishai1,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:10:05 +0000 2018
SivaKankanala,RT @ysjagan: The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these tes…,The devastation caused by the #KeralaFloods is gut-wrenching. My thoughts &amp; prayers are with the people of Kerala in these testing times. Urge the Central govt to provide all possible assistance to support relief &amp; rehabilitation measures for people affected by this calamity.,Sun Aug 19 00:09:56 +0000 2018
