ElkoDaily,"New fire south of Carlin burns 2,500-plus acres Thursday https://t.co/E1cpS8wpUT",,Fri Aug 24 04:48:09 +0000 2018
j_parent54,"@HassyPatassy @gohigher3 @IanChampagne1 @MonicaBisha @JustinTrudeau @realDonaldTrump It’s not like there are hundreds of acres of forest burning in his province. While BC burns and their citizens plead for the government to help, their firefighters are on Twitter spreading hate",,Tue Aug 21 16:42:12 +0000 2018
_Santa_Barbara,"Highway 166 Reopens as Front Fire Continues to Burn East of Santa Maria: Blaze burns an estimated 875 acres, with 5-percent containment, as of Monday afternoon https://t.co/7g4dDvUeQt",,Mon Aug 20 22:06:04 +0000 2018
Junah_B,"@Climatologist49 @nature_LANDFIRE @SeverePlains Here in BC where we had 3 million acres burn last year and looking to match that again this year, there was an article published about how the forest used to burn every 15 years, but now it only burns every 50 because of fire suppression. BTW, here is a graph for you. https://t.co/kzcgoEXgFT",,Mon Aug 20 20:51:23 +0000 2018
KCLUlive,RT @KCLUNEWS: Brush Fire Burns More Than 700 Acres Of Land In Santa Barbara County; 5% Contained @countyofsb @vcfd @SBcountyOEM https://t.c…,Brush Fire Burns More Than 700 Acres Of Land In Santa Barbara County; 5% Contained @countyofsb @vcfd @SBcountyOEM https://t.co/xU3O38xnz6,Mon Aug 20 06:59:17 +0000 2018
KCLUNEWS,Brush Fire Burns More Than 700 Acres Of Land In Santa Barbara County; 5% Contained @countyofsb @vcfd @SBcountyOEM https://t.co/xU3O38xnz6,,Mon Aug 20 06:27:01 +0000 2018
jftaveira1993,As of 10:30 a.m. the #GorgeFire has burned 75 acres. No evacuations have been issued at this time. https://t.co/CYv4v9lXzx #California #CaliforniaWildfires,,Sun Aug 19 19:19:02 +0000 2018
Satans1Desire,"😱Thse kind of stats r mst definitly not the kind that u🧐4ward 2seeing😡
 Horrifyin actully &amp;depressingly tragic &amp;sad.!😭 Actually4got how massivly destructve lst yrs🌲🔥were.!
 0vr 1,216,000 hectares whch translate in2 4700 sq mi/Over 3,000,000 acres.!

https://t.co/V8cDaPV6W0",,Sun Aug 19 08:26:58 +0000 2018
RightAsRain7,"@susankamppi @DryasLulia @SecondLady @VP @CNN CA burns thousands and thousands of acres every year, because of stupid environmental policies, improper clearing of underbrush, dead trees.",,Sat Aug 18 23:55:36 +0000 2018
Doc_Harding,"Every year, 'responsible stewardship' burns 100's of thousands of acres of rice stubble. Because you want to save a few pennies on your rice https://t.co/PXepfOpzNM",,Sat Aug 18 23:20:32 +0000 2018
BmanBronx,"When the government burns 200k+ acres of land, residential, and commercial property under the guise of ""natural wild fire"" https://t.co/CAsOejqaKm",,Sat Aug 18 13:29:40 +0000 2018
GoddessRosemary,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Sat Aug 18 12:30:56 +0000 2018
scullymb,"We have entered the era of the megafire—defined as a wildfire that burns more than 100,000 acres. https://t.co/yzQqk1PJdL",,Fri Aug 17 02:00:49 +0000 2018
SpacemanCrazy,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Fri Aug 17 01:34:20 +0000 2018
DeseretNews,"A new fire ignited Thursday east of Bear Lake in Rich County and quickly grew to burn 300 acres, state fire officials said.
https://t.co/210biqdcOj",,Fri Aug 17 01:20:00 +0000 2018
cyotha,"@demal8791 @SocTwo1 @JayInslee I am for prescribed burns, I am NOT for letting a fire started by an arsonist (as in California), or accidentally, rage uncontrolled through thousands of acres.",,Fri Aug 17 00:23:11 +0000 2018
matthoffmanwx,"RT @KDRV: UPDATE: Just a few hours ago, the #WatsonCreekFire west of Paisley in Lake County covered 40 acres—now fire managers says it has…","UPDATE: Just a few hours ago, the #WatsonCreekFire west of Paisley in Lake County covered 40 acres—now fire managers says it has grown to cover 350 acres. The remote and difficult terrain and low visibility has proven difficult for firefighting efforts. https://t.co/UT7gOv3mvf",Thu Aug 16 23:59:05 +0000 2018
jordan_leikin,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Thu Aug 16 23:42:50 +0000 2018
KDRV,"UPDATE: Just a few hours ago, the #WatsonCreekFire west of Paisley in Lake County covered 40 acres—now fire managers says it has grown to cover 350 acres. The remote and difficult terrain and low visibility has proven difficult for firefighting efforts. https://t.co/UT7gOv3mvf",,Thu Aug 16 23:12:41 +0000 2018
matthoffmanwx,RT @KDRV: BREAKING: A new wildfire in Lake County near the town of Paisley now covers over 40 acres. Fire managers say that it is burning i…,"BREAKING: A new wildfire in Lake County near the town of Paisley now covers over 40 acres. Fire managers say that it is burning in difficult terrain, but they have helicopters working to help ground crews contain the flames. https://t.co/UT7gOv3mvf",Thu Aug 16 20:07:46 +0000 2018
KDRV,"BREAKING: A new wildfire in Lake County near the town of Paisley now covers over 40 acres. Fire managers say that it is burning in difficult terrain, but they have helicopters working to help ground crews contain the flames. https://t.co/UT7gOv3mvf",,Thu Aug 16 20:02:11 +0000 2018
fastgirl114,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Thu Aug 16 19:59:14 +0000 2018
tensoba10,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Thu Aug 16 19:54:30 +0000 2018
corbinmalone7,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Thu Aug 16 19:10:11 +0000 2018
Bumpyknight,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Thu Aug 16 19:05:42 +0000 2018
BaumBigmb,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Thu Aug 16 18:47:20 +0000 2018
Incinotes,"Howe Ridge Fire burns thousands of acres in Glacier National Park
The fire is on the north end of Lake McDonald north of West Glacier, Montana https://t.co/ALUnJvDU2i",,Thu Aug 16 18:45:28 +0000 2018
IreneCarmichae1,Howe Ridge Fire burns thousands of acres in Glacier National Park https://t.co/dsuZUZ8YMs via @WildfireToday,,Thu Aug 16 18:34:35 +0000 2018
Watchdogsniffer,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Thu Aug 16 18:22:47 +0000 2018
VirginiaCarrace,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Thu Aug 16 18:15:44 +0000 2018
roxsavoie,Howe Ridge Fire burns thousands of acres in Glacier National Park https://t.co/NqXufq7NhA via @WildfireToday,,Thu Aug 16 18:15:00 +0000 2018
wildfiretoday,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,,Thu Aug 16 18:09:46 +0000 2018
DailySentinelGJ,"RT @mclea1re: Neighbors are seething after learning of a plan to add 6,300 solar panels on 13 acres at a low point on Horse Mountain, a dev…","Neighbors are seething after learning of a plan to add 6,300 solar panels on 13 acres at a low point on Horse Mountain, a development that will be visible from some homes just south of Palisade. Story https://t.co/v7BfRNzTtC from today's @DailySentinelGJ via @GJAmyHamilton https://t.co/rwIY5KXCsT",Thu Aug 16 17:38:52 +0000 2018
cyotha,"@demal8791 @SocTwo1 @JayInslee Wrong. The WA Forest Service did controlled burns in 2017 and this year (only 12% of our forests are state-owned, by the way.) Also, the USFS has burned 110K+ acres over the last decade (43% of our forests are federally owned).",,Thu Aug 16 17:37:00 +0000 2018
mclea1re,"Neighbors are seething after learning of a plan to add 6,300 solar panels on 13 acres at a low point on Horse Mountain, a development that will be visible from some homes just south of Palisade. Story https://t.co/v7BfRNzTtC from today's @DailySentinelGJ via @GJAmyHamilton https://t.co/rwIY5KXCsT",,Thu Aug 16 17:28:33 +0000 2018
susanalatte,"“We have entered the era of the megafire—defined as a wildfire that burns more than 100,000 acres.” - William Finnegan on CA wildfires https://t.co/ECr4evQuzg",,Thu Aug 16 15:10:42 +0000 2018
KREM2,Fire southeast of Chattaroy burns 10 acres https://t.co/L3G402HeHN https://t.co/GAeWflpa4m,,Thu Aug 16 15:00:24 +0000 2018
susanaemejia,"“We have entered the era of the megafire—defined as a wildfire that burns more than 100,000 acres.” - William Finnegan on CA wildfires https://t.co/F2Fyiyu9zL",,Thu Aug 16 12:26:25 +0000 2018
KREM2,Fire southeast of Chattaroy burns 10 acres https://t.co/SJGz6bm96N https://t.co/iCyUAqNxti,,Thu Aug 16 10:40:09 +0000 2018
KREM2,Fire southeast of Chattaroy burns 10 acres https://t.co/BTiA2oFfXC https://t.co/6A87jaq4PC,,Thu Aug 16 06:20:10 +0000 2018
rhrentz1,"RT @ActionNewsNow: Carr Fire Update: 211,038 acres, 67% contained. Cal Fire conducting controlled burns on the northeast side of the fire,…","Carr Fire Update: 211,038 acres, 67% contained. Cal Fire conducting controlled burns on the northeast side of the fire, near Lakehead. https://t.co/hHHJLBjrEw",Wed Aug 15 16:16:43 +0000 2018
dynamat,"@JShorths @NSWRFS Every year the Rural fire service burns hundreds of thousands or  millions of acres of bushland in prescribed burning ""hazard reduction"".  Not ony is this problematic for climate change, co2 and air quality, it prognosticates nearby bushfires in the following days and weeks.",,Wed Aug 15 15:14:16 +0000 2018
ActionNewsNow,"Carr Fire Update: 211,038 acres, 67% contained. Cal Fire conducting controlled burns on the northeast side of the fire, near Lakehead. https://t.co/hHHJLBjrEw",,Wed Aug 15 14:17:47 +0000 2018
joer138,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 13:43:33 +0000 2018
stonemirror,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 13:25:04 +0000 2018
HatPeople,RT @nycityboy00: @washingtonpost What an assinine article. Seriously. Forest fire damage was reduced from 30 million acres annually to 7.4…,"@washingtonpost What an assinine article. Seriously. Forest fire damage was reduced from 30 million acres annually to 7.4 million. It's up to landowners and government officials to manage natural resources, including controlled burns (CONTROLLED burns). This is not the fault of the campaign. DUH",Wed Aug 15 12:18:21 +0000 2018
nycityboy00,"@washingtonpost What an assinine article. Seriously. Forest fire damage was reduced from 30 million acres annually to 7.4 million. It's up to landowners and government officials to manage natural resources, including controlled burns (CONTROLLED burns). This is not the fault of the campaign. DUH",,Wed Aug 15 11:34:39 +0000 2018
Chartoc,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 10:49:07 +0000 2018
Norcalfoggy,"@SecretarySonny @SecretaryZinke our Ranch in Mendocino County has escaped Fires , if it burns it will be the biggest fire ever, diseased dying among 1000’s of acres of healthy for now trees.Choking prohibitive regulations are killing our forest, come hunting B4 it burns.Please help https://t.co/Ys33PYTjVy",,Wed Aug 15 09:08:48 +0000 2018
YappaPodcast,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 05:12:59 +0000 2018
Jimmy_Durrr,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 05:09:20 +0000 2018
pantherbr3w,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 05:08:02 +0000 2018
eggy365,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 05:02:47 +0000 2018
luisfromtx,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 05:01:25 +0000 2018
MattLech,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 04:53:25 +0000 2018
Federelis,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 04:46:30 +0000 2018
travis_view,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 04:43:30 +0000 2018
BobSchu88565890,"Every reasonable person wants to preserve the earth. The environmentalists says to protect the forests, don't clear underbrush. Then a fire starts (intentionally?) and burns thousands of acres while polluting the world. And environmentalists high five. @LisaMei62 @SGTreport",,Wed Aug 15 04:20:13 +0000 2018
homeschoolusama,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 04:11:19 +0000 2018
cashmoneyglock,"1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",,Wed Aug 15 03:45:10 +0000 2018
fox13,"UPDATE: An infrared flight has more accurately mapped the Coal Hollow Fire at 24,576 acres as of Tuesday afternoon https://t.co/oa1uDK9vJ0",,Tue Aug 14 18:46:53 +0000 2018
DaytonPubPolicy,"I took a photo of this Alta Sierra fire soon after it started. Although a state official claims ""the fire started at about 2:46 p.m."" my photo was taken at 2:31 p.m.
https://t.co/OnkUq9kHOY
https://t.co/06JXAYROZD
They got it under control. https://t.co/UvDyCyCCYk",,Tue Aug 14 15:38:43 +0000 2018
fox13,"Coal Hollow Fire burns 22,178 acres; blaze 2% contained. A pair of community meetings are scheduled for Tuesday and Wednesday, details here: https://t.co/oa1uDK9vJ0",,Tue Aug 14 14:30:37 +0000 2018
1968NHLtweets,John Ferguson and Gump Worsley are set to operate a summer hockey camp on behalf of the Green Acres Day Camp. They will be assisted by Connie Forey and Robin Burns.,,Tue Aug 14 14:25:00 +0000 2018
Meowisabelle,"RT @CBSNews: California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs","California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs",Tue Aug 14 08:55:38 +0000 2018
lupitaa_17,"RT @CBSNews: California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs","California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs",Tue Aug 14 06:55:37 +0000 2018
lahailyy,"RT @CBSNews: California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs","California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs",Tue Aug 14 04:46:54 +0000 2018
_julian26,"RT @CBSNews: California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs","California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs",Tue Aug 14 00:02:07 +0000 2018
nancytheswimmer,"RT @CBSNews: California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs","California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs",Mon Aug 13 23:52:55 +0000 2018
greatgrandma411,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Fri Aug 24 06:01:28 +0000 2018
bettyp711,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Fri Aug 24 04:26:25 +0000 2018
ElAlam_Vnz,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Fri Aug 24 03:41:31 +0000 2018
MAStewartMA,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Fri Aug 24 01:02:28 +0000 2018
briandepiero,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Fri Aug 24 00:05:54 +0000 2018
DrdaveAnddee,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Fri Aug 24 00:00:53 +0000 2018
