devadattajoshi,RT @Binita_Saikia: This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,Wed Aug 22 15:05:14 +0000 2018
2theory,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:22:42 +0000 2018
Adnanana_batman,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:15:20 +0000 2018
koradiya_akshay,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:11:05 +0000 2018
ponderamu,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:09:18 +0000 2018
raghubhi,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 14:04:00 +0000 2018
5FQ,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 13:52:10 +0000 2018
OyeFollowTohKar,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 13:50:45 +0000 2018
ambakhshi,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 13:40:46 +0000 2018
kiranmartis9,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 13:20:58 +0000 2018
SriPankaj,"Every year rain-water from Other country as Nepal&amp;Tibet region collect and come as  flood to Himalayan baseline region,
even NorthEast drowned last year by wate released of brahmutra by China then no 'so-calld' Neta&amp;Celebs appealed to donate any penny neither loose their wallet !",,Wed Aug 22 13:18:45 +0000 2018
ajeetkalbag,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 13:09:51 +0000 2018
svraghunandan,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 13:02:21 +0000 2018
sidd_shenoy,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:53:25 +0000 2018
lop_india,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:53:03 +0000 2018
BlumeBrad,"TODAY:  Wheels Up!  Destination NYC US Open!   LAST YEAR: 800 year flood in Houston and could not get to NYC for 7 days!  

#houstonproud #usopen #nyc #houstonstrong #tennis… https://t.co/uV0WdI8d7o",,Wed Aug 22 12:45:29 +0000 2018
mgurusaravanan,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:40:28 +0000 2018
Akash54321Akash,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:38:07 +0000 2018
Vaibhav22778881,RT @anshu4narang: @panipathelpdesk @cmohry @mlkhattar @CMOhryShadow @Kavitajainbjp @RamBilasBJP @BJP4India @anilvijminister @PMOIndia @MoHF…,@panipathelpdesk @cmohry @mlkhattar @CMOhryShadow @Kavitajainbjp @RamBilasBJP @BJP4India @anilvijminister @PMOIndia @MoHFW_INDIA @Rajesh4Kukreja @akc4karnal @WeArePanipat @Panipat @HPanipat @SwachhBharatGov @swachhbharat @RahulGandhi @office0ffRG_ @rssurjewala @BhupinderSHooda @CMCPANIPAT @IYC @ndtv @ravishndtv @aampress @aajtak @News18Haryana @NewsNationTV @abpnewstv @voiceofpanipat @rbsharmabjp Condition of school after 10 min rain. Now water invited #Mosquitoes which cause #dengue &amp; other critical illness and skin problems. It is the duty of #healthminister #educationminister #CM to take necessary action we r tweet all from last 2 year #Flood https://t.co/DHlcYGWoUK https://t.co/rK3WfiEcYg,Wed Aug 22 12:32:34 +0000 2018
Mr_Vinoth_,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:30:59 +0000 2018
virvikram,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:28:45 +0000 2018
Axom1234,"RT @NANDANPRATIM: 8-year-old schoolgirl Anupriya from Villupuram, broke open her piggy banks to contribute to flood relief in Kerala. Hero…","8-year-old schoolgirl Anupriya from Villupuram, broke open her piggy banks to contribute to flood relief in Kerala. Hero Cycles gifted a bicycle to Class II girl, who donated her piggy bank savings of last 4 years. Anupriya had been saving her pocket money to buy a bicycle. https://t.co/i0enT35sB6",Wed Aug 22 12:24:40 +0000 2018
Wolf_Twitz,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:23:15 +0000 2018
ProgrammerMonk,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:06:14 +0000 2018
daaktardush,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 12:01:53 +0000 2018
narain_soumya,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:58:31 +0000 2018
BoneyXavier,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:56:22 +0000 2018
ryu_Hemanth,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:53:20 +0000 2018
shajan_joseph,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:52:40 +0000 2018
sidhuchamkaur5,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:40:40 +0000 2018
Vasant55640855,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:38:53 +0000 2018
dimag_mat_kha,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:32:36 +0000 2018
therosabarks,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:31:14 +0000 2018
SmudgerX,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:31:08 +0000 2018
bikashstar88,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:30:46 +0000 2018
bharathira1,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:30:39 +0000 2018
pcee19,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:30:32 +0000 2018
mksbabbles,"@RakeshSinha01 @VPSecretariat @narendramodi @RSSorg @AmitShah Not good this, sir. This Kerala state never helped flood victims in Bihar, U'khand, Assam, but helped flood victims in Pakistan! And how can you forget last year's cow slaughter on open street sir, just to mock at Hindu religion? Is it not divine justice, sir?",,Wed Aug 22 11:22:49 +0000 2018
manojagrawal200,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:22:20 +0000 2018
jitmich,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:22:15 +0000 2018
zehnasseb,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:20:39 +0000 2018
Pupulmimi,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 11:13:17 +0000 2018
acekhan69539,RT @Aamirian_Raj: Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach ra…,Last year @aamir_khan ne Assam flood me donate kia but na aamir na hi hum log dhindora pite jitna PRK ke PR nanga nach rahe hai . https://t.co/QMlLTXx9wn,Wed Aug 22 11:03:09 +0000 2018
PrnsJsk,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:59:53 +0000 2018
anuj_peh,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:58:56 +0000 2018
ShivaKap,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:57:54 +0000 2018
synchronise1857,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:52:49 +0000 2018
pramodtharakan,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:48:54 +0000 2018
bakwas_engineer,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:48:09 +0000 2018
NS1093,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:45:53 +0000 2018
HapppyChillmore,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:44:02 +0000 2018
nikhilsureka,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:42:42 +0000 2018
Kriti_this_side,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:40:14 +0000 2018
danishkhan_30,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:39:19 +0000 2018
vr46___,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:38:48 +0000 2018
JustChaoticEvil,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:38:46 +0000 2018
bitspratik,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:38:37 +0000 2018
Baba_Chu,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:37:52 +0000 2018
mahesh94902300,RT @KodaguConnect: 76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the…,"76-year-old Velayudhan and his wife have been cooking tirelessly for 1000 people at a relief camp in Kushalnagar for the last four days. 

We bow to their commitment to help the flood-affected despite being senior citizens. Unsung heroes and heroines of our society. https://t.co/UsMFO0v1dD",Wed Aug 22 10:37:41 +0000 2018
