devadattajoshi,RT @Binita_Saikia: This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,This pic is from last year's Assam flood😁. https://t.co/GDm8zunqar,Wed Aug 22 15:05:14 +0000 2018
suprema_she,RT @raghava838: @davidfrawleyved @myogiadityanat Some scenes of Bakrid animal sacrifice of last year still haunting. That of Bangladesh wit…,"@davidfrawleyved @myogiadityanat Some scenes of Bakrid animal sacrifice of last year still haunting. That of Bangladesh with river of blood flowing like flood water on streets remain rattling. Like #Yogi ji, other CMs also can save scores of Ppl from this trauma. Hope so.",Wed Aug 22 08:28:05 +0000 2018
RedTulipssGirl,I wasn’t expecting the flood of odd emotions I was gonna get when ND’s “Silver Linings” came on just now. I listened to it way too much last year when I was going through my feelings for someone so....ouch?,,Wed Aug 22 08:26:43 +0000 2018
praveenpandey90,How much you have donated in Koshi Flood Fund (Bihar) last year?  @itsSSR @NitishKumar @SushilModi https://t.co/3RpFg1Ct4Z,,Wed Aug 22 08:17:21 +0000 2018
Serenit97952855,"@washingtonpost Sea level rise is about 3 mm per year - as it has been since the end of the last period of glaciation.  At that rate it would be 100 years before the average increases by a foot.  

This lady has a house on a flood plain.",,Wed Aug 22 06:55:31 +0000 2018
BrutIndia,"Nine-year-old Haider Ali Khan appeared in a viral photograph saluting the Indian flag in chest-deep flood water in Assam last year. Now, Ali faces deportation after being left off the Assam National Register of Citizens. https://t.co/q5PYb9X7Uk",,Wed Aug 22 06:51:00 +0000 2018
anshu4narang,@panipathelpdesk @cmohry @mlkhattar @CMOhryShadow @Kavitajainbjp @RamBilasBJP @BJP4India @anilvijminister @PMOIndia @MoHFW_INDIA @Rajesh4Kukreja @akc4karnal @WeArePanipat @Panipat @HPanipat @SwachhBharatGov @swachhbharat @RahulGandhi @office0ffRG_ @rssurjewala @BhupinderSHooda @CMCPANIPAT @IYC @ndtv @ravishndtv @aampress @aajtak @News18Haryana @NewsNationTV @abpnewstv @voiceofpanipat @rbsharmabjp Condition of school after 10 min rain. Now water invited #Mosquitoes which cause #dengue &amp; other critical illness and skin problems. It is the duty of #healthminister #educationminister #CM to take necessary action we r tweet all from last 2 year #Flood https://t.co/DHlcYGWoUK https://t.co/rK3WfiEcYg,,Wed Aug 22 06:47:38 +0000 2018
Takiplage,"Last year the #WorldBank created a 6,426 s/km #sanctuary for #chimpanzees in #Guinea that protected over 4,000 chimpanzees and now #China wants to build a dam inside the #park that could flood it and #kill  thousands of the #chimps. #Primates #Singes ST+RT
https://t.co/3ntUcoVaXE",,Wed Aug 22 06:22:26 +0000 2018
Trade_Warrior,"Last year,We also faced the worst flood and more than 200 people had lost their lives in my district.THAT TIME NO 1 HELPED EXCEPT GOVT.People slept 3-4 days on roof without food or anything.thousands of animal died So I understand Kerala's people's Pain. .
https://t.co/K0tSZiS8DT https://t.co/QlfS7syFfQ",,Wed Aug 22 05:38:54 +0000 2018
kiregee,Bihar has only around 12% urban areas and still ravaged by flood last year. Blaming urbanisation for floods has thus no empirical support. I hope @deccanherald don't use the name of reputed institutes to pass on the personal opinion of someone as scientific research.,,Wed Aug 22 04:12:39 +0000 2018
GuruKesaV,@Ghelani_RK @darshanpathak Even this year n last year. Gujarat faced flood.,,Wed Aug 22 03:58:41 +0000 2018
vakibs,"@kriskarzy I am inclined to think the sum of the 4 Yugas is around 12000 - 13000 years, which roughly places the Satya Yuga at the onset of the Last Glacial (the warming up after the ice age around 13000 years ago). This correlates with the flood of Manu and the Matsya Avatar of Vishṇu.",,Wed Aug 22 13:56:15 +0000 2018
Pubcask,This blog by @zythophiliac inspired our walk https://t.co/2rl1pNsECN https://t.co/yRBAN5cWo5,,Wed Aug 22 13:52:29 +0000 2018
a_greyshirt,"RT @MissionsOnWheel: Two years ago we deployed #ShowerTrailer-2 (our only shower trailer at the time) to Baton Rouge, LA to support Team Ru…","Two years ago we deployed #ShowerTrailer-2 (our only shower trailer at the time) to Baton Rouge, LA to support Team Rubicon with flood relief efforts. We had no idea at the time, the trailer would be there... https://t.co/cgFZToamOA",Wed Aug 22 13:18:22 +0000 2018
MissionsOnWheel,"Two years ago we deployed #ShowerTrailer-2 (our only shower trailer at the time) to Baton Rouge, LA to support Team Rubicon with flood relief efforts. We had no idea at the time, the trailer would be there... https://t.co/cgFZToamOA",,Wed Aug 22 12:37:31 +0000 2018
Saifull55692683,@TimesNow @madhavgk What abt the flood in Uttarakhand few years ago .. can someone gave me a valid reason of that flood victims. What was the reason and the bihar flood too ... Thank you,,Wed Aug 22 12:00:12 +0000 2018
amine_2603,@katydid_alot @FrenzDrone @AtheistRepublic Umm pangea was here hundreds of millions years ago whilst the flood was only a few thousand years ago.,,Wed Aug 22 09:05:58 +0000 2018
ayecandy4u,"@novapbs Would to have Nova do an episode on the Burckle Crater. Only 5,000 years ago a meteor hit the Pacific Ocean, pierced 2.5 miles of ocean to create a 18 mile wide crater on the ocean floor. The tidal wave hit Africa, Australia, and Middle East. Left tales of ""The Flood"".",,Wed Aug 22 08:02:33 +0000 2018
BinAyed70,"The Zanclean Mega flood, the biggest in the earth’s history; took place approx 5 million years ago,lead to refilling of #Mediterranean Sea - الفيضان الزانسلي كان الأكبر في تاريخ الارض، حدث قبل حوالي 5 ملايين عام، وأدى لإعادة ملئ البحر المتوسط. https://t.co/oha7t2mQBm",,Wed Aug 22 07:26:31 +0000 2018
blacklist1993,"RT @samjawed65: Koena Mitra, Postcard News share old images as those of RSS helping in Kerala. Postcard News has forgotten that the same im…","Koena Mitra, Postcard News share old images as those of RSS helping in Kerala. Postcard News has forgotten that the same images were circulated by it 2 years ago as well. https://t.co/2fBAwZgrYD",Wed Aug 22 07:21:34 +0000 2018
Boneythug44,That flood that canceled school a couple years ago needs to happen again lol,,Wed Aug 22 06:57:46 +0000 2018
CallThataCrisis,@smh @1RossGittins Less than 2 years ago the Lachlan was in flood and Forbes was under 10 m of water and the fed was giving money away for wet cows 1/ Where's that water gone? 2/If you need fed money every 2 years is it a business?,,Wed Aug 22 05:41:43 +0000 2018
iMDRW,RT @KatSullivanDC: Dad’s house in Falls Church about an hour ago - have lived here for 28 years and never seen Fairwood Lane flood ⁦@capita…,Dad’s house in Falls Church about an hour ago - have lived here for 28 years and never seen Fairwood Lane flood ⁦@capitalweather⁩ https://t.co/PNhIjPPMML,Wed Aug 22 05:25:09 +0000 2018
MoClassified,"RT @ashleeonair: I just had a flood of realization and gratefulness just now. Realizing where I was 2, 3, 5 even 10 years ago.. 

I’m reall…","I just had a flood of realization and gratefulness just now. Realizing where I was 2, 3, 5 even 10 years ago.. 

I’m really where I said I’d be all along. Thank God.",Wed Aug 22 05:03:32 +0000 2018
ashleeonair,"I just had a flood of realization and gratefulness just now. Realizing where I was 2, 3, 5 even 10 years ago.. 

I’m really where I said I’d be all along. Thank God.",,Wed Aug 22 04:59:07 +0000 2018
Iridium24,"RT @ShellyKennisto1: Politically charged MTV VMAs drop double digits from last year
Brian Flood  By Brian Flood|😂🤣😂🤣😂🤣😂 https://t.co/CEppWd…","Politically charged MTV VMAs drop double digits from last year
Brian Flood  By Brian Flood|😂🤣😂🤣😂🤣😂 https://t.co/CEppWdkyxc",Wed Aug 22 03:02:41 +0000 2018
QuandaryMan,"I used to have a large photo album/scrapbook of all my favorite dinosaur pictures, and in that book were all the photos I took at Dinosaur Gardens. I lost that album almost 20 years ago in a flood, and I can't seem to find many other photos from the place on the web.",,Wed Aug 22 04:02:18 +0000 2018
KroyBeatss,@mrmopar281 Thats what insurance is for. When we had a flood up here a few years ago there was a parking lot FULL of brand new corvette. Water to/past the roof. (I work at the GM tech center),,Wed Aug 22 03:11:34 +0000 2018
atheistic_1,"@aoseaborne Yeah, there wasn't a global flood or single incestuous family repopulating the planet 4500 years ago.

Do join us in the 21st century sometime. https://t.co/VsW3kxIc88",,Wed Aug 22 02:48:36 +0000 2018
NickGeorgiadis9,@rlspruill @LisPower1 The world wide flood that was documented by many civilized people's that happened about 4000 years ago. That flood.,,Wed Aug 22 01:40:02 +0000 2018
brockk5309,"Here we go, the flood gates have been opened. I knew that Liberals were fruit loops 20 years ago. Now, everyone gets to see. https://t.co/s65Cwv5ynG",,Wed Aug 22 01:08:10 +0000 2018
GCrendrel,"@griffinhart609 It's the current popular flavor. It was WoW-clones years ago, survival-crafting for a while, not to mention the flood of Minecraft/Terraria-clones we had and still have. 

If something sells well once, everyone's gonna try to make their own.",,Wed Aug 22 01:03:34 +0000 2018
kikigr,RT @CVarnsABC17: Doesn't seem like it was 25 years ago.  Lots of memories covering the flood the summer after I graduated from J-School.  P…,"Doesn't seem like it was 25 years ago.  Lots of memories covering the flood the summer after I graduated from J-School.  Preview: ""The Flood of '93: 25 Years Later"" - KMIZ https://t.co/5Trp120BA2",Wed Aug 22 00:29:14 +0000 2018
RHH01NJ,@Jerzygryl @GovMurphy But its global warming caused by Pres Trump that made these areas flood 60 years ago. Dont you know 🤣,,Wed Aug 22 00:16:21 +0000 2018
DucadiSpalato,@Dr_ThomasZ The water originally came from Mars many years ago. More of Mars' water landed on the Earth bringing a great flood and human life,,Tue Aug 21 23:43:07 +0000 2018
rlmhitman5447,"Was created in the beginning however thousands of years ago that it was, maybe hundreds of thousands of years!  Amen.   And that through Noah, the Nephilim devil's white race of humanity survived the great deluge called the Flood!  Amen.); and sowed (which means planted and",,Tue Aug 21 22:17:48 +0000 2018
ShellyKennisto1,"Politically charged MTV VMAs drop double digits from last year
Brian Flood  By Brian Flood|😂🤣😂🤣😂🤣😂 https://t.co/CEppWdkyxc",,Wed Aug 22 02:55:39 +0000 2018
Sthlmekot,"More Toxic Skin-Care Products Flood London
Substance banned 17 years ago https://t.co/UW1uYNXOl0",,Tue Aug 21 21:56:12 +0000 2018
NavyYardPirate,"Four years ago I had to explain to my ex’s parents why their flood insurance premiums on their second home were going up, they refused to believe they were at risk. https://t.co/kisFxGjv7O",,Tue Aug 21 20:45:03 +0000 2018
NeutrogAus,"Time for a giggle...💚💚💚
A couple of years ago, the farm of one of our crew was under flood
Tilley Joy didn't realise her father was kayaking over the paddocks (nowhere near the raging river)and she loved going... https://t.co/7aBQAcxx0i",,Tue Aug 21 20:32:52 +0000 2018
neethu_u,@saysatheesh @HariIndic Nope.Sabarmila has been established more than 500 years ago.And d rules were set from the time Ayyappa Swami went to the mountain.this disaster happened only now when outsiders like u(unlike people like me who are Pandalamites and r still affected by this flood)decided to meddle,,Tue Aug 21 20:12:32 +0000 2018
LokiWilLafeyson,"RT @LokiWilLafeyson: +
4) Teacher-Master name is Space went to Odin talk, what over several years will be great flood, them need go to othe…","+
4) Teacher-Master name is Space went to Odin talk, what over several years will be great flood, them need go to other place. 
5) 111824 years ago = People from Daaria go to Russia
6) 106796 years ago = People build city name is Iriy's Asgard
7) Loki come back to home
+",Tue Aug 21 19:55:06 +0000 2018
J_essica_Mess,RT @meghannmm2: We literally never used to get any natural disasters this bad is years and all of a sudden we’re getting everything left ri…,We literally never used to get any natural disasters this bad is years and all of a sudden we’re getting everything left right and center ...it’s flood it’s hurricane last year now earthquake and alya on kixx still?,Wed Aug 22 02:30:54 +0000 2018
beijaflor70,"@I_own_a_dog @Bill_Flood @FUNHAUS_FAN @jacremes It was offensive 2, 10, 30, 40 years ago. It just wasn't offensive to you.",,Tue Aug 21 18:09:28 +0000 2018
I_own_a_dog,"@beijaflor70 @Bill_Flood @FUNHAUS_FAN @jacremes The memorial is to commemorate the dead, not bring in the fourth reich. Why are you pissing yourself now trying to take down a statue that was 0% offensive two years ago.",,Tue Aug 21 17:56:09 +0000 2018
MarkoftheBuzz,"@TheFakeNed Last year, the eclipse and a flood. This year, the insect plague. What apocalyptic sign will we get August 21, 2019?",,Wed Aug 22 01:39:21 +0000 2018
KatSullivanDC,Dad’s house in Falls Church about an hour ago - have lived here for 28 years and never seen Fairwood Lane flood ⁦@capitalweather⁩ https://t.co/PNhIjPPMML,,Tue Aug 21 17:51:19 +0000 2018
kennyranch,@DiriTami Drove pass this same area and the flood is unbelievable.. It never use to be like this some years ago. Wondering what happened?,,Tue Aug 21 16:27:21 +0000 2018
KDRogersMD,"@religulous Yahweh belief is one such area. 
We know humanity is older than 6000 years. We know there was no global flood circa 4344 yrs ago. The foundation stories for Yahweh belief are false. We know the history of the Yahweh story.",,Tue Aug 21 16:23:50 +0000 2018
rijn,"A few years ago @ehpo @dulk and me presented the dynamics of enthusiasm in music by showing moments of Flame, Flow &amp; Flood &amp; telling music stories. I just stumbled upon this videotrailer: https://t.co/jykgw9Z0sk Maybe we should do this again!",,Tue Aug 21 16:22:02 +0000 2018
EffumBodyWorks,Two years ago... I never wanna see another flood again...but it was a great time of unity and love! We was in them streets heavy tho! We went to parts and neighborhoods that never saw… https://t.co/NHo724MiGa,,Tue Aug 21 15:12:45 +0000 2018
ChesCoRamblings,RT @TheEtherMan: @Kelly_UPenn @ChesCoRamblings It’s interesting that 6 years ago the flood zone residents were threatening litigation for n…,"@Kelly_UPenn @ChesCoRamblings It’s interesting that 6 years ago the flood zone residents were threatening litigation for not establishing the storm water fee, which has still not done a major project, and now these same people are threatening litigation to stop projects. #NotInMyBackYard",Tue Aug 21 14:20:44 +0000 2018
clarkie027,"RT @michellemccann: 2 years ago today, the country was waking up from a hip concert hangover, but my friends at @thebaldboys were waking up…","2 years ago today, the country was waking up from a hip concert hangover, but my friends at @thebaldboys were waking up to a flood in the store. crazy to think that 2 years have gone by since i got the ""we'll probably be closed for a couple of days."" text. @clarkie027",Tue Aug 21 13:23:29 +0000 2018
kamal_pardeshi,@iKabirBedi @porinju This is picture of flood in Porbandar a few years ago. Not Kerala,,Tue Aug 21 12:52:33 +0000 2018
michellemccann,"2 years ago today, the country was waking up from a hip concert hangover, but my friends at @thebaldboys were waking up to a flood in the store. crazy to think that 2 years have gone by since i got the ""we'll probably be closed for a couple of days."" text. @clarkie027",,Tue Aug 21 12:35:48 +0000 2018
ManassehDavid,"Lesson from a 110 years ago.
Today, the Musi has been tamed to an extent that even a massive amount of rainfall in the catchment area of 352 km river is a small wave that sweeps away garbage.
https://t.co/c2u5hUZ8tE",,Tue Aug 21 11:29:00 +0000 2018
Cern_lXXl,"@MaryVMos1 @ItsGonnaGoForIt @afperezb9 @AtheistEclipse @mikenedie @tklforgiven @HondaGuy4 @RCReed40 @JeweledStrokes @dcj_daniel @godlessteach @humanisthobbit @Troy_J_E @AwayFromTheKeys @Duke1CA @VincyBigJ @KrisQuestionz @JesusisLord50 @questions_faith @MexicoAteo @AprilLigeia @ax2n38 @Imjustacat5 @terrymorse @JWKieres @EdDarrell @godlessteach2 @Zaephou @CollinOctantis @tarawasjesus @Wileylm @sygarte @Doubtism @bobsopinions @religulous @Exposelies777 @tcunderdahl @PraiseHisName50 @idbanassaheht @trojan719 @GolfTPA @MexMarc @dykhead @Wintersfall @philipose66 @AtheistWorld @Apikoros613 @LilithLiberated @CubeSteve @DAccampoFamily That opinion is totally backed up by science and history, the idea of a global flood which killed a whole planet apart from 8 people, around 4000 years ago, is absolutely ridiculous.",,Tue Aug 21 08:59:20 +0000 2018
KDRogersMD,"No I didnt leave so I could go get drunk, high or fornicate. I left because I found out there never was a Noah's global flood. The JWs were bible literalists. I compared the bible flood story vs what was going on in the world 4344 years ago and found these did not match.",,Tue Aug 21 08:01:59 +0000 2018
IFollowYooBack_,"Why we had to tame Uber: And what other cities should learn from New York's victory

Three years ago, we saw a crisis coming. So we took a stand against corporate greed, worker exploitation and congested traffic with a reasonable proposition: Limit the flood of new for-hire …",,Tue Aug 21 07:03:07 +0000 2018
familydisaster,"RT @NWSLaCrosse: Drowning in Madison, WI area last night is the prelim. 29th flood death in the U.S. this year so far. Nearly every one of…","Drowning in Madison, WI area last night is the prelim. 29th flood death in the U.S. this year so far. Nearly every one of them involves people DRIVING INTO FLOOD WATERS. #tadd https://t.co/mTHCTM1QVr",Wed Aug 22 01:20:20 +0000 2018
GandipetPani,"Really painful to see the trail of destruction caused by floods in Kodagu. Visited the place just last year &amp; the memories of that places are still fresh.

The more painful &amp; disgusting thing is that a minister throws biscuits to the flood victims recklessly!

#KodaguFloodRelief",,Wed Aug 22 01:17:27 +0000 2018
meghannmm2,We literally never used to get any natural disasters this bad is years and all of a sudden we’re getting everything left right and center ...it’s flood it’s hurricane last year now earthquake and alya on kixx still?,,Wed Aug 22 01:01:35 +0000 2018
NWSLaCrosse,"Drowning in Madison, WI area last night is the prelim. 29th flood death in the U.S. this year so far. Nearly every one of them involves people DRIVING INTO FLOOD WATERS. #tadd https://t.co/mTHCTM1QVr",,Wed Aug 22 01:00:14 +0000 2018
ResadZa,"RT @ikirigin: Why are salaries in tech so high? I mean literally why has labor supply not increased given this incentive?

Bill Gates was w…","Why are salaries in tech so high? I mean literally why has labor supply not increased given this incentive?

Bill Gates was worth $100B 20 years ago. The Social Network was a hit 7 years ago. 

This is decades of time for a flood of new grads, or career switchers",Tue Aug 21 06:53:58 +0000 2018
ParulBh,"@appssharath221 @snsachinnandu You’re wrong. When Gujarat was flooded years ago, our then CM, @narendramodi visited flood affected areas in rescue boats to survey damages and assist with relief efforts. Look how far he has come today, as PM of the world’s Largest democracy! We only get what we choose.",,Tue Aug 21 06:05:40 +0000 2018
Karaboondi,"Also two years ago , I was rescued out of my car which got stuck on the ramp to join the interstate/Beltline. That happened during a sudden flash flood in the area . Today reminded of that - only it was far worse weather wise",,Tue Aug 21 04:26:59 +0000 2018
PhilNFit,It hasn’t rained this hard since our wedding day 30 years ago. 30 years ago today we got married and it fell a flood - tonight is no different. We may be here a while. 30 years ago I married my sweetheart-... https://t.co/1ZVF4Yb0xL,,Tue Aug 21 03:44:40 +0000 2018
TheEtherMan,"@Kelly_UPenn @ChesCoRamblings It’s interesting that 6 years ago the flood zone residents were threatening litigation for not establishing the storm water fee, which has still not done a major project, and now these same people are threatening litigation to stop projects. #NotInMyBackYard",,Tue Aug 21 03:30:51 +0000 2018
SeanSchofer,@EquallyBalance No they just died. Probably from the flood a few years ago.,,Tue Aug 21 03:07:52 +0000 2018
CrazyBackWoodsP,@jmoney999999 @morganisawizard Ever since the flood that happened around my neighborhood about 10 years ago got me into prepping then of course the snow storm that happened last year.,,Tue Aug 21 02:39:58 +0000 2018
KassMiass,"@JoleeMockler yes, it floods when we get massive rain, like now. We're on a flood plain between Lake Monona, Starkweather Creek &amp; the Yahara River. Many houses in the area don't have basements. Mine WAS finished 30 years ago when I moved in but now? It's just a place to do laundry. LOL.",,Tue Aug 21 01:55:27 +0000 2018
WillOfThePeopl5,RT @JoyceEScott1: @TripMc3 @WandaWomanHere @Sinbaddusnavy @arch1com @Pigglys762NATO @RealBiddle @cjdtwit @WandaIsBack @DatoFreddy @stand4ho…,"@TripMc3 @WandaWomanHere @Sinbaddusnavy @arch1com @Pigglys762NATO @RealBiddle @cjdtwit @WandaIsBack @DatoFreddy @stand4honor @Mongo444444 @PIRATEDANTRAIN @ArnoldZiffle18 @DolphinBabe21 @gailsline @WingedDevyl @RawHoney_5 @unconcious0 @basedinfidel8 @WillOfThePeopl5 @stephphilip8 @mayalates @Alpha6Phinsider @Twitmo_Inmate3 @IcyQueenBee @SumatraSue @ladydiblu1 @AmericanLaoch @MoooPapa @thomaspearc3120 @GillumShavett @billbenedict61 @moej4242 @Fusion4Trump @CAoutcast @Sinnanizfirefey @Carrolka @RUSTIMCCOLLUM @relentlessseeds @bronson69 @Baby___Del @MarshaPeters919 @lazyzimms @SKSSKanz @Satchalistic1 @TheReal_Crayon @Trisha829 @ChushaiHierarch @usa__forever @mean_caveman that is incredible. devastating what nature can do and often in such a short time. we have tornadoes here that literally in seconds demolish and blow homes, towns, trees, structures &amp; even people away. several years ago had a flash flood that washed the place away like an ocean",Tue Aug 21 01:37:50 +0000 2018
JoyceEScott1,"@TripMc3 @WandaWomanHere @Sinbaddusnavy @arch1com @Pigglys762NATO @RealBiddle @cjdtwit @WandaIsBack @DatoFreddy @stand4honor @Mongo444444 @PIRATEDANTRAIN @ArnoldZiffle18 @DolphinBabe21 @gailsline @WingedDevyl @RawHoney_5 @unconcious0 @basedinfidel8 @WillOfThePeopl5 @stephphilip8 @mayalates @Alpha6Phinsider @Twitmo_Inmate3 @IcyQueenBee @SumatraSue @ladydiblu1 @AmericanLaoch @MoooPapa @thomaspearc3120 @GillumShavett @billbenedict61 @moej4242 @Fusion4Trump @CAoutcast @Sinnanizfirefey @Carrolka @RUSTIMCCOLLUM @relentlessseeds @bronson69 @Baby___Del @MarshaPeters919 @lazyzimms @SKSSKanz @Satchalistic1 @TheReal_Crayon @Trisha829 @ChushaiHierarch @usa__forever @mean_caveman that is incredible. devastating what nature can do and often in such a short time. we have tornadoes here that literally in seconds demolish and blow homes, towns, trees, structures &amp; even people away. several years ago had a flash flood that washed the place away like an ocean",,Tue Aug 21 01:16:25 +0000 2018
Frowny13onYT,RT @domeless_engine: So I’ve been on a nostalgic kick lately. I used to have these notebooks as a child but sadly I lost them in a basement…,So I’ve been on a nostalgic kick lately. I used to have these notebooks as a child but sadly I lost them in a basement flood about 7 years ago (except for the spiral to one 😐). I was wondering in any of you had some of these if you’d be willing to sell or trade them! Dm me https://t.co/OkgAblEwGp,Tue Aug 21 00:54:15 +0000 2018
SonVaytha,I remember no one gave a solitary fuck 3 years ago when Tamilnadu had it’s flood. People losing their minds over the Kerala flood rn... yeah....,,Tue Aug 21 00:19:10 +0000 2018
nikkidementri,Wegner added that they have meetings planned next week to try and change the infrastructure. He said the last time a flood this bad happened in this area from sewage was about 15 years ago. @WKBW,,Tue Aug 21 00:14:54 +0000 2018
seumaskeith,@TFPWillEat @tommyrowan @HOMAGE Was a good class but Topps over produced. 84-85 Topps was the last year they didn't flood the market.,,Tue Aug 21 23:36:45 +0000 2018
FixieTrackStand,"RT @EngliscSaxon: Around 425,000 years ago a flood broke the Weald-Artois anticline, gorging out what is now the English channel. https://t…","Around 425,000 years ago a flood broke the Weald-Artois anticline, gorging out what is now the English channel. https://t.co/tlew1h4lkX",Mon Aug 20 23:56:51 +0000 2018
ichbindaswalros,"@BloodedtheBrave I had their first LP but lost it to flood damage years ago. I used to have a mixtape with the Fat Boys and Run DMC  back in the mid 80s. Those were fund days, my friend! 
RIP Human BeatBox",,Mon Aug 20 23:03:41 +0000 2018
Ra_Targaryen,"Earlier Mike and I watched a video about the 2007 flood here. After, watched one by a guy that goes ""bridge hunting"" and actually came to OZ 2 years ago. ""Well dang baby, he shoulda gone to that bridge N of Greeley."" ""What's the name of that one?"" ""I'll drive out and check."" /1",,Mon Aug 20 22:47:58 +0000 2018
Mickey_Elvis,@ArkEncounter Every culture back to about 4400 years ago knows about the great flood.  Some cultures didn't have the exact details in recorded history the way that we do now but they all knew of its existence.,,Mon Aug 20 20:56:37 +0000 2018
ikirigin,"Why are salaries in tech so high? I mean literally why has labor supply not increased given this incentive?

Bill Gates was worth $100B 20 years ago. The Social Network was a hit 7 years ago. 

This is decades of time for a flood of new grads, or career switchers",,Mon Aug 20 19:56:02 +0000 2018
Egyptianpast,"RT @martiangrandpa: #carolinabays were explained in the early 1950's but nobody listened. Now, any crackpot theory can gain traction. The b…","#carolinabays were explained in the early 1950's but nobody listened. Now, any crackpot theory can gain traction. The bays formed from grounded icebergs, rounded in the oceanic flood from the axis change 10,500 years ago. See https://t.co/pS4E7nNBS1 for the story. https://t.co/fXaBxkoVrI",Mon Aug 20 19:17:40 +0000 2018
Roy72kurian,"@dubeaMd @vgarg01 @JeraldKPhilip @dhanyarajendran @chitraSD Sorry. This report which was made  many years ago before this government got elected  said that ??

If deforestation was an issue, then how did a flood of similar magnitude happen in 1924  when there was no deforestation at all.",,Mon Aug 20 18:32:01 +0000 2018
