ElkoDaily,"New fire south of Carlin burns 2,500-plus acres Thursday https://t.co/E1cpS8wpUT",,Fri Aug 24 04:48:09 +0000 2018
KCLUlive,RT @KCLUNEWS: Brush Fire Burns More Than 700 Acres Of Land In Santa Barbara County; 5% Contained @countyofsb @vcfd @SBcountyOEM https://t.c…,Brush Fire Burns More Than 700 Acres Of Land In Santa Barbara County; 5% Contained @countyofsb @vcfd @SBcountyOEM https://t.co/xU3O38xnz6,Mon Aug 20 06:59:17 +0000 2018
KCLUNEWS,Brush Fire Burns More Than 700 Acres Of Land In Santa Barbara County; 5% Contained @countyofsb @vcfd @SBcountyOEM https://t.co/xU3O38xnz6,,Mon Aug 20 06:27:01 +0000 2018
jftaveira1993,As of 10:30 a.m. the #GorgeFire has burned 75 acres. No evacuations have been issued at this time. https://t.co/CYv4v9lXzx #California #CaliforniaWildfires,,Sun Aug 19 19:19:02 +0000 2018
Satans1Desire,"😱Thse kind of stats r mst definitly not the kind that u🧐4ward 2seeing😡
 Horrifyin actully &amp;depressingly tragic &amp;sad.!😭 Actually4got how massivly destructve lst yrs🌲🔥were.!
 0vr 1,216,000 hectares whch translate in2 4700 sq mi/Over 3,000,000 acres.!

https://t.co/V8cDaPV6W0",,Sun Aug 19 08:26:58 +0000 2018
RightAsRain7,"@susankamppi @DryasLulia @SecondLady @VP @CNN CA burns thousands and thousands of acres every year, because of stupid environmental policies, improper clearing of underbrush, dead trees.",,Sat Aug 18 23:55:36 +0000 2018
Doc_Harding,"Every year, 'responsible stewardship' burns 100's of thousands of acres of rice stubble. Because you want to save a few pennies on your rice https://t.co/PXepfOpzNM",,Sat Aug 18 23:20:32 +0000 2018
BmanBronx,"When the government burns 200k+ acres of land, residential, and commercial property under the guise of ""natural wild fire"" https://t.co/CAsOejqaKm",,Sat Aug 18 13:29:40 +0000 2018
GoddessRosemary,RT @wildfiretoday: #HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,Sat Aug 18 12:30:56 +0000 2018
scullymb,"We have entered the era of the megafire—defined as a wildfire that burns more than 100,000 acres. https://t.co/yzQqk1PJdL",,Fri Aug 17 02:00:49 +0000 2018
DeseretNews,"A new fire ignited Thursday east of Bear Lake in Rich County and quickly grew to burn 300 acres, state fire officials said.
https://t.co/210biqdcOj",,Fri Aug 17 01:20:00 +0000 2018
cyotha,"@demal8791 @SocTwo1 @JayInslee I am for prescribed burns, I am NOT for letting a fire started by an arsonist (as in California), or accidentally, rage uncontrolled through thousands of acres.",,Fri Aug 17 00:23:11 +0000 2018
matthoffmanwx,"RT @KDRV: UPDATE: Just a few hours ago, the #WatsonCreekFire west of Paisley in Lake County covered 40 acres—now fire managers says it has…","UPDATE: Just a few hours ago, the #WatsonCreekFire west of Paisley in Lake County covered 40 acres—now fire managers says it has grown to cover 350 acres. The remote and difficult terrain and low visibility has proven difficult for firefighting efforts. https://t.co/UT7gOv3mvf",Thu Aug 16 23:59:05 +0000 2018
KDRV,"UPDATE: Just a few hours ago, the #WatsonCreekFire west of Paisley in Lake County covered 40 acres—now fire managers says it has grown to cover 350 acres. The remote and difficult terrain and low visibility has proven difficult for firefighting efforts. https://t.co/UT7gOv3mvf",,Thu Aug 16 23:12:41 +0000 2018
matthoffmanwx,RT @KDRV: BREAKING: A new wildfire in Lake County near the town of Paisley now covers over 40 acres. Fire managers say that it is burning i…,"BREAKING: A new wildfire in Lake County near the town of Paisley now covers over 40 acres. Fire managers say that it is burning in difficult terrain, but they have helicopters working to help ground crews contain the flames. https://t.co/UT7gOv3mvf",Thu Aug 16 20:07:46 +0000 2018
KDRV,"BREAKING: A new wildfire in Lake County near the town of Paisley now covers over 40 acres. Fire managers say that it is burning in difficult terrain, but they have helicopters working to help ground crews contain the flames. https://t.co/UT7gOv3mvf",,Thu Aug 16 20:02:11 +0000 2018
Incinotes,"Howe Ridge Fire burns thousands of acres in Glacier National Park
The fire is on the north end of Lake McDonald north of West Glacier, Montana https://t.co/ALUnJvDU2i",,Thu Aug 16 18:45:28 +0000 2018
IreneCarmichae1,Howe Ridge Fire burns thousands of acres in Glacier National Park https://t.co/dsuZUZ8YMs via @WildfireToday,,Thu Aug 16 18:34:35 +0000 2018
roxsavoie,Howe Ridge Fire burns thousands of acres in Glacier National Park https://t.co/NqXufq7NhA via @WildfireToday,,Thu Aug 16 18:15:00 +0000 2018
wildfiretoday,#HoweRidge Fire burns thousands of acres in Glacier National Park https://t.co/Ev7Lem5Lrp https://t.co/7TJfY0e6FD,,Thu Aug 16 18:09:46 +0000 2018
DailySentinelGJ,"RT @mclea1re: Neighbors are seething after learning of a plan to add 6,300 solar panels on 13 acres at a low point on Horse Mountain, a dev…","Neighbors are seething after learning of a plan to add 6,300 solar panels on 13 acres at a low point on Horse Mountain, a development that will be visible from some homes just south of Palisade. Story https://t.co/v7BfRNzTtC from today's @DailySentinelGJ via @GJAmyHamilton https://t.co/rwIY5KXCsT",Thu Aug 16 17:38:52 +0000 2018
cyotha,"@demal8791 @SocTwo1 @JayInslee Wrong. The WA Forest Service did controlled burns in 2017 and this year (only 12% of our forests are state-owned, by the way.) Also, the USFS has burned 110K+ acres over the last decade (43% of our forests are federally owned).",,Thu Aug 16 17:37:00 +0000 2018
mclea1re,"Neighbors are seething after learning of a plan to add 6,300 solar panels on 13 acres at a low point on Horse Mountain, a development that will be visible from some homes just south of Palisade. Story https://t.co/v7BfRNzTtC from today's @DailySentinelGJ via @GJAmyHamilton https://t.co/rwIY5KXCsT",,Thu Aug 16 17:28:33 +0000 2018
susanalatte,"“We have entered the era of the megafire—defined as a wildfire that burns more than 100,000 acres.” - William Finnegan on CA wildfires https://t.co/ECr4evQuzg",,Thu Aug 16 15:10:42 +0000 2018
KREM2,Fire southeast of Chattaroy burns 10 acres https://t.co/L3G402HeHN https://t.co/GAeWflpa4m,,Thu Aug 16 15:00:24 +0000 2018
susanaemejia,"“We have entered the era of the megafire—defined as a wildfire that burns more than 100,000 acres.” - William Finnegan on CA wildfires https://t.co/F2Fyiyu9zL",,Thu Aug 16 12:26:25 +0000 2018
KREM2,Fire southeast of Chattaroy burns 10 acres https://t.co/SJGz6bm96N https://t.co/iCyUAqNxti,,Thu Aug 16 10:40:09 +0000 2018
KREM2,Fire southeast of Chattaroy burns 10 acres https://t.co/BTiA2oFfXC https://t.co/6A87jaq4PC,,Thu Aug 16 06:20:10 +0000 2018
rhrentz1,"RT @ActionNewsNow: Carr Fire Update: 211,038 acres, 67% contained. Cal Fire conducting controlled burns on the northeast side of the fire,…","Carr Fire Update: 211,038 acres, 67% contained. Cal Fire conducting controlled burns on the northeast side of the fire, near Lakehead. https://t.co/hHHJLBjrEw",Wed Aug 15 16:16:43 +0000 2018
dynamat,"@JShorths @NSWRFS Every year the Rural fire service burns hundreds of thousands or  millions of acres of bushland in prescribed burning ""hazard reduction"".  Not ony is this problematic for climate change, co2 and air quality, it prognosticates nearby bushfires in the following days and weeks.",,Wed Aug 15 15:14:16 +0000 2018
ActionNewsNow,"Carr Fire Update: 211,038 acres, 67% contained. Cal Fire conducting controlled burns on the northeast side of the fire, near Lakehead. https://t.co/hHHJLBjrEw",,Wed Aug 15 14:17:47 +0000 2018
joer138,"RT @cashmoneyglock: 1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and…","1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",Wed Aug 15 13:43:33 +0000 2018
HatPeople,RT @nycityboy00: @washingtonpost What an assinine article. Seriously. Forest fire damage was reduced from 30 million acres annually to 7.4…,"@washingtonpost What an assinine article. Seriously. Forest fire damage was reduced from 30 million acres annually to 7.4 million. It's up to landowners and government officials to manage natural resources, including controlled burns (CONTROLLED burns). This is not the fault of the campaign. DUH",Wed Aug 15 12:18:21 +0000 2018
nycityboy00,"@washingtonpost What an assinine article. Seriously. Forest fire damage was reduced from 30 million acres annually to 7.4 million. It's up to landowners and government officials to manage natural resources, including controlled burns (CONTROLLED burns). This is not the fault of the campaign. DUH",,Wed Aug 15 11:34:39 +0000 2018
Norcalfoggy,"@SecretarySonny @SecretaryZinke our Ranch in Mendocino County has escaped Fires , if it burns it will be the biggest fire ever, diseased dying among 1000’s of acres of healthy for now trees.Choking prohibitive regulations are killing our forest, come hunting B4 it burns.Please help https://t.co/Ys33PYTjVy",,Wed Aug 15 09:08:48 +0000 2018
BobSchu88565890,"Every reasonable person wants to preserve the earth. The environmentalists says to protect the forests, don't clear underbrush. Then a fire starts (intentionally?) and burns thousands of acres while polluting the world. And environmentalists high five. @LisaMei62 @SGTreport",,Wed Aug 15 04:20:13 +0000 2018
cashmoneyglock,"1. Q believer arrested for plan to assassinate Trump.
2. Q believer burns down over 10000 acres of valuable forest and numerous cabins, sending people fleeing for their lives.
3. Q believer holds people hostage on Hoover Dam. https://t.co/wwUL170MQ7",,Wed Aug 15 03:45:10 +0000 2018
fox13,"UPDATE: An infrared flight has more accurately mapped the Coal Hollow Fire at 24,576 acres as of Tuesday afternoon https://t.co/oa1uDK9vJ0",,Tue Aug 14 18:46:53 +0000 2018
DaytonPubPolicy,"I took a photo of this Alta Sierra fire soon after it started. Although a state official claims ""the fire started at about 2:46 p.m."" my photo was taken at 2:31 p.m.
https://t.co/OnkUq9kHOY
https://t.co/06JXAYROZD
They got it under control. https://t.co/UvDyCyCCYk",,Tue Aug 14 15:38:43 +0000 2018
fox13,"Coal Hollow Fire burns 22,178 acres; blaze 2% contained. A pair of community meetings are scheduled for Tuesday and Wednesday, details here: https://t.co/oa1uDK9vJ0",,Tue Aug 14 14:30:37 +0000 2018
1968NHLtweets,John Ferguson and Gump Worsley are set to operate a summer hockey camp on behalf of the Green Acres Day Camp. They will be assisted by Connie Forey and Robin Burns.,,Tue Aug 14 14:25:00 +0000 2018
Meowisabelle,"RT @CBSNews: California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs","California's Holy Fire has burned 18,000 acres south of Los Angeles https://t.co/0qmWzrTxLQ https://t.co/hSYR2gHRWs",Tue Aug 14 08:55:38 +0000 2018
greatgrandma411,"RT @MikeHudema: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",Fri Aug 24 06:01:28 +0000 2018
Heatherknows2,"RT @JennySelsby: Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/n1J7Px0UVp

With so many fires burning, how d…","Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/n1J7Px0UVp

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/mHB1Aa9Tuv #green #ecofriendly #environm…",Thu Aug 23 22:30:10 +0000 2018
JennySelsby,"Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/n1J7Px0UVp

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/mHB1Aa9Tuv #green #ecofriendly #environm…",,Thu Aug 23 21:30:43 +0000 2018
MikeHudema,"Glacier National Park Fire Spreads to More Than 5 Square Miles: https://t.co/2f2QZGKQfN

With so many fires burning, how do new pipelines make any sense?

#PanelsNotPipelines #ActOnClimate #climate #energy #Cdnpoli #go100re https://t.co/hp78IvUJgQ",,Thu Aug 23 21:23:01 +0000 2018
RockyTopSkiBum,"RT @NBCMontana: An unmanned aircraft system was used Monday on the fire, which has burned more than three square miles in the park and on t…","An unmanned aircraft system was used Monday on the fire, which has burned more than three square miles in the park and on the Lee Metcalf Wilderness south of Big Sky. https://t.co/I6EuSuAg2I",Thu Aug 23 17:33:31 +0000 2018
NBCMontana,"An unmanned aircraft system was used Monday on the fire, which has burned more than three square miles in the park and on the Lee Metcalf Wilderness south of Big Sky. https://t.co/I6EuSuAg2I",,Thu Aug 23 17:25:24 +0000 2018
TeamCroston,"As of yesterday 1,680 square miles have burned in California wildfires this summer
Just for a sense of scale
The Hawaiian eruption that was all over the news (and made it seem like all of Hawaii was on fire) resulted in 13 square miles of damage",,Thu Aug 23 14:17:18 +0000 2018
CalDisasters,RT @PGE_John: This morning's MODIS satellite image of the #MendocinoComplexFire updated at 5:15 a.m. PDT Aug. 23. The fire has burned appro…,"This morning's MODIS satellite image of the #MendocinoComplexFire updated at 5:15 a.m. PDT Aug. 23. The fire has burned approximately 361,000 acres or 564 square miles (largest in state history) and is 67% contained.  #CaWx #RanchFire #CalFire https://t.co/JIoVcrjJy3",Thu Aug 23 12:37:32 +0000 2018
PGE_John,"This morning's MODIS satellite image of the #MendocinoComplexFire updated at 5:15 a.m. PDT Aug. 23. The fire has burned approximately 361,000 acres or 564 square miles (largest in state history) and is 67% contained.  #CaWx #RanchFire #CalFire https://t.co/JIoVcrjJy3",,Thu Aug 23 12:37:05 +0000 2018
solarwarden88,Some people like to debate whether nuking of Japan was necessary. What I can tell you is that what we had planned along with fire bombing was chlorine gassing 250 square miles as encapsulated by this quote...,,Wed Aug 22 19:31:21 +0000 2018
CSAC_Counties,"#MendocinoComplexFire tops 400,000 acres. To put that in perspective, that's equal to 625 square miles, or larger than six California Counties! https://t.co/CAhnZyssY7 @bayareamoms #wildfires #CACounties",,Wed Aug 22 15:24:24 +0000 2018
TheMichaelGrey,"Took the top photo one month ago today. The lower photo is what 17 square miles of wild fire looks like in the same location currently.
.
.
#glaciernationalpark #lakemcdonald #montana… https://t.co/sXlAQLPoDY",,Wed Aug 22 13:31:38 +0000 2018
GFTribune,"The fire is burning in lodgepole pine trees that grew after fires in 2001 and 2003, but is also fueled by downed logs and dead trees. https://t.co/KziqfPoIsG",,Tue Aug 21 21:00:13 +0000 2018
KMON560,Howe Ridge Fire expands to 17 square miles. https://t.co/JGa7A9SiHf,,Tue Aug 21 20:36:05 +0000 2018
HowardGees,"@pseudo_hipster @jachee @bethgg Fire is on a bit of grass less than a mile square, about 7 miles away and the other side of the river Trent. https://t.co/fKpARQcPqP",,Tue Aug 21 19:09:35 +0000 2018
CC_WxWitch,"RT @missoulian: Unsettled weather, including strong winds from the northeast, caused growth on the southwestern flank of a fire burning in…","Unsettled weather, including strong winds from the northeast, caused growth on the southwestern flank of a fire burning in Glacier National Park. https://t.co/8H85hurmwT https://t.co/Pde7PGnMmT",Tue Aug 21 16:12:05 +0000 2018
missoulian,"Unsettled weather, including strong winds from the northeast, caused growth on the southwestern flank of a fire burning in Glacier National Park. https://t.co/8H85hurmwT https://t.co/Pde7PGnMmT",,Tue Aug 21 16:05:24 +0000 2018
faithbasedisao,RT @Gate_15_Analyst: Stone Fire covers over 35 square miles in Modoc County https://t.co/khwNqYBrU3,Stone Fire covers over 35 square miles in Modoc County https://t.co/khwNqYBrU3,Tue Aug 21 10:38:12 +0000 2018
Singularitybook,"Fires fed by warmer climate. The five hottest fire seasons, stretching from April to September, in the Western U.S produced years that on average burned more than 13,500 square miles of land via /r/Futurology https://t.co/fjKo0hyvJL https://t.co/ZNgrbp21qU",,Tue Aug 21 10:16:12 +0000 2018
Gate_15_Analyst,Stone Fire covers over 35 square miles in Modoc County https://t.co/khwNqYBrU3,,Tue Aug 21 09:40:02 +0000 2018
simmo_g,"@nytimes It's winter in Australia, bushfires, drought over 300,000 square miles.  Each year the fire seaon starts earlier and the Liberal National party denies there's a problem with climate change. The scientists Antarctica are reporting massive ice melts and  warming.  Fossil fuel rules",,Tue Aug 21 09:22:51 +0000 2018
GiovanniToschi,"Fires fed by warmer climate. The five hottest fire seasons, stretching from April to September, in the Western U.S produced years that on average burned more than 13,500 square miles of land
https://t.co/pyJr0J1KpJ",,Tue Aug 21 09:10:56 +0000 2018
KatrinaMKelly,"RT @IHC2FD: And low humidity is ""the key driver of wildfire spread,"" according to University of Colorado fire scientist Jennifer Balch who…","And low humidity is ""the key driver of wildfire spread,"" according to University of Colorado fire scientist Jennifer Balch who says the Western U.S. soon will start to see wildfires of 1 million acres (1,562 square miles).
https://t.co/mZMYUMhpPm",Mon Aug 20 23:21:44 +0000 2018
katebochte,"Pope Jorge needs to resign. But, of course he won’t. So Catholics need to FIRE these evil, dangerous men. Prosecute them! #Accountability No one is above the law but Jorge claims diplomatic immunity, as head of 6 square miles of Vatican City. No excuse for 🙈🙉🙊laity. @BretBaier",,Mon Aug 20 22:56:14 +0000 2018
mijomojo1,"RT @NPR: The Ranch Fire, one of the two California wildfires that make up the Mendocino Complex, has burned through 341,047 acres — or 533…","The Ranch Fire, one of the two California wildfires that make up the Mendocino Complex, has burned through 341,047 acres — or 533 square miles — and is at 76 percent containment. https://t.co/eNYKKj94Kl",Mon Aug 20 21:26:27 +0000 2018
IHC2FD,"And low humidity is ""the key driver of wildfire spread,"" according to University of Colorado fire scientist Jennifer Balch who says the Western U.S. soon will start to see wildfires of 1 million acres (1,562 square miles).
https://t.co/mZMYUMhpPm",,Mon Aug 20 21:24:31 +0000 2018
cabiaultima,"Raw: Thousands Told To Flee Northern Calif. Fire: A wildfire almost 90 miles north of San Francisco has burned at least 12 square miles, destroyed at least 12 buildings and is threatening hundreds more. About 3,000 people were told to evacuate their… https://t.co/cInIeBDHMl https://t.co/ogFqbvHC4t",,Mon Aug 20 13:51:06 +0000 2018
NPR,"The Ranch Fire, one of the two California wildfires that make up the Mendocino Complex, has burned through 341,047 acres — or 533 square miles — and is at 76 percent containment. https://t.co/eNYKKj94Kl",,Mon Aug 20 12:15:00 +0000 2018
csharpsteen1,"RT @CCLsaltlake: How bad is California’s current fire season? The Mendocino Complex Fire is the largest wildfire in the state’s history, wi…","How bad is California’s current fire season? The Mendocino Complex Fire is the largest wildfire in the state’s history, with nearly 500 square miles burned. The Holy Fire has forced 20,000 people to leave their homes, etc, etc, etc... #climate @yayitsrob https://t.co/cJRmksMy4E",Sun Aug 19 21:21:44 +0000 2018
Patriette888,"That’s 811,672 acres burning in the #CAfire

1268.2375 square miles are on fire!🔥

Heartfelt wishes for the safety and welfare of all the people and animals affected. Be safe. https://t.co/iOctoZpiuk",,Sun Aug 19 16:21:44 +0000 2018
RobMayeda,"1 million acres have burned so far in California this year per @R5_Fire_News For reference, that’s 1,562.5 square miles #CAwx https://t.co/Y4hAyUI1iu",,Sun Aug 19 13:51:29 +0000 2018
SuiteFlowers,"The Carr fire continues...

as of today, it is 350 square miles https://t.co/u3XlIIEXFJ",,Sun Aug 19 02:40:31 +0000 2018
RepPress,"RT @Leftpalm: Firefighter casualties mount from #CaliforniaWildfires https://t.co/kEMnLewd0S These fires have burned over 688,000 acres (1,…","Firefighter casualties mount from #CaliforniaWildfires https://t.co/kEMnLewd0S These fires have burned over 688,000 acres (1,075 square miles) and damaged or destroyed over 2,000 structures. In all, six firefighters have died on-duty this season",Sat Aug 18 13:00:22 +0000 2018
Leftpalm,"Firefighter casualties mount from #CaliforniaWildfires https://t.co/kEMnLewd0S These fires have burned over 688,000 acres (1,075 square miles) and damaged or destroyed over 2,000 structures. In all, six firefighters have died on-duty this season",,Sat Aug 18 12:34:45 +0000 2018
abciofani,"honestly local news is wild 

they're like ""devastating fire hitting thousands of square miles, the footage is heartbreaking, more on that at 11pm.... but NOW- Jerry from Jerry's Juice has some tips on the best summer punch for YOUR barbecue!!""",,Fri Aug 17 23:38:34 +0000 2018
ChangingChanne1,"@IamMishaHead @jarpad @JensenAckles @mishacollins @tomellis17 @LaurenGerman @LesleyAnnBrandt Thanks. The fires are nowhere near us. Just HUGE. The fire in question is burning 305 square miles (79,000 hectares) — the size of #NewYorkCity.",,Fri Aug 17 19:41:00 +0000 2018
RAEShipman,"@TheKylePinkard @faddious @Alyssa_Milano Would you think a river an acceptable barrier?  Well the Carr fire jumped the Sacramento river.
Cutting down all the trees around 45 square miles isn't feasible.  They are using bulldozers, but area is just too big.

13 fires still active per SF Chronicle

https://t.co/UQXewAJfXf",,Thu Aug 16 17:18:28 +0000 2018
TheKeltz,"@satinephoenix If you’re looking for more of a seclusion type of experience, Idyllwild is beautiful. They did just recently have a terrible fire, but I don’t think it’s all gone. About 60-70 miles south of you guys in L.A. It’s an Art Community and the coffee spot in town square has a dnd night",,Thu Aug 16 05:08:00 +0000 2018
_plaidcat_,"RT @susie_c: After every devastating fire, Montecito, CA rebuilds a little differently. But the debris flows that took out 30 square miles…","After every devastating fire, Montecito, CA rebuilds a little differently. But the debris flows that took out 30 square miles of the town in January present the biggest social, political &amp; engineering challenges yet.

The episode I reported for @99piorg: https://t.co/WZrY3IRynQ",Wed Aug 15 20:01:31 +0000 2018
Belfastyin,"RT @KSLcom: The #CoalHollowFire in Utah County has now burned 25,744 acres, or about 40.2 square miles. https://t.co/zsLkNLaLru https://t.c…","The #CoalHollowFire in Utah County has now burned 25,744 acres, or about 40.2 square miles. https://t.co/zsLkNLaLru https://t.co/Pj4tnzxZSz",Wed Aug 15 18:27:29 +0000 2018
KSLcom,"The #CoalHollowFire in Utah County has now burned 25,744 acres, or about 40.2 square miles. https://t.co/zsLkNLaLru https://t.co/Pj4tnzxZSz",,Wed Aug 15 17:55:25 +0000 2018
nuttycom,"@_slinehan @Chris_Herd A more realistic scale: 

You level a square mile of forest for an open pit mine from which to produce steel and make space for refineries. You level several more miles to obtain coal to fire your foundries. All those trees and the ground they stood on is permanently unusable.",,Wed Aug 15 16:45:38 +0000 2018
CCLsaltlake,"How bad is California’s current fire season? The Mendocino Complex Fire is the largest wildfire in the state’s history, with nearly 500 square miles burned. The Holy Fire has forced 20,000 people to leave their homes, etc, etc, etc... #climate @yayitsrob https://t.co/cJRmksMy4E",,Wed Aug 15 16:07:03 +0000 2018
