yes_that_girl_,@reni_rhe9 Kiun k rat mein sari sadness ubhar aati hai 😂😊,,Sat Aug 04 11:39:02 +0000 2018
B3RRYMIN,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:35:25 +0000 2018
_celestialbts,"RT @btsndology: ""we will overcome whatever we face. we may feel sad but it won't be sadness, we may feel afraid but it won't be fear. that'…","""we will overcome whatever we face. we may feel sad but it won't be sadness, we may feel afraid but it won't be fear. that's bts"" kim namjoon, 121017",Sat Aug 04 11:35:25 +0000 2018
ParisW2010,"RT @FaustiniMary: SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his…","SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his sadness into happiness, w/dancing eyes, huh? Can u give him a 🏡 w/ lots of ❤, &amp; TLC? But no meat products; allergic. #foster #adopt https://t.co/uuEIgjrDOm https://t.co/dDC7uXM9JX",Sat Aug 04 11:35:24 +0000 2018
MacHinagpis,Sadness overload,,Sat Aug 04 11:35:12 +0000 2018
sofiffy,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 11:35:11 +0000 2018
adelynawatson,"RT @mitranyukio: 💄ˎˊ˗ ━━ : （#memitsui.） 

i don't want to say goodbye. someone tell me why. i just want to see the stars with you. you lost…","💄ˎˊ˗ ━━ : （#memitsui.） 

i don't want to say goodbye. someone tell me why. i just want to see the stars with you. you lost, a part of your existence in the war, against yourself. oh, the lights, they light up in lights of sadness. telling you, it's time to go. https://t.co/7s8a0wC1zz",Sat Aug 04 11:35:04 +0000 2018
naqishh,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 11:35:00 +0000 2018
PingMahadevan,This momwnt of my life is sadness #ENGvIND,,Sat Aug 04 11:35:00 +0000 2018
MarieyamDee,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 11:34:48 +0000 2018
sadness_grass01,@mamepanda_v 前髪無し子に一度なってしまうと戻れぬぞ…( ˘ω˘ )つらぁ(笑),,Sat Aug 04 11:34:48 +0000 2018
jaebeeeyb,"RT @talahugutan: Ups and downs
Smiles and frowns 
Life is a rolling wheel
Its up to you,
what to feel
Because sadness never last
When you l…","Ups and downs
Smiles and frowns 
Life is a rolling wheel
Its up to you,
what to feel
Because sadness never last
When you learn 
to accept the past.

—Deejay",Sat Aug 04 11:34:47 +0000 2018
reooooobi,"you save other people from sadness, but who would save you?",,Sat Aug 04 11:34:43 +0000 2018
annapatricia108,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:34:42 +0000 2018
Riyazrr1,"RT @islamicfreedom: Ya Rabb, make the #Quran the spring of my heart, the light of my chest, the banisher of my sadness and the reliever of…","Ya Rabb, make the #Quran the spring of my heart, the light of my chest, the banisher of my sadness and the reliever of my distress, Ameen.",Sat Aug 04 11:34:42 +0000 2018
iamchilldotorg,"RT @lainepngs: like,, for a few peeps wondering, lines under a character’s eyes are used by animators to indicate frustration, tiredness, a…","like,, for a few peeps wondering, lines under a character’s eyes are used by animators to indicate frustration, tiredness, and most commonly sadness so yeah,,, idk i think i just needed to point this out lmao https://t.co/9sLQXPM6e2",Sat Aug 04 11:34:42 +0000 2018
ItsTahirHere,"RT @RukkShaaa: She hid her sadness behind the blanket
And the world says, she sleeps alot.. 💔🔥","She hid her sadness behind the blanket
And the world says, she sleeps alot.. 💔🔥",Sat Aug 04 11:34:42 +0000 2018
PtBearMartins,"FEAST OF ST. JOHN VIANNEY (AUG. 4TH)

“For a Christian, joy is a treasure. Only by offending God do we lose it, because sin is the fruit of selfishness, and selfishness is the root of sadness. Even then, a bit of... https://t.co/K2Yuz8i01A",,Sat Aug 04 11:34:39 +0000 2018
Adeola_mimi,RT @FolllowSunnah: Allahﷻ is the reason why even in sadness I smile even in confusion I understand even in betrayal I trust even in pain I…,"Allahﷻ is the reason why even in sadness I smile even in confusion I understand even in betrayal I trust even in pain I love...
Dear Allahﷻ, thank you for this beautiful life, and forgive me for everything that I have done wrong.",Sat Aug 04 11:34:33 +0000 2018
Kamilly19956,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 11:34:30 +0000 2018
Khausar01,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 11:34:28 +0000 2018
princes79880507,Sadness overload 😔💔,,Sat Aug 04 11:34:25 +0000 2018
Barbie21175878,"RT @Mye_Pixie: “Smile, even if it’s a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile.” #ALDUBHanggan…","“Smile, even if it’s a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile.” #ALDUBHanggangSaHuli 

https://t.co/p0N9BW2g5u",Sat Aug 04 11:34:24 +0000 2018
Yongcak3,"RT @MalditangMayora: No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.","No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.",Sat Aug 04 11:34:18 +0000 2018
SenoritaPeces,My life is a constant battle between being sad about not having money and buying myself things to recover from my sadness.,,Sat Aug 04 11:34:14 +0000 2018
hayleygaegae,"RT @talahugutan: Ups and downs
Smiles and frowns 
Life is a rolling wheel
Its up to you,
what to feel
Because sadness never last
When you l…","Ups and downs
Smiles and frowns 
Life is a rolling wheel
Its up to you,
what to feel
Because sadness never last
When you learn 
to accept the past.

—Deejay",Sat Aug 04 11:34:12 +0000 2018
Entropic_fag,"@luuigggi Summertime sadness 
I just wanted you to know
That baby u r the best",,Sat Aug 04 11:34:11 +0000 2018
totallytimid,high on sadness,,Sat Aug 04 11:34:07 +0000 2018
PeterPanBird11,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:34:06 +0000 2018
CT_referencelib,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:33:53 +0000 2018
rommelieviray,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 11:33:45 +0000 2018
_your_sadness__,"Народ я себе такую подружаньку нашла,  просто аааа❤",,Sat Aug 04 11:33:44 +0000 2018
MirellaWithAnM,"RT @nannetted258: Today is gonna be rough, and i have no words, except to try to stay positive, and dont be afraid to take breaks from here…","Today is gonna be rough, and i have no words, except to try to stay positive, and dont be afraid to take breaks from here, i know i will, i cant handle all of this sadness. #SaveShadowhunters",Sat Aug 04 11:33:32 +0000 2018
serenegguk,[dfunk gay sadness],,Sat Aug 04 11:33:25 +0000 2018
GeorgePenistone,"@clashboy23 Collection of the 5 singles from Mellon Collie and the Infinite Sadness. Proper good find, that. I’m a jealous man. X",,Sat Aug 04 11:33:24 +0000 2018
AbdullahYass425,RT @O_loun: I never felt that there’s someone care abt my sadness,I never felt that there’s someone care abt my sadness,Sat Aug 04 11:33:20 +0000 2018
jonalynyehh,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:33:08 +0000 2018
CapoDi_TutiCapi,"@Benedicta_E It's a bit too contrived. Only one woman is: Dumb, in love, sad, angry, Bipolar, unlucky, resentful, broke, rich, stressed...... Classic Tyler Perry. 

Too much sadness",,Sat Aug 04 11:33:02 +0000 2018
annielicious14,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:33:01 +0000 2018
Erinnn_Loyd,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 11:32:58 +0000 2018
nieza_khalik,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 11:32:53 +0000 2018
thisispsrk,RT @Fact: Dogs can see sadness in humans and often attempt to make their owners happy by initiating cuddling.,Dogs can see sadness in humans and often attempt to make their owners happy by initiating cuddling.,Sat Aug 04 11:32:50 +0000 2018
AlbaRotten,Summertime sadness https://t.co/FAsweRWFkd,,Sat Aug 04 11:32:46 +0000 2018
blessedpeter007,"Nothing Gives U Sadness Dan Realizing At D Later Stages Of Ur LifeThat U Lived Ur Life Based On Other People's Timelines....Be U ,Be Free",,Sat Aug 04 11:32:40 +0000 2018
serenegguk,Gay sadness,,Sat Aug 04 11:32:33 +0000 2018
jnthedog,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 11:32:31 +0000 2018
Ivantsangamidz1,"RT @advocatemahere: In the Harare CBD, people have generally gone home or didn’t come to work. For some it was because of security reasons.…","In the Harare CBD, people have generally gone home or didn’t come to work. For some it was because of security reasons. For some it was sadness.

For most it was both. 🇿🇼",Sat Aug 04 11:32:27 +0000 2018
trestified,"RT @pillowxthoughts: may your weapon be kindness 
your shield compassion
may the flowers grow again
to sprout love from all this sadness","may your weapon be kindness 
your shield compassion
may the flowers grow again
to sprout love from all this sadness",Sat Aug 04 11:32:25 +0000 2018
AndreaO35880645,"RT @TheAtlantic: The enduring power of Amy Winehouse's 'Back to Black,' by Spencer Kornhaber https://t.co/wKUcmqf2Y4 https://t.co/h64iHg3itW","The enduring power of Amy Winehouse's 'Back to Black,' by Spencer Kornhaber https://t.co/wKUcmqf2Y4 https://t.co/h64iHg3itW",Sat Aug 04 11:32:17 +0000 2018
cisulli,"Love isn’t the base of happines, but without love is the base of sadness",,Sat Aug 04 11:32:13 +0000 2018
ielahtamanas,"RT @MalditangMayora: No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.","No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.",Sat Aug 04 11:32:10 +0000 2018
Charleyfo,"RT @EdmundKudzayi: Are there wild celebrations across the country? Sadly not. Just fear, sadness and the quiet sound of hope failing in the…","Are there wild celebrations across the country? Sadly not. Just fear, sadness and the quiet sound of hope failing in the hearts of millions. Plus of course marauding soldiers in intimidating tanks. Well done Dambudzo, you truly are a problem. https://t.co/60QC4UrceQ",Sat Aug 04 11:32:09 +0000 2018
toyo_c,"“If you try and ignore your sadness, it just ends up leaking out of you anyway”.",,Sat Aug 04 11:32:07 +0000 2018
taestiche,RT @watameowte: I can sense the sadness while watching the performance #WELOVEYOUJENNIE https://t.co/cxVYyPPpz5,I can sense the sadness while watching the performance #WELOVEYOUJENNIE https://t.co/cxVYyPPpz5,Sat Aug 04 11:31:52 +0000 2018
JiminxAi,RT @LUNARYOONIE: his smile can erase all the sadness and pain in your life in just one snap https://t.co/zzfLUrx1V6,his smile can erase all the sadness and pain in your life in just one snap https://t.co/zzfLUrx1V6,Sat Aug 04 11:31:50 +0000 2018
annefilipinaaas,RT @tagaykamunapre: I hate this feeling. This feeling of loneliness and the sadness creeping on me. Well maybe her smile would make me feel…,I hate this feeling. This feeling of loneliness and the sadness creeping on me. Well maybe her smile would make me feel better. But how?,Sat Aug 04 11:31:44 +0000 2018
AlyaNazrii,Should i drive thru strawberry pie mcd to remove this sadness?,,Sat Aug 04 11:31:44 +0000 2018
_ItsNotJake,"August 4

I forget what happened before,
All the tears and sadness I had gone through,
I forced myself to change and breakthrough,
And now I'm someone who is starting anew,
New chapters in life to write into.

Dear August 4,
I had bury all those things into the core.",,Sat Aug 04 11:31:40 +0000 2018
SiwXBSXvuFyX4Zo,@seven_sadness 幸せだよそれ,,Sat Aug 04 11:31:38 +0000 2018
mylovefarhan,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 11:31:35 +0000 2018
ClassKlingon,"@StaticWarpBubbl Personally I prefer the scenes in Star Trek that shock, surprise or move me to tears of joy or sadness rather than the bits where some petaQ director tries to turn Trek into a f***ing ""cool"" music video.",,Sat Aug 04 11:31:31 +0000 2018
dkwtstan,RT @starryjens: listening to jennie's suggested songs because im going through the jennie drought and sadness,listening to jennie's suggested songs because im going through the jennie drought and sadness,Sat Aug 04 11:31:30 +0000 2018
MissFlatulencia,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 11:31:24 +0000 2018
RGahawy,"RT @Samazohir0: No one notice your tears 
No one notice your sadness
No one notice your pains
But they all notice your mistakes.","No one notice your tears 
No one notice your sadness
No one notice your pains
But they all notice your mistakes.",Sat Aug 04 11:31:24 +0000 2018
bravegyuna,is my sadness based off the fact that my friends cancelled on me and i base my happiness over stupid events that i plan for a long time yes https://t.co/uPvRPSEqkm,,Sat Aug 04 11:31:23 +0000 2018
Lyndershon,"Behind every smile, there is a bitter sadness",,Sat Aug 04 11:31:22 +0000 2018
KlongFilm,"RT @Jay3th: @wordstionary When yours happiness is others happiness, you're lucky, you have true human loves. When yours sadness is others s…","@wordstionary When yours happiness is others happiness, you're lucky, you have true human loves. When yours sadness is others sadness, you're lucky you have true human friends,
If you lucky you have true human loves and friends, you must be grateful with your luck because not everyone have it.",Sat Aug 04 11:31:06 +0000 2018
GhostnTheSystm,"RT @redbicycle1: I could never be
A good zen monk
Stonehouse 
I never want to
Get beyond
Love loss
Sadness
Longing
Or desire","I could never be
A good zen monk
Stonehouse 
I never want to
Get beyond
Love loss
Sadness
Longing
Or desire",Sat Aug 04 11:31:04 +0000 2018
Temitayoo_,"RT @SisiBisi_: Heard something in Lee Daniels’ Star that touched me so much: It is a choice to be broken.

If you choose to wallow in sadne…","Heard something in Lee Daniels’ Star that touched me so much: It is a choice to be broken.

If you choose to wallow in sadness and not move on in situations you find yourself in it’s a choice. 🤔",Sat Aug 04 11:30:48 +0000 2018
tynjeee,"RT @MalditangMayora: No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.","No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.",Sat Aug 04 11:30:46 +0000 2018
SottoFrances_,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 11:30:41 +0000 2018
urfavsalma_,"RT @Shadybadr741: I need 20,000 to replace my sadness 😩😩","I need 20,000 to replace my sadness 😩😩",Sat Aug 04 11:30:35 +0000 2018
cielo_prudon,"RT @MalditangMayora: No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.","No one notice your tears, No one notice your sadness, No one notice your pains, But they all notice your mistakes.",Sat Aug 04 11:30:28 +0000 2018
