Tim70774497,I'm raising money for Carr fire . Click to Donate:  https://t.co/n0Z0jl0I9a via @gofundme,,Sat Aug 04 07:33:36 +0000 2018
Dani02079549,I'm raising money for HELP ME NOT GET A SUGAR DADDY. Click to Donate:  https://t.co/LjYGGD45ks via @gofundme,,Sat Aug 04 07:27:18 +0000 2018
Jorizaarica,RT @irisvicencio: We really should stop obsessing over what rich people use their money for and start looking into what they don’t. Do they…,"We really should stop obsessing over what rich people use their money for and start looking into what they don’t. Do they pay their workers enough? Taxes? Donate? Do they use alternative products that help save the world?
I don’t care if they have Gucci purses and diamond rings.",Sat Aug 04 07:26:59 +0000 2018
lurkland,RT @JoelleMonique: I'm raising money to Help a Black Queer Critic (me) get to TIFF. I was invited by @TIFF_NET &amp; I'm excited to report on t…,"I'm raising money to Help a Black Queer Critic (me) get to TIFF. I was invited by @TIFF_NET &amp; I'm excited to report on their incredible slate of diverse voices. 

Click the linke to donate or hit share to help spread the word. Thanks so much! https://t.co/mcLimzMcMk via @gofundme",Sat Aug 04 07:26:47 +0000 2018
Space_Cvnt,"On September 15th my mum is shaving her hair to donate to the Little Princess Trust, and all money raised will go towards helping to fund a prosthetic for Jeanie-May. Any and all donations are appreciated and you can read the full story below☺ https://t.co/t8Cx6KiL3o",,Sat Aug 04 07:23:52 +0000 2018
_wee_men,RT @PositiveVictim: I am raising money for Cheers Honest Wargamer. Click to Donate:  https://t.co/uVCETQwPnL via @gofundme,I am raising money for Cheers Honest Wargamer. Click to Donate:  https://t.co/uVCETQwPnL via @gofundme,Sat Aug 04 07:23:45 +0000 2018
Abhra1ne,"Hello Sir,
I am a huge fan of yours. But Today we need some help of yours. Please donate some money to help despondent Artists &amp; Poor child. You can visit https://t.co/z7ZxwSeOyE for more details. Thank you in advance @iTIGERSHROFF https://t.co/ut5CIiKt3D",,Sat Aug 04 07:23:36 +0000 2018
DonaldPavlik,@KarlTowns @KarlTowns where is “Superman” @MMFlint when you need him? Crickets......why don’t you donate your money to help fix the issue and #MakeFlintGreatAgain,,Sat Aug 04 07:22:30 +0000 2018
Jbird10205,"RT @DonationExperts: Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #donationexperts

@OSRNorthEa…","Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #donationexperts

@OSRNorthEast

Please #support #Help Us #Save Lives At #Sea #donate here #today: 

⬇️
https://t.co/CGg8yXT5vH",Sat Aug 04 07:21:55 +0000 2018
bigking15music,I'm raising money for Help me Please. Click to Donate:  https://t.co/g0rOYb4KXI via @gofundme #money #hardtimes #helpme,,Sat Aug 04 07:21:53 +0000 2018
Jbird10205,"RT @crowdfundcash: Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #crowdfundcash

@OSRNorthEast…","Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #crowdfundcash

@OSRNorthEast

Please #support #Help Us #Save Lives At #Sea #donate here #today: 

⬇️
https://t.co/OjZZDhD4Wu",Sat Aug 04 07:21:45 +0000 2018
DonationExperts,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #donationexperts

@OSRNorthEast

Please #support #Help Us #Save Lives At #Sea #donate here #today: 

⬇️
https://t.co/CGg8yXT5vH",,Sat Aug 04 07:20:02 +0000 2018
crowdfundcash,"Please #retweet 👍

Please #share 😄

#thankyou 🙏

#love #share #life #money #crowdfunding #crowdfundcash

@OSRNorthEast

Please #support #Help Us #Save Lives At #Sea #donate here #today: 

⬇️
https://t.co/OjZZDhD4Wu",,Sat Aug 04 07:20:02 +0000 2018
FrancesColt,"@MattsHotTake @MsNikkiFlores @realDonaldTrump You can literally Google Trump's  golf cost for 2018 .......the cost increase if you add 2017 as well..........millions of dollars........if he is a real billionaire  he can afford to donate more than $100,000 of his own money.",,Sat Aug 04 07:19:21 +0000 2018
kyuhyunsvt,"RT @_HollySam_: Siwon can easily just donate money and stay comfortably in Korea but no, he actually donates his time. That is more valuable","Siwon can easily just donate money and stay comfortably in Korea but no, he actually donates his time. That is more valuable",Sat Aug 04 07:18:46 +0000 2018
Olsonjam808,"@USDreamer2 @SenWarren @realDonaldTrump You believe Trump is giving up that money? Where did he donate it? Are there public records? He has never fulfilled his promise to release his taxes, so how do we know? And in the past, he's used his supposedly charitable foundation to pay his own bills. Is he doing it again?",,Sat Aug 04 07:18:10 +0000 2018
Blancuh_,Does anyone want to donate money so I could go to Mexico like ASAP.,,Sat Aug 04 07:17:28 +0000 2018
springbinie,RT @blissejun: i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more tha…,"i know it may be pointless to some of you and i know that on gofundme there are people who really need to get money more than i do but...victon are my ults and i reallyyyyyy want to see them so i’d appreciate it if someone would donate....
https://t.co/BVzgU3FxHf",Sat Aug 04 07:16:55 +0000 2018
mattryan0,RT @matt_morris21: I’m raising money for cancer research by competing in a UWCB boxing event on the 1st of September. You can donate to my…,"I’m raising money for cancer research by competing in a UWCB boxing event on the 1st of September. You can donate to my just giving page using the link below, any donations would be massively appreciated. https://t.co/fQT48AsH9c",Sat Aug 04 07:16:10 +0000 2018
thingsnherhead,"RT @hiswraith: Hi fellow PH Readers! Para po sana sa small library na gagawin for Val. City, I’ll be charging P50-70 per book + shipping :)…","Hi fellow PH Readers! Para po sana sa small library na gagawin for Val. City, I’ll be charging P50-70 per book + shipping :) No limit sa books po for me!

If anyone wants to help, kindly DM me for details how to donate a book/money for these kids! Thank you 🌈#BookishwishPH https://t.co/EpiSPNr8eZ",Sat Aug 04 07:16:07 +0000 2018
scarlett_0hara,"RT @2tweetaboutit: #ForBritain leader @AMDWaters ""We can't keep throwing money at the NHS and expect it to change. I've  worked in it for y…","#ForBritain leader @AMDWaters ""We can't keep throwing money at the NHS and expect it to change. I've  worked in it for years, the problem... nobody is accountable.""

🔴Join/Donate For Britain https://t.co/m0wHzWGIA0

▶️ForBritain Economic Policy  https://t.co/pwOChvlrAp https://t.co/Pn2Lbpmtyh",Sat Aug 04 07:15:24 +0000 2018
Brandsmarketer,To PRECEDENT. To Soveriegnty.  Please Note* If you live in a district where a Trump supporter will easily win election this Fall. Any money you have to donate should go to the most extreme-left-social-fascistic national candidates.,,Sat Aug 04 07:14:39 +0000 2018
johnstruan_john,RT @Yes2Kirkcaldy: I am raising money for New Independence Hub For Kirkcaldy. Click to Donate:  https://t.co/KbYhVFf3jF via @gofundme,I am raising money for New Independence Hub For Kirkcaldy. Click to Donate:  https://t.co/KbYhVFf3jF via @gofundme,Sat Aug 04 07:14:34 +0000 2018
hyp3rstrike,"⚠️ STREAM SCHEDULE AUG 6TH TO 12TH ⚠️
Ladies and mentlegen! I'll be streaming every day this coming week to raise money for the @HuttStCentre! LET'S END HOMELESSNESS.

EVENT LIST: https://t.co/VSurufmNuf
DONATE HERE: https://t.co/QG02j2WV9o
#charity #twitchanz #adelaide https://t.co/rKNIa99AHI",,Sat Aug 04 07:14:19 +0000 2018
leistonfc,"RT @Dougal1712: Day 4, ride 2 of my August 💯 mile (160 km) cycle challenge raising money for the @leistonfc   Summer Community Challenge an…","Day 4, ride 2 of my August 💯 mile (160 km) cycle challenge raising money for the @leistonfc   Summer Community Challenge and 36 km completed. Please see my Facebook page to donate. Thank you. #weareaclub",Sat Aug 04 07:14:13 +0000 2018
ajayc015,"RT @XiaomiIndia: #RaiseTheCup to do good beyond the game
1. Send your pic of you raising a cup to @xiaomi
2. Add #RaiseTheCup and #Xiaomi
3…","#RaiseTheCup to do good beyond the game
1. Send your pic of you raising a cup to @xiaomi
2. Add #RaiseTheCup and #Xiaomi
3. Tag 3 friends
4. Share on Twitter or Instagram
5. We donate money to @BeyondSport
For details go here - https://t.co/dRqhBHL9bh https://t.co/Fmx7MvQ3Gv",Sat Aug 04 07:13:59 +0000 2018
MriamChamnSanz,"RT @PrincesssBob: This is Tootsie, she is in the hospital, her human is @Deacon6353 on twitter, she lives alone, has a full time job and do…","This is Tootsie, she is in the hospital, her human is @Deacon6353 on twitter, she lives alone, has a full time job and donates her time and any extra money she has to help save families like me. You can donate to either https://t.co/NOCAO1M6lc or gofun… https://t.co/woDyDlz3R4 https://t.co/NrIut4IQEg",Sat Aug 04 07:13:32 +0000 2018
SpookyLib,"RT @djed_press: *SHARE WIDELY* We're researching how many POC get published in Australia every year, along with @PerilMag @mascarareview @T…","*SHARE WIDELY* We're researching how many POC get published in Australia every year, along with @PerilMag @mascarareview @Tr3s8 @JasmeetSahi @mwikramanayake and others. 
We need your help/money to get it done, so please donate if you're able!!
https://t.co/YIkA0Zs7oZ",Sat Aug 04 07:12:43 +0000 2018
wuzztwo,I'm raising money for Help get food for the strays. Click to Donate:  https://t.co/p7tsZgp0vp via @gofundme,,Sat Aug 04 07:12:26 +0000 2018
Aryansoni09,"RT @ruchisi62934179: #EarnToLiveSaysDrMSG 
Yes! We should earn to live only with honesty,work hard &amp; also donate sm part of money fr poor p…","#EarnToLiveSaysDrMSG 
Yes! We should earn to live only with honesty,work hard &amp; also donate sm part of money fr poor people to get blessing!",Sat Aug 04 07:11:06 +0000 2018
TNeruph,"@ninadobrev Oh yeah, I'm sure people who have relatives who have been unemployed for over 20 years are gonna not help them out, and go donate money for dogs that are nothing but pitbull potential rabies makers.",,Sat Aug 04 07:08:46 +0000 2018
1dsmukexo,"RT @shawolseurope: !!IMPORTANT!!!: Not all countries support Money Pools via PayPal. If you'd like to donate, but the link can't be used, p…","!!IMPORTANT!!!: Not all countries support Money Pools via PayPal. If you'd like to donate, but the link can't be used, please donate directly to this link: https://t.co/HGTUMAVIZL",Sat Aug 04 07:08:28 +0000 2018
MarisaElana,"RT @MarisaKabas: Friends: Tomorrow is my birthday. Help me celebrate by raising money for the @NewSanctuaryNYC Life Bond Fund, which posts…","Friends: Tomorrow is my birthday. Help me celebrate by raising money for the @NewSanctuaryNYC Life Bond Fund, which posts bail to free immigrants who cannot afford it so that they may prepare to fight their case.

Donate here, if you're able: https://t.co/zREYbu7ltX

Much love &lt;3",Sat Aug 04 07:08:10 +0000 2018
aiiyaak,"RT @shawolseurope: [RETWEET PLEASE] FUNDS FOR TAEMIN MUSIC BANK BERLIN PROJECTS!
A project to raise money for banner projects + more for Ta…","[RETWEET PLEASE] FUNDS FOR TAEMIN MUSIC BANK BERLIN PROJECTS!
A project to raise money for banner projects + more for Taemin on 15th September 2018 in Berlin!

DONATE HERE ➡️https://t.co/1I56q6Ys15⬅️
READ THREAD⬇️⬇️ https://t.co/gpJayGKyER",Sat Aug 04 07:07:05 +0000 2018
CherryBomB0709,"@Garciadynasty Well that negates your first tweet.  he as president is donating all money from the presidential salary following in footsteps like jfk. yeah he can, but if you look at his charitable donations he does donate a good amount.",,Sat Aug 04 07:06:44 +0000 2018
TNTMC4EVER,"I'm raising money for Good guy, never thought I'd be here. Click to Donate:  https://t.co/Rorv0q6aj2 via @gofundme
or https://t.co/LmKQcUlJlr",,Sat Aug 04 07:06:34 +0000 2018
Dougal1712,"Day 4, ride 2 of my August 💯 mile (160 km) cycle challenge raising money for the @leistonfc   Summer Community Challenge and 36 km completed. Please see my Facebook page to donate. Thank you. #weareaclub",,Sat Aug 04 07:05:58 +0000 2018
hodgepub,"RT @SteveChalke: Summer Hunger! 

@WaterlooFB is almost out of food. Please help!

We need Tinned Meat, Tinned Fruit, Cereals, Fruit Juice.…","Summer Hunger! 

@WaterlooFB is almost out of food. Please help!

We need Tinned Meat, Tinned Fruit, Cereals, Fruit Juice. Biscuits, Coffee and Money.

PLEASE donate food at the Oasis Centre, SE1 7QP Mon-Fri, 8am-6pm 

Or give via https://t.co/UrZcq8SRer

Thank you.",Sat Aug 04 07:05:54 +0000 2018
luvincupids,RT @dmlaurette: This is gonna cost money. Please help if you can. Anything is appreciated. #surgery #donate #signalbooat #spoonje #disabili…,This is gonna cost money. Please help if you can. Anything is appreciated. #surgery #donate #signalbooat #spoonje #disability #medicalbills https://t.co/evPaMlqFcc https://t.co/0j55Dc7CLm,Sat Aug 04 07:04:44 +0000 2018
12drive_website,"RT @HonestTruthUk: Our fundraising page is up and running! If you’d like to raise money to help us reduce road deaths, contact us today. We…","Our fundraising page is up and running! If you’d like to raise money to help us reduce road deaths, contact us today. We’d love to have you.  https://t.co/pt7qU4BytM",Sat Aug 04 07:04:09 +0000 2018
NickDowningSCD,RT @collinskieron81: Lets put the use of twitter to the test and spread this far and wide! Our unit of @KentVPC are fundraising to change l…,"Lets put the use of twitter to the test and spread this far and wide! Our unit of @KentVPC are fundraising to change lives.

Maidstone VPC is completing a 5K run in order to raise money for the Young Lives Foundation. Please Click to Donate:  https://t.co/l2ozKuOKrG via @gofundme",Sat Aug 04 07:00:06 +0000 2018
TellMeWhyTy,I'm raising money for Tell Me Why Ty Sex Ed Vlog. Click to Donate:  https://t.co/B1Z64Vcmee via @gofundme,,Sat Aug 04 06:59:26 +0000 2018
Espinakka,"The #PsyOp Aras Bacho, a Fake Syrian fugee writing articles since 2 years in perfect German:

“Every Austrian has to shelter a fugee and donate money. Same for Germans“

#OrganizedCrime

https://t.co/TRODrQyUXI",,Sat Aug 04 06:59:06 +0000 2018
uniononly,"RT @TheAlextrifier: I agree with @funder &amp; @TheDemCoalition that Jim Jordan should resign. Obviously Jim won’t do it because like trump, he…","I agree with @funder &amp; @TheDemCoalition that Jim Jordan should resign. Obviously Jim won’t do it because like trump, he’s power hungry. But maybe if y’all raise enough money you can help the campaign of @Janet4OH to FORCE him out of his seat. #FlipOHBlue https://t.co/NwayUKQnob",Sat Aug 04 06:58:56 +0000 2018
MsDarcyFarrow,RT @sighnatasha: His family is raising money to honor his birthday. Please donate what you can💓 https://t.co/DK8pmB2Tny,His family is raising money to honor his birthday. Please donate what you can💓 https://t.co/DK8pmB2Tny,Sat Aug 04 06:58:37 +0000 2018
Beastly477,I'm raising money for My Family in Florida could use help. Click to Donate:  https://t.co/3YTIDEZSdb via @gofundme,,Sat Aug 04 06:58:36 +0000 2018
DoTheDaringDew,"@SuperPonyBolt @B_FireKing Money is a bit tight on my end right now, so I can’t donate quiiiiiiite yet. I absolutely will, though. In the meantime, I can retweet the crap out of this. We love you,@Makenshi179 ! Hope I get to shake your hand at BC, mate ^^",,Sat Aug 04 06:56:49 +0000 2018
BethCas63738975,"RT @azcapmedia: Nice catch. I guess it's OK when Californians spend money to donate to some people, but not when they finance ballot measur…","Nice catch. I guess it's OK when Californians spend money to donate to some people, but not when they finance ballot measures here..... https://t.co/z4e9GVRd9O",Sat Aug 04 06:56:19 +0000 2018
shunshineu,RT @standonghyuk: naver doesn't look good on us because international fans can't do much... the most we can do is either donate money to th…,"naver doesn't look good on us because international fans can't do much... the most we can do is either donate money to the kfans who are streaming, or ask kfans to buy a pass for us ;;",Sat Aug 04 06:54:57 +0000 2018
ChasityHatchett,RT @devonwebb15: Hey so I’m trying to raise enough money to surprise my parents and help them pay off my medical bill from the accident so…,Hey so I’m trying to raise enough money to surprise my parents and help them pay off my medical bill from the accident so if you could please share or donate I’d greatly appreciate it and so will they! Thank you!! Click to Donate:  https://t.co/hxUEoZcMhc via @gofundme,Sat Aug 04 06:54:21 +0000 2018
False_Freedom_,"Yoo, so my uncle is gonna cycle across the UK for charity Andi's raising money for @stgileshospice
He's so close to his goal so if you can please help a brother out and donate today!
Cheers ❤️

https://t.co/zIgywXNY5l",,Sat Aug 04 06:52:34 +0000 2018
NaifJamali,"TO ALL PAKISTANI🇵🇰 NATION
ON THIS 14 AUG 2018 PLEASE DO NOT WASTE MONEY ON BUYING FLAGS AND OTHER STUFF
_______________
THIS TIME LETS DONATE THAT MONEY TO #DAM PROJECTS IN PAKISTAN AS MUCH AS YOU CAN
------------
PROVE YOUR SELF AS A RESPONSIBLE PAKISTANI🇵🇰
💓💓💓",,Sat Aug 04 06:51:31 +0000 2018
CamrenSpy,I'm raising money for Overseas Study. Click to Donate:  https://t.co/erPZBwo5cv via @gofundme,,Sat Aug 04 06:51:09 +0000 2018
HonjothebladeX,RT @PiggyNukka: I will do an Aquabat Cadet photoset and donate all the money made from it to @TheAquabats kickstarter if it will inspire mo…,I will do an Aquabat Cadet photoset and donate all the money made from it to @TheAquabats kickstarter if it will inspire more people to back it happening. https://t.co/C8OJAVG0tL,Sat Aug 04 06:50:09 +0000 2018
AChristieFest,"RT @NTRiviera: Greenway fête needs your help - do you have any vintage clothes, accessories or bric-a-brac you would be happy to donate? At…","Greenway fête needs your help - do you have any vintage clothes, accessories or bric-a-brac you would be happy to donate? At the fête on Saturday 15 September we will be holding a vintage fashion show and sale to raise money to care for Greenway #boosttorbay @BoostTorbay https://t.co/KEDkLMDf7Y",Sat Aug 04 06:49:52 +0000 2018
pape_sara,"RT @j1989lynch: I'm raising money for Lynch, Jones Family. Click to Donate:  https://t.co/N96aQwdDIP via @gofundme","I'm raising money for Lynch, Jones Family. Click to Donate:  https://t.co/N96aQwdDIP via @gofundme",Sat Aug 04 06:47:12 +0000 2018
SerenaC123,RT @ANDREYEVSKY: @GypsySix @nicolebyer Kerri’s raising money for a marathon team. Be sure to donate – to anyone else.,@GypsySix @nicolebyer Kerri’s raising money for a marathon team. Be sure to donate – to anyone else.,Sat Aug 04 06:47:00 +0000 2018
hiswraith,"Hi fellow PH Readers! Para po sana sa small library na gagawin for Val. City, I’ll be charging P50-70 per book + shipping :) No limit sa books po for me!

If anyone wants to help, kindly DM me for details how to donate a book/money for these kids! Thank you 🌈#BookishwishPH https://t.co/EpiSPNr8eZ",,Sat Aug 04 06:46:45 +0000 2018
Calderon3Robert,RT @_tetehernandez: I know money isn’t everything but I always feel so good whenever I donate to any shelters or children hospitals :( ❤️,I know money isn’t everything but I always feel so good whenever I donate to any shelters or children hospitals :( ❤️,Sat Aug 04 06:46:38 +0000 2018
malecstrash,RT @sapphicbane: https://t.co/IKYcFNh2Co my little angel has hurt his paw really badly and he’s limping and can barley put his foot down. W…,"https://t.co/IKYcFNh2Co my little angel has hurt his paw really badly and he’s limping and can barley put his foot down. We don’t have the money to take him to the vet please share if you can’t donate

[ #animals #cats #Gofundme #dogs #LGBTPROUD please help me ]",Sat Aug 04 06:44:35 +0000 2018
Tjconnor4,"RT @bikeboybute: Loch fad bluebird project polos and baseball caps for sale @lochfad and @thebikeshed

£5 from every sale goes back to the…","Loch fad bluebird project polos and baseball caps for sale @lochfad and @thebikeshed

£5 from every sale goes back to the project. Please help donate money to this great project run by volunteers. https://t.co/CXAipqTefP",Sat Aug 04 06:43:44 +0000 2018
TenshiAkari12,RT @sammysousaaa: Y’all are right. Life isn’t as easy as RT’s . Please read my story. I'm raising money for sammysousaaa’s school expenses.…,Y’all are right. Life isn’t as easy as RT’s . Please read my story. I'm raising money for sammysousaaa’s school expenses. Click to Donate:  https://t.co/7f5R7JlFDW via @gofundme,Sat Aug 04 06:41:38 +0000 2018
paramjit0033,"RT @_Insan_Gursewak: We need to donate some money for poor and needy people 
Saint's says donate the 10th Part of you money for disability…","We need to donate some money for poor and needy people 
Saint's says donate the 10th Part of you money for disability and poor people 
#EarnToLiveSaysDrMSG https://t.co/phDSbsbQVq",Sat Aug 04 06:41:01 +0000 2018
TogetherIntl,RT @familiesbelong: We are raising money to help a migrant family heal. Click to Donate:  https://t.co/eZaCeVU2fE via @gofundme #FamiliesBe…,We are raising money to help a migrant family heal. Click to Donate:  https://t.co/eZaCeVU2fE via @gofundme #FamiliesBelongTogether,Sat Aug 04 06:40:01 +0000 2018
CamrenSpy,I'm raising money for Help me build a restaurant. Click to Donate:  https://t.co/O9k1lvSWeJ via @gofundme,,Sat Aug 04 06:39:47 +0000 2018
ImNamedJames,"@KristenKeogh Did they give you any copies, KK? I happen to have ""obtained""🤫 a number of these mags. Maybe you could sign them, ask for a donation to get one, and donate the money to charity?🤔",,Sat Aug 04 06:39:02 +0000 2018
irisvicencio,"We really should stop obsessing over what rich people use their money for and start looking into what they don’t. Do they pay their workers enough? Taxes? Donate? Do they use alternative products that help save the world?
I don’t care if they have Gucci purses and diamond rings.",,Sat Aug 04 06:38:52 +0000 2018
HannaWho182,RT @saylormakenzi: I'm raising money for 6 month old Dalmatian hit by car. Click to Donate:  https://t.co/sA55KrxGRB via @gofundme,I'm raising money for 6 month old Dalmatian hit by car. Click to Donate:  https://t.co/sA55KrxGRB via @gofundme,Sat Aug 04 06:38:04 +0000 2018
NatyRainGH,"RT @Adobe_a: @NatyRainGH 🤣🤣they should have money 💰...to donate more than they can raise  ..give yourself time, you will get nominated soon!","@NatyRainGH 🤣🤣they should have money 💰...to donate more than they can raise  ..give yourself time, you will get nominated soon!",Sat Aug 04 06:37:03 +0000 2018
MyFirstCousin,"Think of the money that could be collected with a pedestrian tax, it would be enough to donate to Turnbull's benefactors many times over.",,Sat Aug 04 06:36:52 +0000 2018
Thedailymaraj,I'm raising money to use for a business I’ll hope to have in 2 years tops. Click to Donate:  https://t.co/p5A5bDb9t3 via @gofundme,,Sat Aug 04 06:36:27 +0000 2018
Jaazzeeh,"Fundraising money to support the Children's Healthcare of Atlanta. If You cannot donate a simple retweet will suffice, much appreciated 💛 #Fundraising #ChildrensHealthcare #Battlecancer https://t.co/X7IF7eKVwY",,Sat Aug 04 06:36:15 +0000 2018
bikeboybute,"Loch fad bluebird project polos and baseball caps for sale @lochfad and @thebikeshed

£5 from every sale goes back to the project. Please help donate money to this great project run by volunteers. https://t.co/CXAipqTefP",,Sat Aug 04 06:35:39 +0000 2018
LSilentN,"“Niggas want Lebron to be hero so bad” niggas u retarded fuck, what tf u think Lebron is to a lot these kids? How much money did YOU donate to kids? I’m sure not a Millions..always folks who dont do shit have da most negativity to say about others doing good always have an agenda",,Sat Aug 04 06:32:39 +0000 2018
TrishkeatingMcr,RT @heatherwaters15: I must know some rugby supporters who would like to own this shirt and donate money to 2 great charities @ProstateUK P…,I must know some rugby supporters who would like to own this shirt and donate money to 2 great charities @ProstateUK Pls share @Cherylgourlay @TrishkeatingMcr @funkysidey @mikepalinmmp https://t.co/5bYxdtTImi,Sat Aug 04 06:32:36 +0000 2018
imdiegolopez,yall got so much money and wont donate any to flint,,Sat Aug 04 06:32:22 +0000 2018
ayubyusuf17,@MuslimIQ .....distracted by cheeseburgers and romance movies what do you expect? When you have a public that has absolutely no sense of the problems facing their country what do you expect? When you have a public willing to donate money to get Kylie Jenner's net worth....,,Sat Aug 04 06:30:12 +0000 2018
MermaidNurse15,"However, I did also go through all my clothes when I got home and filled a garbage bag of stuff to donate. So yay for donating and boo for spending money I don’t have.",,Sat Aug 04 06:29:41 +0000 2018
lordvictor,@H4gb4rdCeline I used to donate relatively significant (5-digit) amounts of money to them every year back when I thought they cared about Civil Liberties and not just pushing progressive politics. I regret it.,,Sat Aug 04 06:29:24 +0000 2018
Juan_E108,I need to go wash cars and still donate money !?!?!,,Sat Aug 04 06:28:16 +0000 2018
CrimsonGash,@fox5dc I'd donate money to a gofundme for a *special* white supremacists train. https://t.co/463xP5EXJ0,,Sat Aug 04 06:28:15 +0000 2018
vanarendrudi,"@liddo_rhedd No txs, maybe you can share my campaign after you read it :
I'm raising money for Keep me alive. Click to Donate:  https://t.co/xykzXQwIKL via @gofundme",,Sat Aug 04 06:25:53 +0000 2018
RathmannSummer,"#paypig #findom #venmo 
Hi everyone please please donate some money to me!! &lt;3 I’ll love you forever",,Sat Aug 04 06:24:49 +0000 2018
vanarendrudi,"@liddo_rhedd No thanks. Maybe you can share my campaign after you read it
I'm raising money for Keep me alive. Click to Donate:  https://t.co/xykzXQwIKL via @gofundme",,Sat Aug 04 06:24:28 +0000 2018
